robot,opponent,win,loss,draw,percent
ColinBots/field/model_36_3100_9822631.h5,zoo.random_no_suicide,20.0,0.0,0.0,100.0
ColinBots/field/model_36_3100_9822631.h5,zoo.might_win_sometimes,20.0,0.0,0.0,100.0
ColinBots/field/model_36_3100_9822631.h5,zoo.random_bot,20.0,0.0,0.0,100.0
ColinBots/field/model_36_3100_9822631.h5,zoo.goulinator,20.0,0.0,0.0,100.0
ColinBots/field/model_36_3100_9822631.h5,zoo.rowlake,20.0,0.0,0.0,100.0
ColinBots/field/model_36_3100_9822631.h5,zoo.guard_bot,20.0,0.0,0.0,100.0
ColinBots/field/model_36_3100_9822631.h5,zoo.kamikaze,19.0,1.0,0.0,95.0
ColinBots/field/model_36_3100_9822631.h5,zoo.simple_bot,19.0,1.0,0.0,95.0
ColinBots/field/model_36_3100_9822631.h5,zoo.snoflake,19.0,1.0,0.0,95.0
ColinBots/field/model_36_3100_9822631.h5,zoo.supershibe,18.0,1.0,1.0,92.5
ColinBots/field/model_36_3100_9822631.h5,zoo.schmosby,18.0,1.0,1.0,92.5
ColinBots/field/model_36_3100_9822631.h5,zoo.sunguard,18.0,1.0,1.0,92.5
ColinBots/field/model_36_3100_9822631.h5,zoo.terrible_bot,18.0,2.0,0.0,90.0
ColinBots/field/model_36_3100_9822631.h5,zoo.gir,17.0,2.0,1.0,87.5
ColinBots/field/model_36_3100_9822631.h5,zoo.btr,0.0,20.0,0.0,0.0
ColinBots/field/model_36_3100_9822631.h5,zoo.spferical,0.0,20.0,0.0,0.0
ColinBots/field/model_36_3100_9822631.h5,zoo.dulladob,0.0,20.0,0.0,0.0
,,266.0,70.0,4.0,78.82352941176471
