skedaddle_puma v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 334.9 MB
skedaddle_puma v1 1 games, 726 moves, e=0.999, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.351, 0.261 sec/game, 0.0 min. total, 323.4 MB
skedaddle_puma v1 3 games, 1744 moves, e=0.998, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.017, 0.491 sec/game, 0.0 min. total, 332.1 MB
skedaddle_puma v1 4 games, 2491 moves, e=0.998, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.837, 0.422 sec/game, 0.0 min. total, 335.8 MB
skedaddle_puma v1 5 games, 3068 moves, e=0.997, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.372, 0.371 sec/game, 0.0 min. total, 338.7 MB
skedaddle_puma v1 6 games, 3802 moves, e=0.996, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.177, 0.349 sec/game, 0.0 min. total, 342.5 MB
skedaddle_puma v1 8 games, 4803 moves, e=0.995, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.348, 0.320 sec/game, 0.0 min. total, 349.9 MB
skedaddle_puma v1 9 games, 5506 moves, e=0.995, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.285, 0.310 sec/game, 0.0 min. total, 354.2 MB
skedaddle_puma v1 11 games, 6553 moves, e=0.994, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.061, 0.298 sec/game, 0.1 min. total, 361.9 MB
skedaddle_puma v1 13 games, 7619 moves, e=0.992, loss: nan, -, 47.7% elo% vs. v0, avg. reward: -10.006, 0.342 sec/game, 0.1 min. total, 369.2 MB
skedaddle_puma v1 14 games, 8398 moves, e=0.992, loss: nan, ., 47.8% elo% vs. v0, avg. reward: -9.942, 0.336 sec/game, 0.1 min. total, 373.4 MB
skedaddle_puma v1 15 games, 9153 moves, e=0.991, loss: nan, ., 47.9% elo% vs. v0, avg. reward: -9.906, 0.329 sec/game, 0.1 min. total, 377.8 MB
skedaddle_puma v1 16 games, 9714 moves, e=0.990, loss: nan, ., 48.0% elo% vs. v0, avg. reward: -10.090, 0.320 sec/game, 0.1 min. total, 381.3 MB
