water_affection v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.9 MB
water_affection v1 1 games, 701 moves, e=0.999, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -9.920, 0.250 sec/game, 0.0 min. total, 314.9 MB
water_affection v1 2 games, 1425 moves, e=0.999, loss: nan, -, 47.7% elo% vs. v0, avg. reward: -9.920, 0.274 sec/game, 0.0 min. total, 319.2 MB
water_affection v1 3 games, 2180 moves, e=0.998, loss: nan, ., 47.8% elo% vs. v0, avg. reward: -9.801, 0.262 sec/game, 0.0 min. total, 322.8 MB
water_affection v1 4 games, 2990 moves, e=0.997, loss: nan, ., 47.9% elo% vs. v0, avg. reward: -9.520, 0.260 sec/game, 0.0 min. total, 325.8 MB
water_affection v1 5 games, 3635 moves, e=0.996, loss: nan, +, 50.3% elo% vs. v0, avg. reward: -9.937, 0.249 sec/game, 0.0 min. total, 329.3 MB
water_affection v1 6 games, 4301 moves, e=0.996, loss: nan, ., 50.3% elo% vs. v0, avg. reward: -10.055, 0.242 sec/game, 0.0 min. total, 332.7 MB
water_affection v1 7 games, 4923 moves, e=0.995, loss: nan, +, 52.6% elo% vs. v0, avg. reward: -10.274, 0.238 sec/game, 0.0 min. total, 335.4 MB
water_affection v1 8 games, 5559 moves, e=0.994, loss: nan, ., 52.5% elo% vs. v0, avg. reward: -10.413, 0.235 sec/game, 0.0 min. total, 337.6 MB
water_affection v1 9 games, 6169 moves, e=0.994, loss: nan, ., 52.3% elo% vs. v0, avg. reward: -10.546, 0.231 sec/game, 0.0 min. total, 341.1 MB
water_affection v1 10 games, 6868 moves, e=0.993, loss: nan, ., 52.2% elo% vs. v0, avg. reward: -10.500, 0.231 sec/game, 0.0 min. total, 344.6 MB
water_affection v1 11 games, 7536 moves, e=0.993, loss: nan, ., 52.1% elo% vs. v0, avg. reward: -10.504, 0.229 sec/game, 0.0 min. total, 347.6 MB
water_affection v1 12 games, 8208 moves, e=0.992, loss: nan, ., 52.0% elo% vs. v0, avg. reward: -10.512, 0.228 sec/game, 0.0 min. total, 350.2 MB
water_affection v1 13 games, 8866 moves, e=0.991, loss: nan, ., 51.9% elo% vs. v0, avg. reward: -10.531, 0.226 sec/game, 0.0 min. total, 353.9 MB
water_affection v1 14 games, 9561 moves, e=0.991, loss: nan, ., 51.9% elo% vs. v0, avg. reward: -10.514, 0.228 sec/game, 0.1 min. total, 357.5 MB
water_affection v1 15 games, 10262 moves, e=0.990, loss: 67.5, +, 54.1% elo% vs. v0, avg. reward: -10.469, 0.304 sec/game, 0.1 min. total, 386.5 MB
water_affection v1 16 games, 10967 moves, e=0.989, loss: 50.0, +, 56.2% elo% vs. v0, avg. reward: -10.460, 0.380 sec/game, 0.1 min. total, 390.7 MB
water_affection v1 17 games, 11667 moves, e=0.988, loss: 30.2, +, 58.1% elo% vs. v0, avg. reward: -10.456, 0.460 sec/game, 0.1 min. total, 393.0 MB
water_affection v1 18 games, 12274 moves, e=0.988, loss: 20.8, +, 60.0% elo% vs. v0, avg. reward: -10.547, 0.500 sec/game, 0.1 min. total, 390.7 MB
water_affection v1 19 games, 13024 moves, e=0.987, loss: 12.3, +, 61.8% elo% vs. v0, avg. reward: -10.492, 0.564 sec/game, 0.2 min. total, 391.4 MB
water_affection v1 20 games, 13740 moves, e=0.986, loss: 7.6, +, 63.4% elo% vs. v0, avg. reward: -10.462, 0.634 sec/game, 0.2 min. total, 392.2 MB
water_affection v1 21 games, 14461 moves, e=0.986, loss: 5.7, +, 65.0% elo% vs. v0, avg. reward: -10.442, 0.693 sec/game, 0.2 min. total, 392.1 MB
water_affection v1 22 games, 15201 moves, e=0.985, loss: 4.0, +, 66.4% elo% vs. v0, avg. reward: -10.414, 0.774 sec/game, 0.3 min. total, 392.7 MB
water_affection v1 23 games, 15867 moves, e=0.984, loss: 3.7, ., 65.7% elo% vs. v0, avg. reward: -10.436, 0.839 sec/game, 0.3 min. total, 392.5 MB
water_affection v1 24 games, 16567 moves, e=0.984, loss: 3.3, +, 67.1% elo% vs. v0, avg. reward: -10.438, 0.913 sec/game, 0.3 min. total, 393.0 MB
water_affection v1 25 games, 17238 moves, e=0.983, loss: 3.2, +, 68.5% elo% vs. v0, avg. reward: -10.451, 0.975 sec/game, 0.3 min. total, 394.1 MB
water_affection v1 26 games, 17895 moves, e=0.982, loss: 3.3, +, 69.7% elo% vs. v0, avg. reward: -10.469, 1.037 sec/game, 0.4 min. total, 395.8 MB
water_affection v1 27 games, 18598 moves, e=0.982, loss: 3.3, ., 68.9% elo% vs. v0, avg. reward: -10.457, 1.112 sec/game, 0.4 min. total, 398.1 MB
water_affection v1 28 games, 19262 moves, e=0.981, loss: 3.0, ., 68.2% elo% vs. v0, avg. reward: -10.477, 1.181 sec/game, 0.4 min. total, 398.6 MB
water_affection v1 29 games, 19915 moves, e=0.980, loss: 3.2, +, 69.4% elo% vs. v0, avg. reward: -10.499, 1.243 sec/game, 0.4 min. total, 400.8 MB
water_affection v1 30 games, 20634 moves, e=0.980, loss: 2.8, ., 68.7% elo% vs. v0, avg. reward: -10.474, 1.318 sec/game, 0.5 min. total, 398.5 MB
water_affection v1 31 games, 21438 moves, e=0.979, loss: 3.1, ., 67.9% elo% vs. v0, avg. reward: -10.425, 1.397 sec/game, 0.5 min. total, 398.6 MB
water_affection v1 32 games, 22087 moves, e=0.978, loss: 3.1, +, 69.2% elo% vs. v0, avg. reward: -10.444, 1.458 sec/game, 0.5 min. total, 398.7 MB
water_affection v1 33 games, 22778 moves, e=0.977, loss: 3.2, ., 68.4% elo% vs. v0, avg. reward: -10.439, 1.521 sec/game, 0.6 min. total, 398.8 MB
water_affection v1 34 games, 23575 moves, e=0.977, loss: 3.1, +, 69.7% elo% vs. v0, avg. reward: -10.406, 1.601 sec/game, 0.6 min. total, 401.0 MB
water_affection v1 35 games, 24377 moves, e=0.976, loss: 3.3, +, 70.8% elo% vs. v0, avg. reward: -10.363, 1.620 sec/game, 0.6 min. total, 398.8 MB
water_affection v2 36 games, 25112 moves, e=0.975, loss: 3.3, -, 47.7% elo% vs. v1, avg. reward: -10.348, 1.626 sec/game, 0.6 min. total, 405.9 MB
water_affection v2 37 games, 25872 moves, e=0.974, loss: 3.2, -, 45.5% elo% vs. v1, avg. reward: -10.317, 1.619 sec/game, 0.7 min. total, 406.6 MB
water_affection v2 38 games, 26579 moves, e=0.974, loss: 2.5, -, 43.4% elo% vs. v1, avg. reward: -10.312, 1.630 sec/game, 0.7 min. total, 408.4 MB
water_affection v2 39 games, 27299 moves, e=0.973, loss: 2.8, -, 41.5% elo% vs. v1, avg. reward: -10.299, 1.622 sec/game, 0.7 min. total, 409.6 MB
water_affection v2 40 games, 28065 moves, e=0.972, loss: 2.8, -, 39.6% elo% vs. v1, avg. reward: -10.273, 1.604 sec/game, 0.7 min. total, 411.6 MB
water_affection v2 41 games, 28831 moves, e=0.971, loss: 3.0, ., 40.1% elo% vs. v1, avg. reward: -10.249, 1.618 sec/game, 0.8 min. total, 409.6 MB
water_affection v2 42 games, 29541 moves, e=0.971, loss: 2.7, -, 38.3% elo% vs. v1, avg. reward: -10.249, 1.594 sec/game, 0.8 min. total, 409.7 MB
water_affection v2 43 games, 30186 moves, e=0.970, loss: 2.9, +, 41.1% elo% vs. v1, avg. reward: -10.271, 1.584 sec/game, 0.8 min. total, 411.9 MB
water_affection v2 44 games, 30893 moves, e=0.969, loss: 2.9, +, 43.7% elo% vs. v1, avg. reward: -10.275, 1.580 sec/game, 0.8 min. total, 409.9 MB
water_affection v2 45 games, 31671 moves, e=0.969, loss: 3.0, -, 41.7% elo% vs. v1, avg. reward: -10.245, 1.587 sec/game, 0.9 min. total, 409.6 MB
water_affection v2 46 games, 32435 moves, e=0.968, loss: 2.7, +, 44.4% elo% vs. v1, avg. reward: -10.226, 1.597 sec/game, 0.9 min. total, 409.8 MB
water_affection v2 47 games, 33105 moves, e=0.967, loss: 2.8, +, 46.9% elo% vs. v1, avg. reward: -10.234, 1.579 sec/game, 0.9 min. total, 409.4 MB
water_affection v2 48 games, 33860 moves, e=0.966, loss: 3.0, +, 49.4% elo% vs. v1, avg. reward: -10.221, 1.579 sec/game, 1.0 min. total, 409.6 MB
water_affection v2 49 games, 34551 moves, e=0.966, loss: 3.2, +, 51.7% elo% vs. v1, avg. reward: -10.229, 1.576 sec/game, 1.0 min. total, 409.9 MB
water_affection v2 50 games, 35287 moves, e=0.965, loss: 3.5, +, 53.9% elo% vs. v1, avg. reward: -10.223, 1.571 sec/game, 1.0 min. total, 410.8 MB
water_affection v2 51 games, 36024 moves, e=0.964, loss: 3.5, -, 51.4% elo% vs. v1, avg. reward: -10.212, 1.560 sec/game, 1.0 min. total, 411.6 MB
water_affection v2 52 games, 36703 moves, e=0.964, loss: 3.8, +, 53.7% elo% vs. v1, avg. reward: -10.217, 1.555 sec/game, 1.1 min. total, 416.6 MB
water_affection v2 53 games, 37350 moves, e=0.963, loss: 3.6, +, 55.8% elo% vs. v1, avg. reward: -10.238, 1.553 sec/game, 1.1 min. total, 416.3 MB
water_affection v2 54 games, 38066 moves, e=0.962, loss: 3.6, +, 57.8% elo% vs. v1, avg. reward: -10.232, 1.540 sec/game, 1.1 min. total, 416.3 MB
water_affection v2 55 games, 38720 moves, e=0.962, loss: 3.7, +, 59.7% elo% vs. v1, avg. reward: -10.248, 1.522 sec/game, 1.1 min. total, 414.4 MB
water_affection v2 56 games, 39422 moves, e=0.961, loss: 3.9, +, 61.4% elo% vs. v1, avg. reward: -10.241, 1.509 sec/game, 1.1 min. total, 414.0 MB
water_affection v2 57 games, 40079 moves, e=0.960, loss: 4.3, +, 63.1% elo% vs. v1, avg. reward: -10.247, 1.509 sec/game, 1.2 min. total, 416.4 MB
water_affection v2 58 games, 40844 moves, e=0.960, loss: 4.0, +, 64.7% elo% vs. v1, avg. reward: -10.234, 1.521 sec/game, 1.2 min. total, 416.5 MB
water_affection v2 59 games, 41637 moves, e=0.959, loss: 4.0, +, 66.1% elo% vs. v1, avg. reward: -10.215, 1.524 sec/game, 1.2 min. total, 414.0 MB
water_affection v2 60 games, 42287 moves, e=0.958, loss: 3.9, +, 67.5% elo% vs. v1, avg. reward: -10.228, 1.513 sec/game, 1.3 min. total, 415.1 MB
water_affection v2 61 games, 43054 moves, e=0.957, loss: 4.3, +, 68.8% elo% vs. v1, avg. reward: -10.206, 1.510 sec/game, 1.3 min. total, 416.1 MB
water_affection v2 62 games, 43808 moves, e=0.957, loss: 4.0, +, 70.0% elo% vs. v1, avg. reward: -10.186, 1.525 sec/game, 1.3 min. total, 416.1 MB
water_affection v3 63 games, 44546 moves, e=0.956, loss: 3.8, -, 47.7% elo% vs. v2, avg. reward: -10.177, 1.542 sec/game, 1.3 min. total, 417.9 MB
water_affection v3 64 games, 45229 moves, e=0.955, loss: 3.7, -, 45.5% elo% vs. v2, avg. reward: -10.181, 1.529 sec/game, 1.4 min. total, 418.0 MB
water_affection v3 65 games, 45866 moves, e=0.955, loss: 4.0, +, 48.0% elo% vs. v2, avg. reward: -10.196, 1.517 sec/game, 1.4 min. total, 420.6 MB
water_affection v3 66 games, 46607 moves, e=0.954, loss: 3.6, -, 45.8% elo% vs. v2, avg. reward: -10.188, 1.520 sec/game, 1.4 min. total, 418.2 MB
water_affection v3 67 games, 47382 moves, e=0.953, loss: 3.5, -, 43.7% elo% vs. v2, avg. reward: -10.167, 1.533 sec/game, 1.4 min. total, 418.5 MB
water_affection v3 68 games, 48109 moves, e=0.952, loss: 3.2, -, 41.8% elo% vs. v2, avg. reward: -10.164, 1.523 sec/game, 1.5 min. total, 418.4 MB
water_affection v3 69 games, 48763 moves, e=0.952, loss: 3.3, -, 39.9% elo% vs. v2, avg. reward: -10.174, 1.525 sec/game, 1.5 min. total, 419.6 MB
water_affection v3 70 games, 49497 moves, e=0.951, loss: 3.1, +, 42.6% elo% vs. v2, avg. reward: -10.164, 1.530 sec/game, 1.5 min. total, 425.8 MB
water_affection v3 71 games, 50216 moves, e=0.950, loss: 3.0, -, 40.7% elo% vs. v2, avg. reward: -10.159, 1.534 sec/game, 1.5 min. total, 420.1 MB
water_affection v3 72 games, 51019 moves, e=0.949, loss: 3.1, -, 38.9% elo% vs. v2, avg. reward: -10.134, 1.552 sec/game, 1.6 min. total, 420.3 MB
water_affection v3 73 games, 51770 moves, e=0.949, loss: 3.2, +, 41.6% elo% vs. v2, avg. reward: -10.121, 1.571 sec/game, 1.6 min. total, 422.2 MB
