robot,opponent,win,loss,draw,percent
my_robots/fit_relearn/model_27_2400_4788561.h5,zoo.random_no_suicide,20.0,0.0,0.0,100.0
my_robots/fit_relearn/model_27_2400_4788561.h5,zoo.might_win_sometimes,20.0,0.0,0.0,100.0
my_robots/fit_relearn/model_27_2400_4788561.h5,zoo.sunguard,20.0,0.0,0.0,100.0
my_robots/fit_relearn/model_27_2400_4788561.h5,zoo.goulinator,20.0,0.0,0.0,100.0
my_robots/fit_relearn/model_27_2400_4788561.h5,zoo.random_bot,20.0,0.0,0.0,100.0
my_robots/fit_relearn/model_27_2400_4788561.h5,zoo.guard_bot,20.0,0.0,0.0,100.0
my_robots/fit_relearn/model_27_2400_4788561.h5,zoo.kamikaze,18.0,2.0,0.0,90.0
my_robots/fit_relearn/model_27_2400_4788561.h5,zoo.simple_bot,16.0,4.0,0.0,80.0
my_robots/fit_relearn/model_27_2400_4788561.h5,zoo.snoflake,15.0,5.0,0.0,75.0
my_robots/fit_relearn/model_27_2400_4788561.h5,zoo.btr,14.0,5.0,1.0,72.5
my_robots/fit_relearn/model_27_2400_4788561.h5,zoo.terrible_bot,13.0,5.0,2.0,70.0
my_robots/fit_relearn/model_27_2400_4788561.h5,zoo.supershibe,12.0,8.0,0.0,60.0
my_robots/fit_relearn/model_27_2400_4788561.h5,zoo.schmosby,12.0,8.0,0.0,60.0
my_robots/fit_relearn/model_27_2400_4788561.h5,zoo.gir,11.0,7.0,2.0,60.0
my_robots/fit_relearn/model_27_2400_4788561.h5,zoo.rowlake,10.0,9.0,1.0,52.5
my_robots/fit_relearn/model_27_2400_4788561.h5,zoo.spferical,0.0,20.0,0.0,0.0
my_robots/fit_relearn/model_27_2400_4788561.h5,zoo.dulladob,0.0,20.0,0.0,0.0
,,241.0,93.0,6.0,71.76470588235294
