robot,opponent,win,loss,draw,percent
my_robots/marrow_each/model_16_1017_2091223.h5,zoo.kamikaze,20.0,0.0,0.0,100.0
my_robots/marrow_each/model_16_1017_2091223.h5,zoo.simple_bot,20.0,0.0,0.0,100.0
my_robots/marrow_each/model_16_1017_2091223.h5,zoo.sunguard,20.0,0.0,0.0,100.0
my_robots/marrow_each/model_16_1017_2091223.h5,zoo.random_bot,20.0,0.0,0.0,100.0
my_robots/marrow_each/model_16_1017_2091223.h5,zoo.guard_bot,20.0,0.0,0.0,100.0
my_robots/marrow_each/model_16_1017_2091223.h5,zoo.might_win_sometimes,20.0,0.0,0.0,100.0
my_robots/marrow_each/model_16_1017_2091223.h5,zoo.random_no_suicide,20.0,0.0,0.0,100.0
my_robots/marrow_each/model_16_1017_2091223.h5,zoo.goulinator,20.0,0.0,0.0,100.0
my_robots/marrow_each/model_16_1017_2091223.h5,zoo.supershibe,19.0,1.0,0.0,95.0
my_robots/marrow_each/model_16_1017_2091223.h5,zoo.terrible_bot,19.0,1.0,0.0,95.0
my_robots/marrow_each/model_16_1017_2091223.h5,zoo.rowlake,19.0,1.0,0.0,95.0
my_robots/marrow_each/model_16_1017_2091223.h5,zoo.snoflake,19.0,1.0,0.0,95.0
my_robots/marrow_each/model_16_1017_2091223.h5,zoo.gir,18.0,1.0,1.0,92.5
my_robots/marrow_each/model_16_1017_2091223.h5,zoo.schmosby,16.0,4.0,0.0,80.0
my_robots/marrow_each/model_16_1017_2091223.h5,zoo.spferical,0.0,20.0,0.0,0.0
my_robots/marrow_each/model_16_1017_2091223.h5,zoo.btr,0.0,20.0,0.0,0.0
my_robots/marrow_each/model_16_1017_2091223.h5,zoo.dulladob,0.0,20.0,0.0,0.0
,,270.0,69.0,1.0,79.55882352941177
