robot,opponent,win,loss,draw,percent
my_robots/subfloor_cuddly/model_47_2500_5619705.h5,zoo.kamikaze,20.0,0.0,0.0,100.0
my_robots/subfloor_cuddly/model_47_2500_5619705.h5,zoo.might_win_sometimes,20.0,0.0,0.0,100.0
my_robots/subfloor_cuddly/model_47_2500_5619705.h5,zoo.sunguard,20.0,0.0,0.0,100.0
my_robots/subfloor_cuddly/model_47_2500_5619705.h5,zoo.random_bot,20.0,0.0,0.0,100.0
my_robots/subfloor_cuddly/model_47_2500_5619705.h5,zoo.btr,20.0,0.0,0.0,100.0
my_robots/subfloor_cuddly/model_47_2500_5619705.h5,zoo.guard_bot,20.0,0.0,0.0,100.0
my_robots/subfloor_cuddly/model_47_2500_5619705.h5,zoo.random_no_suicide,20.0,0.0,0.0,100.0
my_robots/subfloor_cuddly/model_47_2500_5619705.h5,zoo.simple_bot,20.0,0.0,0.0,100.0
my_robots/subfloor_cuddly/model_47_2500_5619705.h5,zoo.goulinator,20.0,0.0,0.0,100.0
my_robots/subfloor_cuddly/model_47_2500_5619705.h5,zoo.snoflake,18.0,0.0,2.0,95.0
my_robots/subfloor_cuddly/model_47_2500_5619705.h5,zoo.supershibe,18.0,2.0,0.0,90.0
my_robots/subfloor_cuddly/model_47_2500_5619705.h5,zoo.schmosby,16.0,2.0,2.0,85.0
my_robots/subfloor_cuddly/model_47_2500_5619705.h5,zoo.rowlake,16.0,3.0,1.0,82.5
my_robots/subfloor_cuddly/model_47_2500_5619705.h5,zoo.gir,15.0,3.0,2.0,80.0
my_robots/subfloor_cuddly/model_47_2500_5619705.h5,zoo.terrible_bot,15.0,4.0,1.0,77.5
my_robots/subfloor_cuddly/model_47_2500_5619705.h5,zoo.spferical,0.0,20.0,0.0,0.0
my_robots/subfloor_cuddly/model_47_2500_5619705.h5,zoo.dulladob,0.0,20.0,0.0,0.0
,,278.0,54.0,8.0,82.94117647058823
