robot,opponent,win,loss,draw,percent
my_robots/wasp_emote/model_27_1600_3133812.h5,zoo.kamikaze,20.0,0.0,0.0,100.0
my_robots/wasp_emote/model_27_1600_3133812.h5,zoo.might_win_sometimes,20.0,0.0,0.0,100.0
my_robots/wasp_emote/model_27_1600_3133812.h5,zoo.sunguard,20.0,0.0,0.0,100.0
my_robots/wasp_emote/model_27_1600_3133812.h5,zoo.random_bot,20.0,0.0,0.0,100.0
my_robots/wasp_emote/model_27_1600_3133812.h5,zoo.guard_bot,20.0,0.0,0.0,100.0
my_robots/wasp_emote/model_27_1600_3133812.h5,zoo.random_no_suicide,20.0,0.0,0.0,100.0
my_robots/wasp_emote/model_27_1600_3133812.h5,zoo.goulinator,20.0,0.0,0.0,100.0
my_robots/wasp_emote/model_27_1600_3133812.h5,zoo.snoflake,19.0,0.0,1.0,97.5
my_robots/wasp_emote/model_27_1600_3133812.h5,zoo.supershibe,19.0,1.0,0.0,95.0
my_robots/wasp_emote/model_27_1600_3133812.h5,zoo.schmosby,18.0,0.0,2.0,95.0
my_robots/wasp_emote/model_27_1600_3133812.h5,zoo.rowlake,18.0,1.0,1.0,92.5
my_robots/wasp_emote/model_27_1600_3133812.h5,zoo.simple_bot,18.0,2.0,0.0,90.0
my_robots/wasp_emote/model_27_1600_3133812.h5,zoo.terrible_bot,18.0,2.0,0.0,90.0
my_robots/wasp_emote/model_27_1600_3133812.h5,zoo.gir,17.0,2.0,1.0,87.5
my_robots/wasp_emote/model_27_1600_3133812.h5,zoo.btr,5.0,14.0,1.0,27.500000000000004
my_robots/wasp_emote/model_27_1600_3133812.h5,zoo.spferical,0.0,20.0,0.0,0.0
my_robots/wasp_emote/model_27_1600_3133812.h5,zoo.dulladob,0.0,20.0,0.0,0.0
,,272.0,62.0,6.0,80.88235294117646
