activator_excavator v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 323.2 MB
activator_excavator v1 1 games, 706 moves, e=0.999, loss: nan, +, 52.3% elo% vs. v0, avg. reward: 1.564, 0.221 sec/game, 0.0 min. total, 325.0 MB
activator_excavator v1 2 games, 1443 moves, e=0.999, loss: nan, -, 49.9% elo% vs. v0, avg. reward: 0.887, 0.214 sec/game, 0.0 min. total, 328.6 MB
activator_excavator v1 3 games, 2193 moves, e=0.998, loss: nan, ., 49.9% elo% vs. v0, avg. reward: 0.591, 0.272 sec/game, 0.0 min. total, 332.3 MB
activator_excavator v1 4 games, 2916 moves, e=0.997, loss: nan, +, 52.2% elo% vs. v0, avg. reward: 0.447, 0.257 sec/game, 0.0 min. total, 335.4 MB
activator_excavator v1 5 games, 3648 moves, e=0.996, loss: nan, +, 54.4% elo% vs. v0, avg. reward: 0.368, 0.243 sec/game, 0.0 min. total, 339.1 MB
activator_excavator v1 6 games, 4355 moves, e=0.996, loss: nan, -, 51.9% elo% vs. v0, avg. reward: 0.415, 0.235 sec/game, 0.0 min. total, 342.0 MB
activator_excavator v1 7 games, 5097 moves, e=0.995, loss: nan, +, 54.1% elo% vs. v0, avg. reward: 0.384, 0.235 sec/game, 0.0 min. total, 345.2 MB
activator_excavator v1 8 games, 5698 moves, e=0.994, loss: nan, +, 56.2% elo% vs. v0, avg. reward: 0.804, 0.225 sec/game, 0.0 min. total, 349.4 MB
activator_excavator v1 9 games, 6311 moves, e=0.994, loss: nan, +, 58.2% elo% vs. v0, avg. reward: 0.721, 0.220 sec/game, 0.0 min. total, 353.2 MB
activator_excavator v1 10 games, 6906 moves, e=0.993, loss: nan, -, 55.5% elo% vs. v0, avg. reward: 0.653, 0.215 sec/game, 0.0 min. total, 356.2 MB
activator_excavator v1 11 games, 7537 moves, e=0.993, loss: nan, -, 53.0% elo% vs. v0, avg. reward: 0.598, 0.217 sec/game, 0.0 min. total, 359.5 MB
activator_excavator v1 12 games, 8394 moves, e=0.992, loss: nan, +, 55.2% elo% vs. v0, avg. reward: 0.569, 0.221 sec/game, 0.0 min. total, 363.5 MB
activator_excavator v1 13 games, 9094 moves, e=0.991, loss: nan, ., 54.9% elo% vs. v0, avg. reward: 0.540, 0.218 sec/game, 0.0 min. total, 366.7 MB
activator_excavator v1 14 games, 9823 moves, e=0.990, loss: nan, +, 57.0% elo% vs. v0, avg. reward: 0.527, 0.225 sec/game, 0.1 min. total, 366.9 MB
activator_excavator v1 15 games, 10598 moves, e=0.990, loss: 16.9, +, 58.9% elo% vs. v0, avg. reward: 0.530, 0.314 sec/game, 0.1 min. total, 387.1 MB
