agreeable_scroll v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.7 MB
agreeable_scroll v1 1 games, 676 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -13.876, 0.171 sec/game, 0.0 min. total, 313.0 MB
agreeable_scroll v1 2 games, 1388 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -13.627, 0.166 sec/game, 0.0 min. total, 314.7 MB
agreeable_scroll v1 3 games, 2122 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -13.437, 0.166 sec/game, 0.0 min. total, 317.5 MB
agreeable_scroll v1 4 games, 2738 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -13.887, 0.161 sec/game, 0.0 min. total, 319.1 MB
agreeable_scroll v1 5 games, 3490 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -13.577, 0.162 sec/game, 0.0 min. total, 321.3 MB
agreeable_scroll v1 6 games, 4187 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -13.628, 0.165 sec/game, 0.0 min. total, 323.5 MB
agreeable_scroll v1 7 games, 4894 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -13.536, 0.165 sec/game, 0.0 min. total, 326.0 MB
agreeable_scroll v1 8 games, 5650 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -13.429, 0.169 sec/game, 0.0 min. total, 328.3 MB
agreeable_scroll v1 9 games, 6316 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -13.509, 0.171 sec/game, 0.0 min. total, 330.9 MB
agreeable_scroll v1 10 games, 6900 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -13.797, 0.172 sec/game, 0.0 min. total, 332.3 MB
agreeable_scroll v1 11 games, 7576 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -13.826, 0.174 sec/game, 0.0 min. total, 334.0 MB
agreeable_scroll v1 12 games, 8281 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -13.782, 0.178 sec/game, 0.0 min. total, 334.7 MB
agreeable_scroll v2 13 games, 9013 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: -13.744, 0.179 sec/game, 0.0 min. total, 400.6 MB
agreeable_scroll v2 14 games, 9725 moves, e=0.990, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: -13.720, 0.178 sec/game, 0.0 min. total, 402.6 MB
