amendable_wisdom v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 300.7 MB
amendable_wisdom v1 1 games, 794 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -5.878, 0.203 sec/game, 0.0 min. total, 310.9 MB
amendable_wisdom v1 2 games, 1470 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -6.400, 0.132 sec/game, 0.0 min. total, 312.7 MB
amendable_wisdom v1 3 games, 2214 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -6.340, 0.114 sec/game, 0.0 min. total, 314.5 MB
amendable_wisdom v1 4 games, 2887 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -6.456, 0.105 sec/game, 0.0 min. total, 316.3 MB
amendable_wisdom v1 5 games, 3561 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -6.550, 0.099 sec/game, 0.0 min. total, 317.4 MB
amendable_wisdom v1 6 games, 4286 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -6.530, 0.098 sec/game, 0.0 min. total, 319.0 MB
amendable_wisdom v1 7 games, 4921 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -6.656, 0.094 sec/game, 0.0 min. total, 320.1 MB
amendable_wisdom v1 8 games, 5593 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -6.704, 0.091 sec/game, 0.0 min. total, 322.3 MB
amendable_wisdom v1 9 games, 6303 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -6.682, 0.090 sec/game, 0.0 min. total, 324.4 MB
amendable_wisdom v1 10 games, 7045 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -6.617, 0.089 sec/game, 0.0 min. total, 325.5 MB
amendable_wisdom v1 11 games, 7751 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -6.592, 0.087 sec/game, 0.0 min. total, 327.4 MB
amendable_wisdom v1 12 games, 8491 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -6.539, 0.087 sec/game, 0.0 min. total, 329.1 MB
amendable_wisdom v2 13 games, 9233 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: -6.504, 0.086 sec/game, 0.0 min. total, 393.0 MB
amendable_wisdom v2 14 games, 9949 moves, e=0.990, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: -6.476, 0.085 sec/game, 0.0 min. total, 394.2 MB
amendable_wisdom v2 15 games, 10722 moves, e=0.989, loss: 32.2, +, 58.5% elo% vs. guard_bot, avg. reward: -6.430, 0.146 sec/game, 0.0 min. total, 407.8 MB
