annuity_bulge v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.7 MB
annuity_bulge v1 1 games, 704 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -10.768, 0.474 sec/game, 0.0 min. total, 312.1 MB
annuity_bulge v1 2 games, 1412 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -10.748, 0.484 sec/game, 0.0 min. total, 315.4 MB
annuity_bulge v1 3 games, 2045 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -11.065, 0.460 sec/game, 0.0 min. total, 317.6 MB
annuity_bulge v1 4 games, 2729 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -11.022, 0.455 sec/game, 0.0 min. total, 320.3 MB
annuity_bulge v1 5 games, 3447 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -10.917, 0.456 sec/game, 0.0 min. total, 323.9 MB
annuity_bulge v1 6 games, 4184 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -10.720, 0.458 sec/game, 0.0 min. total, 327.1 MB
annuity_bulge v1 7 games, 4773 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -11.151, 0.447 sec/game, 0.1 min. total, 329.9 MB
annuity_bulge v1 8 games, 5434 moves, e=0.995, loss: nan, -, 61.0% elo% vs. random_bot, avg. reward: -11.258, 0.444 sec/game, 0.1 min. total, 333.3 MB
annuity_bulge v1 9 games, 6077 moves, e=0.994, loss: nan, +, 62.7% elo% vs. random_bot, avg. reward: -11.249, 0.439 sec/game, 0.1 min. total, 336.7 MB
annuity_bulge v1 10 games, 6841 moves, e=0.993, loss: nan, +, 64.3% elo% vs. random_bot, avg. reward: -11.149, 0.441 sec/game, 0.1 min. total, 340.3 MB
annuity_bulge v1 11 games, 7599 moves, e=0.992, loss: nan, +, 65.8% elo% vs. random_bot, avg. reward: -11.048, 0.443 sec/game, 0.1 min. total, 343.5 MB
annuity_bulge v1 12 games, 8322 moves, e=0.992, loss: nan, +, 67.2% elo% vs. random_bot, avg. reward: -11.008, 0.442 sec/game, 0.1 min. total, 347.1 MB
annuity_bulge v1 13 games, 8997 moves, e=0.991, loss: nan, +, 68.5% elo% vs. random_bot, avg. reward: -11.032, 0.438 sec/game, 0.1 min. total, 350.4 MB
annuity_bulge v1 14 games, 9535 moves, e=0.991, loss: nan, +, 69.7% elo% vs. random_bot, avg. reward: -11.271, 0.432 sec/game, 0.1 min. total, 353.8 MB
annuity_bulge v1 15 games, 10307 moves, e=0.990, loss: 71.4, +, 70.9% elo% vs. random_bot, avg. reward: -11.242, 0.483 sec/game, 0.1 min. total, 382.7 MB
annuity_bulge v1 16 games, 11046 moves, e=0.989, loss: 53.9, +, 72.0% elo% vs. random_bot, avg. reward: -11.197, 0.569 sec/game, 0.2 min. total, 386.5 MB
annuity_bulge v1 17 games, 11681 moves, e=0.988, loss: 38.4, +, 73.0% elo% vs. random_bot, avg. reward: -11.299, 0.630 sec/game, 0.2 min. total, 387.7 MB
annuity_bulge v1 18 games, 12388 moves, e=0.988, loss: 27.8, +, 74.0% elo% vs. random_bot, avg. reward: -11.259, 0.691 sec/game, 0.2 min. total, 388.9 MB
annuity_bulge v1 19 games, 13244 moves, e=0.987, loss: 18.8, +, 74.9% elo% vs. random_bot, avg. reward: -11.189, 0.770 sec/game, 0.2 min. total, 389.0 MB
annuity_bulge v1 20 games, 13912 moves, e=0.986, loss: 14.7, +, 75.7% elo% vs. random_bot, avg. reward: -11.208, 0.810 sec/game, 0.3 min. total, 388.9 MB
annuity_bulge v1 21 games, 14672 moves, e=0.985, loss: 12.2, +, 76.6% elo% vs. random_bot, avg. reward: -11.153, 0.890 sec/game, 0.3 min. total, 390.3 MB
annuity_bulge v1 22 games, 15444 moves, e=0.985, loss: 10.4, +, 77.3% elo% vs. random_bot, avg. reward: -11.137, 0.962 sec/game, 0.3 min. total, 389.4 MB
annuity_bulge v1 23 games, 16063 moves, e=0.984, loss: 9.6, +, 78.0% elo% vs. random_bot, avg. reward: -11.192, 1.020 sec/game, 0.4 min. total, 389.6 MB
annuity_bulge v1 24 games, 16731 moves, e=0.983, loss: 9.7, +, 78.7% elo% vs. random_bot, avg. reward: -11.218, 1.082 sec/game, 0.4 min. total, 390.9 MB
annuity_bulge v1 25 games, 17477 moves, e=0.983, loss: 9.4, +, 79.4% elo% vs. random_bot, avg. reward: -11.206, 1.155 sec/game, 0.4 min. total, 390.1 MB
annuity_bulge v1 26 games, 18265 moves, e=0.982, loss: 8.7, +, 80.0% elo% vs. random_bot, avg. reward: -11.134, 1.227 sec/game, 0.5 min. total, 391.7 MB
annuity_bulge v1 27 games, 18926 moves, e=0.981, loss: 8.6, +, 80.6% elo% vs. random_bot, avg. reward: -11.159, 1.294 sec/game, 0.5 min. total, 390.6 MB
annuity_bulge v2 28 games, 19765 moves, e=0.980, loss: 8.1, ., 52.2% elo% vs. guard_bot, avg. reward: -11.096, 1.381 sec/game, 0.5 min. total, 448.9 MB
annuity_bulge v2 29 games, 20574 moves, e=0.980, loss: 8.0, +, 54.4% elo% vs. guard_bot, avg. reward: -11.066, 1.457 sec/game, 0.6 min. total, 451.3 MB
annuity_bulge v2 30 games, 21330 moves, e=0.979, loss: 7.6, +, 56.5% elo% vs. guard_bot, avg. reward: -11.058, 1.532 sec/game, 0.6 min. total, 451.3 MB
annuity_bulge v2 31 games, 22028 moves, e=0.978, loss: 7.5, +, 58.4% elo% vs. guard_bot, avg. reward: -11.051, 1.604 sec/game, 0.6 min. total, 456.5 MB
annuity_bulge v2 32 games, 22747 moves, e=0.977, loss: 7.5, +, 60.3% elo% vs. guard_bot, avg. reward: -11.036, 1.667 sec/game, 0.6 min. total, 458.3 MB
annuity_bulge v2 33 games, 23432 moves, e=0.977, loss: 7.4, +, 62.0% elo% vs. guard_bot, avg. reward: -11.028, 1.744 sec/game, 0.7 min. total, 457.8 MB
annuity_bulge v2 34 games, 24119 moves, e=0.976, loss: 7.4, +, 63.6% elo% vs. guard_bot, avg. reward: -11.011, 1.805 sec/game, 0.7 min. total, 457.9 MB
annuity_bulge v2 35 games, 24909 moves, e=0.975, loss: 7.3, +, 65.2% elo% vs. guard_bot, avg. reward: -10.998, 1.839 sec/game, 0.7 min. total, 457.9 MB
annuity_bulge v2 36 games, 25606 moves, e=0.975, loss: 8.2, ., 64.5% elo% vs. guard_bot, avg. reward: -11.004, 1.837 sec/game, 0.8 min. total, 457.9 MB
annuity_bulge v2 37 games, 26178 moves, e=0.974, loss: 7.5, ., 63.9% elo% vs. guard_bot, avg. reward: -11.076, 1.823 sec/game, 0.8 min. total, 457.9 MB
annuity_bulge v2 38 games, 26932 moves, e=0.973, loss: 7.3, ., 63.3% elo% vs. guard_bot, avg. reward: -11.042, 1.828 sec/game, 0.8 min. total, 458.3 MB
annuity_bulge v2 39 games, 27735 moves, e=0.973, loss: 7.3, ., 62.8% elo% vs. guard_bot, avg. reward: -11.010, 1.813 sec/game, 0.8 min. total, 458.2 MB
annuity_bulge v2 40 games, 28425 moves, e=0.972, loss: 7.4, +, 64.3% elo% vs. guard_bot, avg. reward: -11.006, 1.826 sec/game, 0.9 min. total, 458.7 MB
annuity_bulge v2 41 games, 29156 moves, e=0.971, loss: 7.1, +, 65.8% elo% vs. guard_bot, avg. reward: -10.989, 1.804 sec/game, 0.9 min. total, 459.7 MB
annuity_bulge v2 42 games, 29888 moves, e=0.970, loss: 7.3, +, 67.2% elo% vs. guard_bot, avg. reward: -10.978, 1.799 sec/game, 0.9 min. total, 459.7 MB
annuity_bulge v2 43 games, 30561 moves, e=0.970, loss: 7.4, +, 68.6% elo% vs. guard_bot, avg. reward: -10.994, 1.802 sec/game, 1.0 min. total, 460.3 MB
annuity_bulge v2 44 games, 31228 moves, e=0.969, loss: 7.3, +, 69.8% elo% vs. guard_bot, avg. reward: -10.999, 1.797 sec/game, 1.0 min. total, 463.1 MB
annuity_bulge v2 45 games, 31976 moves, e=0.968, loss: 7.5, +, 71.0% elo% vs. guard_bot, avg. reward: -10.967, 1.795 sec/game, 1.0 min. total, 463.4 MB
annuity_bulge v2 46 games, 32676 moves, e=0.968, loss: 7.1, +, 72.0% elo% vs. guard_bot, avg. reward: -10.965, 1.793 sec/game, 1.1 min. total, 463.2 MB
annuity_bulge v2 47 games, 33330 moves, e=0.967, loss: 7.5, +, 73.1% elo% vs. guard_bot, avg. reward: -10.990, 1.787 sec/game, 1.1 min. total, 465.2 MB
annuity_bulge v2 48 games, 34040 moves, e=0.966, loss: 7.6, +, 74.0% elo% vs. guard_bot, avg. reward: -10.999, 1.760 sec/game, 1.1 min. total, 466.7 MB
annuity_bulge v2 49 games, 34821 moves, e=0.966, loss: 7.6, +, 74.9% elo% vs. guard_bot, avg. reward: -10.975, 1.769 sec/game, 1.1 min. total, 467.7 MB
annuity_bulge v2 50 games, 35462 moves, e=0.965, loss: 7.3, +, 75.8% elo% vs. guard_bot, avg. reward: -10.983, 1.751 sec/game, 1.2 min. total, 467.0 MB
annuity_bulge v2 51 games, 36058 moves, e=0.964, loss: 6.7, +, 76.6% elo% vs. guard_bot, avg. reward: -10.999, 1.723 sec/game, 1.2 min. total, 467.4 MB
annuity_bulge v2 52 games, 36774 moves, e=0.964, loss: 6.5, +, 77.4% elo% vs. guard_bot, avg. reward: -10.994, 1.731 sec/game, 1.2 min. total, 468.5 MB
annuity_bulge v2 53 games, 37506 moves, e=0.963, loss: 6.5, +, 78.1% elo% vs. guard_bot, avg. reward: -10.985, 1.731 sec/game, 1.3 min. total, 466.8 MB
annuity_bulge v2 54 games, 38225 moves, e=0.962, loss: 6.8, +, 78.8% elo% vs. guard_bot, avg. reward: -10.982, 1.735 sec/game, 1.3 min. total, 470.1 MB
annuity_bulge v2 55 games, 38933 moves, e=0.961, loss: 6.8, +, 79.4% elo% vs. guard_bot, avg. reward: -10.976, 1.734 sec/game, 1.3 min. total, 470.5 MB
annuity_bulge v2 56 games, 39656 moves, e=0.961, loss: 6.4, +, 80.0% elo% vs. guard_bot, avg. reward: -10.970, 1.725 sec/game, 1.3 min. total, 470.8 MB
annuity_bulge v3 57 games, 40284 moves, e=0.960, loss: 6.2, -, 49.9% elo% vs. random_no_suicide, avg. reward: -10.985, 1.738 sec/game, 1.4 min. total, 470.8 MB
annuity_bulge v3 58 games, 40936 moves, e=0.959, loss: 5.9, -, 47.6% elo% vs. random_no_suicide, avg. reward: -10.996, 1.728 sec/game, 1.4 min. total, 472.6 MB
