anyplace_passage v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.1 MB
anyplace_passage v1 1 games, 724 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -5.142, 0.301 sec/game, 0.0 min. total, 316.1 MB
anyplace_passage v1 2 games, 1441 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -5.096, 0.243 sec/game, 0.0 min. total, 319.8 MB
anyplace_passage v1 3 games, 2055 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -5.867, 0.222 sec/game, 0.0 min. total, 322.1 MB
anyplace_passage v1 4 games, 2719 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -5.993, 0.212 sec/game, 0.0 min. total, 324.9 MB
anyplace_passage v1 5 games, 3417 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -5.796, 0.207 sec/game, 0.0 min. total, 327.5 MB
anyplace_passage v1 6 games, 4119 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -5.674, 0.206 sec/game, 0.0 min. total, 330.0 MB
anyplace_passage v1 7 games, 4736 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -5.872, 0.201 sec/game, 0.0 min. total, 332.3 MB
anyplace_passage v1 8 games, 5530 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -5.668, 0.204 sec/game, 0.0 min. total, 335.1 MB
anyplace_passage v1 9 games, 6229 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -5.628, 0.203 sec/game, 0.0 min. total, 337.6 MB
anyplace_passage v1 10 games, 6871 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -5.735, 0.200 sec/game, 0.0 min. total, 340.1 MB
anyplace_passage v1 11 games, 7613 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -5.665, 0.201 sec/game, 0.0 min. total, 343.7 MB
anyplace_passage v1 12 games, 8367 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -5.606, 0.203 sec/game, 0.0 min. total, 347.5 MB
anyplace_passage v2 13 games, 9078 moves, e=0.991, loss: nan, ., 52.2% elo% vs. guard_bot, avg. reward: -5.572, 0.205 sec/game, 0.0 min. total, 410.8 MB
anyplace_passage v2 14 games, 9677 moves, e=0.990, loss: nan, ., 52.1% elo% vs. guard_bot, avg. reward: -5.683, 0.202 sec/game, 0.0 min. total, 413.7 MB
anyplace_passage v2 15 games, 10307 moves, e=0.990, loss: 63.6, +, 54.3% elo% vs. guard_bot, avg. reward: -5.758, 0.244 sec/game, 0.1 min. total, 441.3 MB
anyplace_passage v2 16 games, 10946 moves, e=0.989, loss: 52.1, +, 56.4% elo% vs. guard_bot, avg. reward: -5.787, 0.303 sec/game, 0.1 min. total, 444.5 MB
anyplace_passage v2 17 games, 11697 moves, e=0.988, loss: 36.2, +, 58.3% elo% vs. guard_bot, avg. reward: -5.721, 0.367 sec/game, 0.1 min. total, 443.5 MB
