around_semifinal v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 327.5 MB
around_semifinal v1 1 games, 770 moves, e=0.999, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 0.217, 0.266 sec/game, 0.0 min. total, 331.0 MB
around_semifinal v1 2 games, 1495 moves, e=0.999, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 0.074, 0.255 sec/game, 0.0 min. total, 334.4 MB
around_semifinal v1 3 games, 2204 moves, e=0.998, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 0.071, 0.257 sec/game, 0.0 min. total, 337.4 MB
around_semifinal v1 4 games, 2951 moves, e=0.997, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 0.095, 0.256 sec/game, 0.0 min. total, 339.8 MB
around_semifinal v1 5 games, 3477 moves, e=0.997, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 0.118, 0.240 sec/game, 0.0 min. total, 342.6 MB
around_semifinal v1 6 games, 4168 moves, e=0.996, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 0.136, 0.238 sec/game, 0.0 min. total, 345.1 MB
around_semifinal v1 7 games, 4859 moves, e=0.995, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 0.331, 0.236 sec/game, 0.0 min. total, 348.0 MB
around_semifinal v1 8 games, 5455 moves, e=0.995, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 0.315, 0.232 sec/game, 0.0 min. total, 350.8 MB
around_semifinal v1 9 games, 6134 moves, e=0.994, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 0.353, 0.233 sec/game, 0.0 min. total, 353.2 MB
around_semifinal v1 10 games, 6742 moves, e=0.993, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 0.542, 0.231 sec/game, 0.0 min. total, 355.6 MB
around_semifinal v1 11 games, 7335 moves, e=0.993, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 0.509, 0.230 sec/game, 0.0 min. total, 358.3 MB
around_semifinal v1 12 games, 8062 moves, e=0.992, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 0.482, 0.232 sec/game, 0.0 min. total, 360.6 MB
around_semifinal v1 13 games, 8692 moves, e=0.991, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 0.474, 0.230 sec/game, 0.0 min. total, 363.1 MB
around_semifinal v1 14 games, 9453 moves, e=0.991, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 0.507, 0.233 sec/game, 0.1 min. total, 366.3 MB
around_semifinal v1 15 games, 10151 moves, e=0.990, loss: 2.3, ., 50.0% elo% vs. v0, avg. reward: 0.568, 0.292 sec/game, 0.1 min. total, 394.9 MB
around_semifinal v1 16 games, 10792 moves, e=0.989, loss: 10.4, +, 52.3% elo% vs. v0, avg. reward: 0.580, 0.380 sec/game, 0.1 min. total, 398.6 MB
around_semifinal v1 17 games, 11560 moves, e=0.989, loss: 15.5, +, 54.5% elo% vs. v0, avg. reward: 0.550, 0.476 sec/game, 0.1 min. total, 400.1 MB
around_semifinal v1 18 games, 12220 moves, e=0.988, loss: 20.7, +, 56.6% elo% vs. v0, avg. reward: 0.573, 0.550 sec/game, 0.2 min. total, 402.8 MB
around_semifinal v1 19 games, 12943 moves, e=0.987, loss: 20.1, +, 58.5% elo% vs. v0, avg. reward: 0.546, 0.629 sec/game, 0.2 min. total, 405.3 MB
around_semifinal v1 20 games, 13622 moves, e=0.987, loss: 21.6, +, 60.4% elo% vs. v0, avg. reward: 0.519, 0.683 sec/game, 0.2 min. total, 410.9 MB
around_semifinal v1 21 games, 14239 moves, e=0.986, loss: 26.7, +, 62.1% elo% vs. v0, avg. reward: 0.574, 0.753 sec/game, 0.3 min. total, 409.8 MB
around_semifinal v1 22 games, 14894 moves, e=0.985, loss: 25.8, +, 63.7% elo% vs. v0, avg. reward: 0.581, 0.825 sec/game, 0.3 min. total, 412.1 MB
around_semifinal v1 23 games, 15528 moves, e=0.985, loss: 26.8, +, 65.2% elo% vs. v0, avg. reward: 0.565, 0.903 sec/game, 0.3 min. total, 414.3 MB
around_semifinal v1 24 games, 16376 moves, e=0.984, loss: 26.0, +, 66.7% elo% vs. v0, avg. reward: 0.547, 1.022 sec/game, 0.4 min. total, 414.6 MB
