atrophy_happiness v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.9 MB
atrophy_happiness v1 1 games, 861 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 5.844, 0.367 sec/game, 0.0 min. total, 313.0 MB
atrophy_happiness v1 2 games, 1477 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: 6.757, 0.324 sec/game, 0.0 min. total, 315.4 MB
atrophy_happiness v1 3 games, 2209 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: 6.780, 0.326 sec/game, 0.0 min. total, 317.6 MB
atrophy_happiness v1 4 games, 2915 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: 6.777, 0.318 sec/game, 0.0 min. total, 319.6 MB
atrophy_happiness v1 5 games, 3699 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: 6.451, 0.320 sec/game, 0.0 min. total, 321.1 MB
atrophy_happiness v1 6 games, 4309 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: 6.584, 0.309 sec/game, 0.0 min. total, 323.0 MB
atrophy_happiness v1 7 games, 5036 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: 6.460, 0.310 sec/game, 0.0 min. total, 325.3 MB
atrophy_happiness v1 8 games, 5840 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: 6.458, 0.314 sec/game, 0.0 min. total, 327.3 MB
atrophy_happiness v1 9 games, 6507 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: 6.559, 0.323 sec/game, 0.0 min. total, 329.1 MB
atrophy_happiness v1 10 games, 7174 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: 6.547, 0.319 sec/game, 0.1 min. total, 331.3 MB
atrophy_happiness v1 11 games, 7990 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: 6.413, 0.324 sec/game, 0.1 min. total, 333.1 MB
