banner_lazy v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.3 MB
banner_lazy v1 1 games, 727 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 0.278, 0.313 sec/game, 0.0 min. total, 318.4 MB
banner_lazy v1 2 games, 1382 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: 0.166, 0.271 sec/game, 0.0 min. total, 321.1 MB
banner_lazy v1 3 games, 2105 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: 0.165, 0.258 sec/game, 0.0 min. total, 323.4 MB
banner_lazy v1 4 games, 2798 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: 0.128, 0.249 sec/game, 0.0 min. total, 326.9 MB
banner_lazy v1 5 games, 3502 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: 0.119, 0.260 sec/game, 0.0 min. total, 329.6 MB
banner_lazy v1 6 games, 4165 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: 0.129, 0.257 sec/game, 0.0 min. total, 332.4 MB
banner_lazy v1 7 games, 4857 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: 0.128, 0.261 sec/game, 0.0 min. total, 335.3 MB
banner_lazy v1 8 games, 5466 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: 0.136, 0.273 sec/game, 0.0 min. total, 338.8 MB
banner_lazy v1 9 games, 6224 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: 0.129, 0.274 sec/game, 0.0 min. total, 342.2 MB
banner_lazy v1 10 games, 6789 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: 0.136, 0.265 sec/game, 0.0 min. total, 344.8 MB
banner_lazy v1 11 games, 7488 moves, e=0.993, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: 0.134, 0.262 sec/game, 0.0 min. total, 347.6 MB
banner_lazy v1 12 games, 8153 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: 0.138, 0.258 sec/game, 0.1 min. total, 349.5 MB
banner_lazy v2 13 games, 8807 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: 0.145, 0.254 sec/game, 0.1 min. total, 417.5 MB
banner_lazy v2 14 games, 9579 moves, e=0.991, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: 0.137, 0.255 sec/game, 0.1 min. total, 421.5 MB
banner_lazy v2 15 games, 10230 moves, e=0.990, loss: 0.1, ., 56.3% elo% vs. guard_bot, avg. reward: 0.134, 0.310 sec/game, 0.1 min. total, 447.7 MB
banner_lazy v2 16 games, 10974 moves, e=0.989, loss: 0.1, ., 56.0% elo% vs. guard_bot, avg. reward: 0.135, 0.417 sec/game, 0.1 min. total, 451.3 MB
banner_lazy v2 17 games, 11725 moves, e=0.988, loss: 0.1, ., 55.7% elo% vs. guard_bot, avg. reward: 0.135, 0.512 sec/game, 0.1 min. total, 453.5 MB
banner_lazy v2 18 games, 12540 moves, e=0.988, loss: 0.1, ., 55.4% elo% vs. guard_bot, avg. reward: 0.132, 0.605 sec/game, 0.2 min. total, 455.2 MB
