baton_dedicator v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.4 MB
baton_dedicator v1 1 games, 750 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -8.092, 0.233 sec/game, 0.0 min. total, 312.6 MB
baton_dedicator v1 2 games, 1413 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -8.752, 0.218 sec/game, 0.0 min. total, 314.9 MB
baton_dedicator v1 3 games, 2079 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -8.977, 0.219 sec/game, 0.0 min. total, 319.0 MB
baton_dedicator v1 4 games, 2821 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -8.778, 0.225 sec/game, 0.0 min. total, 322.0 MB
baton_dedicator v1 5 games, 3534 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -8.729, 0.223 sec/game, 0.0 min. total, 326.0 MB
baton_dedicator v1 6 games, 4252 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -8.709, 0.224 sec/game, 0.0 min. total, 329.6 MB
baton_dedicator v1 7 games, 4993 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -8.651, 0.225 sec/game, 0.0 min. total, 333.1 MB
baton_dedicator v1 8 games, 5713 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -8.624, 0.225 sec/game, 0.0 min. total, 336.6 MB
baton_dedicator v1 9 games, 6239 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -9.012, 0.220 sec/game, 0.0 min. total, 339.1 MB
baton_dedicator v1 10 games, 7034 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -8.889, 0.223 sec/game, 0.0 min. total, 343.1 MB
baton_dedicator v1 11 games, 7819 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -8.814, 0.225 sec/game, 0.0 min. total, 346.4 MB
baton_dedicator v1 12 games, 8512 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -8.835, 0.225 sec/game, 0.0 min. total, 349.6 MB
baton_dedicator v2 13 games, 9262 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: -8.778, 0.225 sec/game, 0.0 min. total, 416.0 MB
baton_dedicator v2 14 games, 9912 moves, e=0.990, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: -8.836, 0.221 sec/game, 0.1 min. total, 419.6 MB
baton_dedicator v2 15 games, 10713 moves, e=0.989, loss: 53.2, ., 56.3% elo% vs. guard_bot, avg. reward: -8.741, 0.315 sec/game, 0.1 min. total, 448.5 MB
baton_dedicator v2 16 games, 11308 moves, e=0.989, loss: 36.4, ., 56.0% elo% vs. guard_bot, avg. reward: -8.865, 0.365 sec/game, 0.1 min. total, 449.3 MB
baton_dedicator v2 17 games, 12018 moves, e=0.988, loss: 23.3, ., 55.7% elo% vs. guard_bot, avg. reward: -8.872, 0.412 sec/game, 0.1 min. total, 449.5 MB
