borough_erupt v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 317.4 MB
borough_erupt v1 1 games, 659 moves, e=0.999, loss: nan, +, 52.3% elo% vs. v0, avg. reward: -11.002, 0.220 sec/game, 0.0 min. total, 318.3 MB
borough_erupt v1 2 games, 1267 moves, e=0.999, loss: nan, -, 49.9% elo% vs. v0, avg. reward: -11.365, 0.221 sec/game, 0.0 min. total, 322.2 MB
borough_erupt v1 3 games, 1940 moves, e=0.998, loss: nan, -, 47.6% elo% vs. v0, avg. reward: -11.069, 0.219 sec/game, 0.0 min. total, 326.6 MB
borough_erupt v1 4 games, 2610 moves, e=0.997, loss: nan, -, 45.4% elo% vs. v0, avg. reward: -10.964, 0.219 sec/game, 0.0 min. total, 330.0 MB
borough_erupt v1 5 games, 3344 moves, e=0.997, loss: nan, ., 45.6% elo% vs. v0, avg. reward: -10.680, 0.224 sec/game, 0.0 min. total, 334.1 MB
borough_erupt v1 6 games, 4077 moves, e=0.996, loss: nan, +, 48.1% elo% vs. v0, avg. reward: -10.487, 0.228 sec/game, 0.0 min. total, 338.7 MB
borough_erupt v1 7 games, 4770 moves, e=0.995, loss: nan, -, 45.9% elo% vs. v0, avg. reward: -10.399, 0.227 sec/game, 0.0 min. total, 341.9 MB
borough_erupt v1 8 games, 5450 moves, e=0.995, loss: nan, +, 48.4% elo% vs. v0, avg. reward: -10.401, 0.228 sec/game, 0.0 min. total, 345.2 MB
borough_erupt v1 9 games, 6213 moves, e=0.994, loss: nan, +, 50.8% elo% vs. v0, avg. reward: -10.226, 0.230 sec/game, 0.0 min. total, 349.5 MB
borough_erupt v1 10 games, 6950 moves, e=0.993, loss: nan, ., 50.7% elo% vs. v0, avg. reward: -10.140, 0.231 sec/game, 0.0 min. total, 353.0 MB
borough_erupt v1 11 games, 7578 moves, e=0.992, loss: nan, -, 48.4% elo% vs. v0, avg. reward: -10.220, 0.229 sec/game, 0.0 min. total, 356.7 MB
borough_erupt v1 12 games, 8266 moves, e=0.992, loss: nan, -, 46.2% elo% vs. v0, avg. reward: -10.224, 0.230 sec/game, 0.0 min. total, 360.6 MB
borough_erupt v1 13 games, 8923 moves, e=0.991, loss: nan, ., 46.4% elo% vs. v0, avg. reward: -10.227, 0.229 sec/game, 0.0 min. total, 364.4 MB
borough_erupt v1 14 games, 9611 moves, e=0.990, loss: nan, ., 46.5% elo% vs. v0, avg. reward: -10.252, 0.229 sec/game, 0.1 min. total, 367.8 MB
borough_erupt v1 15 games, 10425 moves, e=0.990, loss: nan, +, 49.0% elo% vs. v0, avg. reward: -10.146, 0.230 sec/game, 0.1 min. total, 372.6 MB
borough_erupt v1 16 games, 11283 moves, e=0.989, loss: nan, -, 46.7% elo% vs. v0, avg. reward: -10.012, 0.234 sec/game, 0.1 min. total, 377.2 MB
