bullfight_antiviral v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.1 MB
bullfight_antiviral v1 1 games, 574 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -8.129, 0.203 sec/game, 0.0 min. total, 312.2 MB
bullfight_antiviral v1 2 games, 1270 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -7.395, 0.211 sec/game, 0.0 min. total, 313.9 MB
bullfight_antiviral v1 3 games, 1928 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -7.303, 0.221 sec/game, 0.0 min. total, 317.0 MB
bullfight_antiviral v1 4 games, 2660 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -7.017, 0.234 sec/game, 0.0 min. total, 319.0 MB
bullfight_antiviral v1 5 games, 3398 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -6.882, 0.235 sec/game, 0.0 min. total, 320.5 MB
bullfight_antiviral v1 6 games, 4119 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -6.804, 0.236 sec/game, 0.0 min. total, 322.7 MB
bullfight_antiviral v1 7 games, 4814 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -6.790, 0.235 sec/game, 0.0 min. total, 324.5 MB
bullfight_antiviral v1 8 games, 5433 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -6.880, 0.234 sec/game, 0.0 min. total, 325.5 MB
bullfight_antiviral v1 9 games, 6123 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -6.846, 0.236 sec/game, 0.0 min. total, 328.0 MB
bullfight_antiviral v1 10 games, 6894 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -6.749, 0.240 sec/game, 0.0 min. total, 330.5 MB
