bullfrog_excavator v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 317.7 MB
bullfrog_excavator v1 1 games, 678 moves, e=0.999, loss: nan, +, 52.3% elo% vs. v0, avg. reward: -10.414, 0.227 sec/game, 0.0 min. total, 319.7 MB
bullfrog_excavator v1 2 games, 1340 moves, e=0.999, loss: nan, ., 52.2% elo% vs. v0, avg. reward: -10.513, 0.214 sec/game, 0.0 min. total, 323.2 MB
bullfrog_excavator v1 3 games, 2139 moves, e=0.998, loss: nan, +, 54.4% elo% vs. v0, avg. reward: -9.962, 0.222 sec/game, 0.0 min. total, 327.1 MB
bullfrog_excavator v1 4 games, 2859 moves, e=0.997, loss: nan, +, 56.5% elo% vs. v0, avg. reward: -9.911, 0.218 sec/game, 0.0 min. total, 331.8 MB
bullfrog_excavator v1 5 games, 3571 moves, e=0.996, loss: nan, +, 58.4% elo% vs. v0, avg. reward: -9.891, 0.214 sec/game, 0.0 min. total, 336.4 MB
bullfrog_excavator v1 6 games, 4325 moves, e=0.996, loss: nan, +, 60.3% elo% vs. v0, avg. reward: -9.751, 0.216 sec/game, 0.0 min. total, 341.0 MB
bullfrog_excavator v1 7 games, 5070 moves, e=0.995, loss: nan, -, 57.6% elo% vs. v0, avg. reward: -9.674, 0.218 sec/game, 0.0 min. total, 345.4 MB
bullfrog_excavator v1 8 games, 5798 moves, e=0.994, loss: nan, +, 59.5% elo% vs. v0, avg. reward: -9.655, 0.217 sec/game, 0.0 min. total, 349.1 MB
bullfrog_excavator v1 9 games, 6480 moves, e=0.994, loss: nan, +, 61.3% elo% vs. v0, avg. reward: -9.682, 0.220 sec/game, 0.0 min. total, 353.5 MB
bullfrog_excavator v1 10 games, 7238 moves, e=0.993, loss: nan, -, 58.6% elo% vs. v0, avg. reward: -9.616, 0.222 sec/game, 0.0 min. total, 358.2 MB
bullfrog_excavator v1 11 games, 8001 moves, e=0.992, loss: nan, +, 60.4% elo% vs. v0, avg. reward: -9.554, 0.223 sec/game, 0.0 min. total, 362.7 MB
bullfrog_excavator v1 12 games, 8624 moves, e=0.991, loss: nan, -, 57.7% elo% vs. v0, avg. reward: -9.716, 0.221 sec/game, 0.0 min. total, 366.4 MB
bullfrog_excavator v1 13 games, 9359 moves, e=0.991, loss: nan, -, 55.1% elo% vs. v0, avg. reward: -9.695, 0.223 sec/game, 0.0 min. total, 369.8 MB
bullfrog_excavator v1 14 games, 10008 moves, e=0.990, loss: nan, -, 52.6% elo% vs. v0, avg. reward: -9.782, 0.221 sec/game, 0.1 min. total, 374.0 MB
bullfrog_excavator v1 15 games, 10726 moves, e=0.989, loss: nan, +, 54.7% elo% vs. v0, avg. reward: -9.806, 0.222 sec/game, 0.1 min. total, 376.7 MB
bullfrog_excavator v1 16 games, 11449 moves, e=0.989, loss: nan, -, 52.2% elo% vs. v0, avg. reward: -9.786, 0.222 sec/game, 0.1 min. total, 377.0 MB
bullfrog_excavator v1 17 games, 12183 moves, e=0.988, loss: nan, -, 49.8% elo% vs. v0, avg. reward: -9.761, 0.222 sec/game, 0.1 min. total, 377.4 MB
bullfrog_excavator v1 18 games, 12937 moves, e=0.987, loss: nan, +, 52.1% elo% vs. v0, avg. reward: -9.742, 0.223 sec/game, 0.1 min. total, 378.3 MB
