cherub_squatting v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.5 MB
cherub_squatting v1 2 games, 1008 moves, e=0.999, loss: nan, ., 50.0% elo% vs. random_bot, avg. reward: -10.466, 0.174 sec/game, 0.0 min. total, 314.4 MB
cherub_squatting v1 4 games, 1974 moves, e=0.998, loss: nan, -, 47.7% elo% vs. random_bot, avg. reward: -10.720, 0.169 sec/game, 0.0 min. total, 318.3 MB
cherub_squatting v1 6 games, 3053 moves, e=0.997, loss: nan, -, 45.5% elo% vs. random_bot, avg. reward: -10.447, 0.172 sec/game, 0.0 min. total, 323.6 MB
cherub_squatting v1 8 games, 4061 moves, e=0.996, loss: nan, -, 43.4% elo% vs. random_bot, avg. reward: -10.397, 0.172 sec/game, 0.0 min. total, 327.2 MB
cherub_squatting v1 10 games, 5110 moves, e=0.995, loss: nan, -, 41.5% elo% vs. random_bot, avg. reward: -10.270, 0.172 sec/game, 0.0 min. total, 331.9 MB
cherub_squatting v1 12 games, 6004 moves, e=0.994, loss: nan, -, 39.6% elo% vs. random_bot, avg. reward: -10.585, 0.169 sec/game, 0.0 min. total, 335.2 MB
cherub_squatting v1 14 games, 7041 moves, e=0.993, loss: nan, -, 37.9% elo% vs. random_bot, avg. reward: -10.545, 0.171 sec/game, 0.0 min. total, 340.6 MB
cherub_squatting v1 16 games, 8012 moves, e=0.992, loss: nan, -, 36.3% elo% vs. random_bot, avg. reward: -10.625, 0.171 sec/game, 0.0 min. total, 344.5 MB
cherub_squatting v1 18 games, 9081 moves, e=0.991, loss: nan, -, 34.8% elo% vs. random_bot, avg. reward: -10.530, 0.172 sec/game, 0.1 min. total, 349.8 MB
cherub_squatting v1 20 games, 10130 moves, e=0.990, loss: nan, -, 33.3% elo% vs. random_bot, avg. reward: -10.566, 0.172 sec/game, 0.1 min. total, 353.9 MB
cherub_squatting v1 22 games, 11085 moves, e=0.989, loss: nan, ., 34.0% elo% vs. random_bot, avg. reward: -10.624, 0.172 sec/game, 0.1 min. total, 358.6 MB
cherub_squatting v1 24 games, 12017 moves, e=0.988, loss: nan, -, 32.6% elo% vs. random_bot, avg. reward: -10.734, 0.174 sec/game, 0.1 min. total, 362.0 MB
cherub_squatting v1 26 games, 13020 moves, e=0.987, loss: nan, -, 31.3% elo% vs. random_bot, avg. reward: -10.705, 0.174 sec/game, 0.1 min. total, 366.9 MB
cherub_squatting v1 28 games, 13947 moves, e=0.986, loss: nan, -, 30.1% elo% vs. random_bot, avg. reward: -10.766, 0.174 sec/game, 0.1 min. total, 370.4 MB
cherub_squatting v1 30 games, 15057 moves, e=0.985, loss: nan, -, 28.9% elo% vs. random_bot, avg. reward: -10.648, 0.176 sec/game, 0.1 min. total, 375.6 MB
cherub_squatting v1 32 games, 15905 moves, e=0.984, loss: nan, -, 27.8% elo% vs. random_bot, avg. reward: -10.769, 0.178 sec/game, 0.1 min. total, 379.3 MB
cherub_squatting v1 34 games, 16866 moves, e=0.983, loss: nan, -, 26.8% elo% vs. random_bot, avg. reward: -10.798, 0.177 sec/game, 0.1 min. total, 384.1 MB
cherub_squatting v1 36 games, 17866 moves, e=0.982, loss: nan, -, 25.9% elo% vs. random_bot, avg. reward: -10.777, 0.178 sec/game, 0.1 min. total, 388.2 MB
cherub_squatting v1 38 games, 18779 moves, e=0.981, loss: nan, -, 25.0% elo% vs. random_bot, avg. reward: -10.863, 0.178 sec/game, 0.1 min. total, 393.0 MB
cherub_squatting v1 40 games, 19800 moves, e=0.980, loss: nan, -, 24.1% elo% vs. random_bot, avg. reward: -10.836, 0.180 sec/game, 0.1 min. total, 397.1 MB
cherub_squatting v1 42 games, 20802 moves, e=0.979, loss: nan, -, 23.3% elo% vs. random_bot, avg. reward: -10.827, 0.181 sec/game, 0.1 min. total, 401.5 MB
cherub_squatting v1 44 games, 21795 moves, e=0.978, loss: nan, -, 22.5% elo% vs. random_bot, avg. reward: -10.840, 0.183 sec/game, 0.1 min. total, 405.0 MB
cherub_squatting v1 46 games, 22672 moves, e=0.978, loss: nan, -, 21.8% elo% vs. random_bot, avg. reward: -10.894, 0.182 sec/game, 0.1 min. total, 408.6 MB
cherub_squatting v1 48 games, 23682 moves, e=0.977, loss: nan, -, 21.2% elo% vs. random_bot, avg. reward: -10.884, 0.185 sec/game, 0.1 min. total, 412.9 MB
cherub_squatting v1 50 games, 24706 moves, e=0.976, loss: nan, -, 20.5% elo% vs. random_bot, avg. reward: -10.883, 0.185 sec/game, 0.1 min. total, 417.4 MB
cherub_squatting v1 52 games, 25584 moves, e=0.975, loss: nan, -, 19.9% elo% vs. random_bot, avg. reward: -10.926, 0.185 sec/game, 0.2 min. total, 417.5 MB
cherub_squatting v1 54 games, 26652 moves, e=0.974, loss: nan, -, 19.3% elo% vs. random_bot, avg. reward: -10.893, 0.187 sec/game, 0.2 min. total, 417.6 MB
cherub_squatting v1 56 games, 27605 moves, e=0.973, loss: nan, ., 20.2% elo% vs. random_bot, avg. reward: -10.928, 0.189 sec/game, 0.2 min. total, 418.4 MB
cherub_squatting v1 58 games, 28539 moves, e=0.972, loss: nan, -, 19.6% elo% vs. random_bot, avg. reward: -10.943, 0.191 sec/game, 0.2 min. total, 420.4 MB
cherub_squatting v1 60 games, 29473 moves, e=0.971, loss: nan, -, 19.1% elo% vs. random_bot, avg. reward: -10.938, 0.190 sec/game, 0.2 min. total, 422.2 MB
cherub_squatting v1 62 games, 30400 moves, e=0.970, loss: nan, -, 18.5% elo% vs. random_bot, avg. reward: -10.941, 0.190 sec/game, 0.2 min. total, 424.2 MB
cherub_squatting v1 64 games, 31324 moves, e=0.969, loss: nan, -, 18.0% elo% vs. random_bot, avg. reward: -10.973, 0.189 sec/game, 0.2 min. total, 426.2 MB
cherub_squatting v1 66 games, 32370 moves, e=0.968, loss: nan, -, 17.5% elo% vs. random_bot, avg. reward: -10.942, 0.193 sec/game, 0.2 min. total, 429.2 MB
cherub_squatting v1 68 games, 33206 moves, e=0.967, loss: nan, -, 17.1% elo% vs. random_bot, avg. reward: -10.996, 0.188 sec/game, 0.2 min. total, 432.1 MB
cherub_squatting v1 70 games, 34179 moves, e=0.966, loss: nan, -, 16.6% elo% vs. random_bot, avg. reward: -10.984, 0.189 sec/game, 0.2 min. total, 434.6 MB
cherub_squatting v1 72 games, 34953 moves, e=0.965, loss: nan, -, 16.2% elo% vs. random_bot, avg. reward: -11.071, 0.190 sec/game, 0.2 min. total, 437.8 MB
cherub_squatting v1 74 games, 35849 moves, e=0.965, loss: nan, -, 15.8% elo% vs. random_bot, avg. reward: -11.100, 0.190 sec/game, 0.2 min. total, 441.0 MB
cherub_squatting v1 76 games, 36737 moves, e=0.964, loss: nan, -, 15.4% elo% vs. random_bot, avg. reward: -11.127, 0.189 sec/game, 0.2 min. total, 443.7 MB
cherub_squatting v1 78 games, 37648 moves, e=0.963, loss: nan, -, 15.1% elo% vs. random_bot, avg. reward: -11.145, 0.188 sec/game, 0.2 min. total, 446.9 MB
cherub_squatting v1 80 games, 38509 moves, e=0.962, loss: nan, -, 14.7% elo% vs. random_bot, avg. reward: -11.173, 0.188 sec/game, 0.2 min. total, 450.3 MB
cherub_squatting v1 82 games, 39429 moves, e=0.961, loss: nan, -, 14.4% elo% vs. random_bot, avg. reward: -11.183, 0.189 sec/game, 0.2 min. total, 454.2 MB
cherub_squatting v1 84 games, 40252 moves, e=0.960, loss: nan, -, 14.0% elo% vs. random_bot, avg. reward: -11.222, 0.188 sec/game, 0.3 min. total, 456.8 MB
cherub_squatting v1 86 games, 41169 moves, e=0.959, loss: nan, -, 13.7% elo% vs. random_bot, avg. reward: -11.243, 0.188 sec/game, 0.3 min. total, 460.1 MB
cherub_squatting v1 88 games, 41984 moves, e=0.958, loss: nan, -, 13.4% elo% vs. random_bot, avg. reward: -11.281, 0.191 sec/game, 0.3 min. total, 463.9 MB
cherub_squatting v1 90 games, 42863 moves, e=0.958, loss: nan, -, 13.2% elo% vs. random_bot, avg. reward: -11.317, 0.191 sec/game, 0.3 min. total, 467.9 MB
cherub_squatting v1 92 games, 43733 moves, e=0.957, loss: nan, -, 12.9% elo% vs. random_bot, avg. reward: -11.334, 0.192 sec/game, 0.3 min. total, 472.0 MB
cherub_squatting v1 94 games, 44652 moves, e=0.956, loss: nan, -, 12.6% elo% vs. random_bot, avg. reward: -11.339, 0.191 sec/game, 0.3 min. total, 475.9 MB
cherub_squatting v1 96 games, 45667 moves, e=0.955, loss: nan, -, 12.4% elo% vs. random_bot, avg. reward: -11.315, 0.194 sec/game, 0.3 min. total, 480.0 MB
cherub_squatting v1 98 games, 46472 moves, e=0.954, loss: nan, -, 12.1% elo% vs. random_bot, avg. reward: -11.359, 0.194 sec/game, 0.3 min. total, 483.8 MB
cherub_squatting v1 100 games, 47261 moves, e=0.953, loss: nan, -, 11.9% elo% vs. random_bot, avg. reward: -11.411, 0.194 sec/game, 0.3 min. total, 486.7 MB
cherub_squatting v2 102 games, 48035 moves, e=0.952, loss: nan, -, 47.7% elo% vs. random_bot, avg. reward: -11.477, 0.193 sec/game, 0.3 min. total, 491.0 MB
cherub_squatting v2 104 games, 48819 moves, e=0.952, loss: nan, ., 47.8% elo% vs. random_bot, avg. reward: -11.522, 0.201 sec/game, 0.3 min. total, 492.7 MB
cherub_squatting v2 106 games, 49584 moves, e=0.951, loss: nan, -, 45.6% elo% vs. random_bot, avg. reward: -11.602, 0.198 sec/game, 0.3 min. total, 492.8 MB
cherub_squatting v2 108 games, 50396 moves, e=0.950, loss: nan, ., 45.8% elo% vs. random_bot, avg. reward: -11.668, 0.197 sec/game, 0.3 min. total, 493.2 MB
cherub_squatting v2 110 games, 51128 moves, e=0.949, loss: nan, -, 43.7% elo% vs. random_bot, avg. reward: -11.754, 0.196 sec/game, 0.3 min. total, 494.2 MB
cherub_squatting v2 112 games, 51879 moves, e=0.949, loss: nan, ., 44.0% elo% vs. random_bot, avg. reward: -11.813, 0.195 sec/game, 0.3 min. total, 495.1 MB
cherub_squatting v2 114 games, 52627 moves, e=0.948, loss: nan, -, 42.0% elo% vs. random_bot, avg. reward: -11.890, 0.194 sec/game, 0.4 min. total, 496.8 MB
cherub_squatting v2 116 games, 53439 moves, e=0.947, loss: nan, -, 40.2% elo% vs. random_bot, avg. reward: -11.936, 0.190 sec/game, 0.4 min. total, 498.6 MB
cherub_squatting v2 118 games, 54149 moves, e=0.946, loss: nan, ., 40.6% elo% vs. random_bot, avg. reward: -12.036, 0.191 sec/game, 0.4 min. total, 500.6 MB
cherub_squatting v2 120 games, 54906 moves, e=0.946, loss: nan, -, 38.8% elo% vs. random_bot, avg. reward: -12.104, 0.191 sec/game, 0.4 min. total, 502.0 MB
cherub_squatting v2 122 games, 55678 moves, e=0.945, loss: nan, -, 37.1% elo% vs. random_bot, avg. reward: -12.155, 0.190 sec/game, 0.4 min. total, 503.6 MB
