cocoa_revisable v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.2 MB
cocoa_revisable v1 1 games, 710 moves, e=0.999, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 10.930, 0.243 sec/game, 0.0 min. total, 315.2 MB
cocoa_revisable v1 2 games, 1371 moves, e=0.999, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 8.956, 0.231 sec/game, 0.0 min. total, 317.5 MB
cocoa_revisable v1 3 games, 2052 moves, e=0.998, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 11.789, 0.221 sec/game, 0.0 min. total, 321.0 MB
cocoa_revisable v1 4 games, 2737 moves, e=0.997, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 13.446, 0.224 sec/game, 0.0 min. total, 324.2 MB
cocoa_revisable v1 5 games, 3372 moves, e=0.997, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 11.495, 0.217 sec/game, 0.0 min. total, 326.5 MB
cocoa_revisable v1 6 games, 4044 moves, e=0.996, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 11.362, 0.215 sec/game, 0.0 min. total, 329.9 MB
cocoa_revisable v1 7 games, 4818 moves, e=0.995, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 11.022, 0.218 sec/game, 0.0 min. total, 333.2 MB
cocoa_revisable v1 8 games, 5471 moves, e=0.995, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 10.494, 0.215 sec/game, 0.0 min. total, 336.4 MB
cocoa_revisable v1 9 games, 6275 moves, e=0.994, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 10.417, 0.217 sec/game, 0.0 min. total, 339.8 MB
cocoa_revisable v1 10 games, 7059 moves, e=0.993, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 9.984, 0.221 sec/game, 0.0 min. total, 342.7 MB
cocoa_revisable v1 11 games, 7781 moves, e=0.992, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 9.603, 0.221 sec/game, 0.0 min. total, 346.1 MB
cocoa_revisable v1 12 games, 8518 moves, e=0.992, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 10.072, 0.222 sec/game, 0.0 min. total, 349.0 MB
cocoa_revisable v1 13 games, 9126 moves, e=0.991, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 9.520, 0.220 sec/game, 0.0 min. total, 352.5 MB
cocoa_revisable v1 14 games, 9753 moves, e=0.990, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 9.473, 0.218 sec/game, 0.1 min. total, 355.6 MB
cocoa_revisable v1 15 games, 10429 moves, e=0.990, loss: 158.3, ., 50.0% elo% vs. v0, avg. reward: 9.616, 0.284 sec/game, 0.1 min. total, 383.3 MB
cocoa_revisable v1 16 games, 11130 moves, e=0.989, loss: 150.5, ., 50.0% elo% vs. v0, avg. reward: 9.598, 0.355 sec/game, 0.1 min. total, 386.6 MB
cocoa_revisable v1 17 games, 11774 moves, e=0.988, loss: 145.6, ., 50.0% elo% vs. v0, avg. reward: 9.877, 0.415 sec/game, 0.1 min. total, 389.1 MB
cocoa_revisable v1 18 games, 12550 moves, e=0.988, loss: 145.4, ., 50.0% elo% vs. v0, avg. reward: 9.705, 0.499 sec/game, 0.1 min. total, 391.4 MB
cocoa_revisable v1 19 games, 13213 moves, e=0.987, loss: 140.0, ., 50.0% elo% vs. v0, avg. reward: 9.495, 0.545 sec/game, 0.2 min. total, 391.6 MB
cocoa_revisable v1 20 games, 13939 moves, e=0.986, loss: 136.3, ., 50.0% elo% vs. v0, avg. reward: 9.391, 0.589 sec/game, 0.2 min. total, 392.0 MB
cocoa_revisable v1 21 games, 14634 moves, e=0.986, loss: 133.3, ., 50.0% elo% vs. v0, avg. reward: 9.173, 0.659 sec/game, 0.2 min. total, 392.1 MB
cocoa_revisable v1 22 games, 15270 moves, e=0.985, loss: 133.2, ., 50.0% elo% vs. v0, avg. reward: 9.167, 0.716 sec/game, 0.2 min. total, 392.2 MB
cocoa_revisable v1 23 games, 15974 moves, e=0.984, loss: 135.7, ., 50.0% elo% vs. v0, avg. reward: 8.998, 0.777 sec/game, 0.3 min. total, 392.3 MB
cocoa_revisable v1 24 games, 16628 moves, e=0.984, loss: 144.8, ., 50.0% elo% vs. v0, avg. reward: 9.025, 0.838 sec/game, 0.3 min. total, 392.5 MB
cocoa_revisable v1 25 games, 17371 moves, e=0.983, loss: 154.5, ., 50.0% elo% vs. v0, avg. reward: 9.006, 0.912 sec/game, 0.3 min. total, 392.6 MB
cocoa_revisable v1 26 games, 18027 moves, e=0.982, loss: 156.0, ., 50.0% elo% vs. v0, avg. reward: 8.828, 0.973 sec/game, 0.3 min. total, 392.9 MB
cocoa_revisable v1 27 games, 18745 moves, e=0.981, loss: 147.7, ., 50.0% elo% vs. v0, avg. reward: 8.624, 1.039 sec/game, 0.4 min. total, 393.4 MB
cocoa_revisable v1 28 games, 19375 moves, e=0.981, loss: 152.0, ., 50.0% elo% vs. v0, avg. reward: 8.850, 1.094 sec/game, 0.4 min. total, 394.5 MB
cocoa_revisable v1 29 games, 20089 moves, e=0.980, loss: 160.9, ., 50.0% elo% vs. v0, avg. reward: 8.903, 1.149 sec/game, 0.4 min. total, 395.1 MB
cocoa_revisable v1 30 games, 20925 moves, e=0.979, loss: 168.3, ., 50.0% elo% vs. v0, avg. reward: 8.708, 1.223 sec/game, 0.4 min. total, 397.1 MB
cocoa_revisable v1 31 games, 21638 moves, e=0.979, loss: 175.5, ., 50.0% elo% vs. v0, avg. reward: 8.673, 1.307 sec/game, 0.5 min. total, 398.7 MB
cocoa_revisable v1 32 games, 22362 moves, e=0.978, loss: 181.3, ., 50.0% elo% vs. v0, avg. reward: 8.492, 1.374 sec/game, 0.5 min. total, 400.4 MB
cocoa_revisable v1 33 games, 23051 moves, e=0.977, loss: 182.7, ., 50.0% elo% vs. v0, avg. reward: 8.366, 1.453 sec/game, 0.5 min. total, 402.5 MB
cocoa_revisable v1 34 games, 23679 moves, e=0.977, loss: 174.0, ., 50.0% elo% vs. v0, avg. reward: 8.495, 1.507 sec/game, 0.6 min. total, 402.8 MB
cocoa_revisable v1 35 games, 24341 moves, e=0.976, loss: 183.7, ., 50.0% elo% vs. v0, avg. reward: 8.441, 1.537 sec/game, 0.6 min. total, 402.7 MB
cocoa_revisable v1 36 games, 24984 moves, e=0.975, loss: 194.2, ., 50.0% elo% vs. v0, avg. reward: 8.227, 1.540 sec/game, 0.6 min. total, 402.7 MB
