corny_hush v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.8 MB
corny_hush v1 1 games, 644 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -9.654, 0.229 sec/game, 0.0 min. total, 311.7 MB
corny_hush v1 2 games, 1362 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -8.935, 0.233 sec/game, 0.0 min. total, 314.7 MB
corny_hush v1 3 games, 2099 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -8.737, 0.241 sec/game, 0.0 min. total, 317.2 MB
corny_hush v1 4 games, 2844 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -8.578, 0.243 sec/game, 0.0 min. total, 320.8 MB
corny_hush v1 5 games, 3553 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -8.596, 0.243 sec/game, 0.0 min. total, 324.4 MB
corny_hush v1 6 games, 4316 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -8.471, 0.243 sec/game, 0.0 min. total, 327.5 MB
corny_hush v1 7 games, 5063 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -8.401, 0.244 sec/game, 0.0 min. total, 330.5 MB
corny_hush v1 8 games, 5777 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -8.367, 0.245 sec/game, 0.0 min. total, 333.2 MB
corny_hush v1 9 games, 6432 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -8.461, 0.245 sec/game, 0.0 min. total, 336.1 MB
corny_hush v1 10 games, 7108 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -8.501, 0.245 sec/game, 0.0 min. total, 338.3 MB
corny_hush v1 11 games, 7881 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -8.449, 0.246 sec/game, 0.0 min. total, 340.6 MB
corny_hush v1 12 games, 8560 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -8.479, 0.245 sec/game, 0.0 min. total, 344.2 MB
corny_hush v2 13 games, 9402 moves, e=0.991, loss: nan, ., 52.2% elo% vs. guard_bot, avg. reward: -8.375, 0.247 sec/game, 0.1 min. total, 410.6 MB
corny_hush v2 14 games, 10198 moves, e=0.990, loss: 39.5, ., 52.1% elo% vs. guard_bot, avg. reward: -8.318, 0.283 sec/game, 0.1 min. total, 436.3 MB
corny_hush v2 15 games, 10807 moves, e=0.989, loss: 33.8, ., 52.0% elo% vs. guard_bot, avg. reward: -8.434, 0.346 sec/game, 0.1 min. total, 439.3 MB
corny_hush v2 16 games, 11567 moves, e=0.989, loss: 23.4, ., 51.9% elo% vs. guard_bot, avg. reward: -8.414, 0.418 sec/game, 0.1 min. total, 442.1 MB
corny_hush v2 17 games, 12276 moves, e=0.988, loss: 17.2, ., 51.8% elo% vs. guard_bot, avg. reward: -8.419, 0.470 sec/game, 0.1 min. total, 444.3 MB
corny_hush v2 18 games, 13026 moves, e=0.987, loss: 12.3, ., 51.7% elo% vs. guard_bot, avg. reward: -8.408, 0.531 sec/game, 0.2 min. total, 445.6 MB
