crept_manicure v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.1 MB
crept_manicure v1 1 games, 701 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 0.100, 0.241 sec/game, 0.0 min. total, 320.3 MB
crept_manicure v1 2 games, 1426 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: 0.148, 0.232 sec/game, 0.0 min. total, 323.9 MB
crept_manicure v1 3 games, 2008 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: 0.104, 0.216 sec/game, 0.0 min. total, 325.9 MB
crept_manicure v1 4 games, 2604 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: 0.082, 0.208 sec/game, 0.0 min. total, 329.0 MB
crept_manicure v1 5 games, 3254 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: 0.132, 0.208 sec/game, 0.0 min. total, 333.1 MB
crept_manicure v1 6 games, 3995 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: 0.115, 0.261 sec/game, 0.0 min. total, 337.2 MB
crept_manicure v1 7 games, 4725 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: 0.117, 0.259 sec/game, 0.0 min. total, 340.5 MB
crept_manicure v1 8 games, 5425 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: 0.122, 0.256 sec/game, 0.0 min. total, 343.1 MB
crept_manicure v1 9 games, 6094 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: 0.134, 0.252 sec/game, 0.0 min. total, 346.5 MB
crept_manicure v1 10 games, 6735 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: 0.132, 0.248 sec/game, 0.0 min. total, 350.7 MB
crept_manicure v1 11 games, 7321 moves, e=0.993, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: 0.122, 0.243 sec/game, 0.0 min. total, 354.2 MB
crept_manicure v1 12 games, 7935 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: 0.125, 0.239 sec/game, 0.0 min. total, 357.6 MB
crept_manicure v2 13 games, 8607 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: 0.125, 0.237 sec/game, 0.1 min. total, 422.6 MB
crept_manicure v2 14 games, 9253 moves, e=0.991, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: 0.127, 0.233 sec/game, 0.1 min. total, 426.6 MB
crept_manicure v2 15 games, 9923 moves, e=0.990, loss: nan, +, 58.5% elo% vs. guard_bot, avg. reward: 0.124, 0.230 sec/game, 0.1 min. total, 429.8 MB
crept_manicure v2 16 games, 10584 moves, e=0.990, loss: 0.2, +, 60.4% elo% vs. guard_bot, avg. reward: 0.117, 0.308 sec/game, 0.1 min. total, 458.6 MB
crept_manicure v2 17 games, 11255 moves, e=0.989, loss: 0.2, +, 62.1% elo% vs. guard_bot, avg. reward: 0.116, 0.377 sec/game, 0.1 min. total, 460.4 MB
crept_manicure v2 18 games, 11890 moves, e=0.988, loss: 0.1, +, 63.7% elo% vs. guard_bot, avg. reward: 0.121, 0.436 sec/game, 0.1 min. total, 460.7 MB
crept_manicure v2 19 games, 12601 moves, e=0.988, loss: 0.1, +, 65.2% elo% vs. guard_bot, avg. reward: 0.119, 0.504 sec/game, 0.2 min. total, 461.1 MB
crept_manicure v2 20 games, 13221 moves, e=0.987, loss: 0.1, ., 64.6% elo% vs. guard_bot, avg. reward: 0.125, 0.553 sec/game, 0.2 min. total, 461.2 MB
crept_manicure v2 21 games, 13921 moves, e=0.986, loss: 0.1, +, 66.1% elo% vs. guard_bot, avg. reward: 0.126, 0.616 sec/game, 0.2 min. total, 461.1 MB
crept_manicure v2 22 games, 14568 moves, e=0.986, loss: 0.1, +, 67.5% elo% vs. guard_bot, avg. reward: 0.128, 0.678 sec/game, 0.2 min. total, 461.2 MB
crept_manicure v2 23 games, 15151 moves, e=0.985, loss: 0.1, +, 68.8% elo% vs. guard_bot, avg. reward: 0.125, 0.745 sec/game, 0.3 min. total, 461.3 MB
crept_manicure v2 24 games, 15866 moves, e=0.984, loss: 0.1, +, 70.0% elo% vs. guard_bot, avg. reward: 0.129, 0.811 sec/game, 0.3 min. total, 462.0 MB
crept_manicure v2 25 games, 16556 moves, e=0.984, loss: 0.1, +, 71.1% elo% vs. guard_bot, avg. reward: 0.130, 0.889 sec/game, 0.3 min. total, 463.0 MB
crept_manicure v3 26 games, 17210 moves, e=0.983, loss: 0.1, -, 49.9% elo% vs. random_no_suicide, avg. reward: 0.128, 0.935 sec/game, 0.3 min. total, 466.6 MB
crept_manicure v3 27 games, 17902 moves, e=0.982, loss: 0.1, +, 52.2% elo% vs. random_no_suicide, avg. reward: 0.133, 1.003 sec/game, 0.4 min. total, 470.0 MB
crept_manicure v3 28 games, 18643 moves, e=0.982, loss: 0.2, -, 49.8% elo% vs. random_no_suicide, avg. reward: 0.132, 1.090 sec/game, 0.4 min. total, 471.7 MB
crept_manicure v3 29 games, 19374 moves, e=0.981, loss: 0.2, +, 52.1% elo% vs. random_no_suicide, avg. reward: 0.128, 1.173 sec/game, 0.4 min. total, 474.5 MB
crept_manicure v3 30 games, 20058 moves, e=0.980, loss: 0.2, +, 54.3% elo% vs. random_no_suicide, avg. reward: 0.129, 1.246 sec/game, 0.5 min. total, 477.0 MB
crept_manicure v3 31 games, 20805 moves, e=0.979, loss: 0.2, +, 56.4% elo% vs. random_no_suicide, avg. reward: 0.130, 1.326 sec/game, 0.5 min. total, 474.7 MB
crept_manicure v3 32 games, 21464 moves, e=0.979, loss: 0.2, +, 58.3% elo% vs. random_no_suicide, avg. reward: 0.132, 1.397 sec/game, 0.5 min. total, 474.9 MB
crept_manicure v3 33 games, 22193 moves, e=0.978, loss: 0.2, +, 60.2% elo% vs. random_no_suicide, avg. reward: 0.129, 1.479 sec/game, 0.5 min. total, 474.9 MB
crept_manicure v3 34 games, 22957 moves, e=0.977, loss: 0.2, +, 61.9% elo% vs. random_no_suicide, avg. reward: 0.131, 1.560 sec/game, 0.6 min. total, 477.6 MB
crept_manicure v3 35 games, 23647 moves, e=0.977, loss: 0.3, +, 63.6% elo% vs. random_no_suicide, avg. reward: 0.131, 1.628 sec/game, 0.6 min. total, 475.2 MB
crept_manicure v3 36 games, 24503 moves, e=0.976, loss: 0.3, +, 65.1% elo% vs. random_no_suicide, avg. reward: 0.131, 1.664 sec/game, 0.6 min. total, 475.4 MB
crept_manicure v3 37 games, 25221 moves, e=0.975, loss: 0.3, +, 66.6% elo% vs. random_no_suicide, avg. reward: 0.130, 1.681 sec/game, 0.7 min. total, 475.5 MB
crept_manicure v3 38 games, 25963 moves, e=0.974, loss: 0.3, +, 67.9% elo% vs. random_no_suicide, avg. reward: 0.134, 1.685 sec/game, 0.7 min. total, 477.3 MB
crept_manicure v3 39 games, 26572 moves, e=0.974, loss: 0.3, +, 69.2% elo% vs. random_no_suicide, avg. reward: 0.134, 1.680 sec/game, 0.7 min. total, 478.0 MB
crept_manicure v3 40 games, 27282 moves, e=0.973, loss: 0.4, +, 70.4% elo% vs. random_no_suicide, avg. reward: 0.133, 1.696 sec/game, 0.7 min. total, 478.0 MB
crept_manicure v4 41 games, 27940 moves, e=0.972, loss: 0.4, -, 49.9% elo% vs. simple_bot, avg. reward: 0.133, 1.698 sec/game, 0.8 min. total, 477.8 MB
crept_manicure v4 42 games, 28661 moves, e=0.972, loss: 0.4, -, 47.6% elo% vs. simple_bot, avg. reward: 0.132, 1.703 sec/game, 0.8 min. total, 477.9 MB
crept_manicure v4 43 games, 29396 moves, e=0.971, loss: 0.4, -, 45.4% elo% vs. simple_bot, avg. reward: 0.131, 1.716 sec/game, 0.8 min. total, 478.3 MB
crept_manicure v4 44 games, 30029 moves, e=0.970, loss: 0.5, -, 43.4% elo% vs. simple_bot, avg. reward: 0.131, 1.716 sec/game, 0.9 min. total, 478.9 MB
crept_manicure v4 45 games, 30632 moves, e=0.970, loss: 0.5, -, 41.4% elo% vs. simple_bot, avg. reward: 0.130, 1.703 sec/game, 0.9 min. total, 479.7 MB
crept_manicure v4 46 games, 31408 moves, e=0.969, loss: 0.6, -, 39.6% elo% vs. simple_bot, avg. reward: 0.131, 1.722 sec/game, 0.9 min. total, 482.5 MB
crept_manicure v4 47 games, 32062 moves, e=0.968, loss: 0.6, -, 37.8% elo% vs. simple_bot, avg. reward: 0.132, 1.716 sec/game, 0.9 min. total, 483.3 MB
crept_manicure v4 48 games, 32810 moves, e=0.968, loss: 0.6, -, 36.2% elo% vs. simple_bot, avg. reward: 0.132, 1.718 sec/game, 1.0 min. total, 483.7 MB
crept_manicure v4 49 games, 33488 moves, e=0.967, loss: 0.5, -, 34.7% elo% vs. simple_bot, avg. reward: 0.133, 1.708 sec/game, 1.0 min. total, 484.1 MB
crept_manicure v4 50 games, 34232 moves, e=0.966, loss: 0.5, -, 33.3% elo% vs. simple_bot, avg. reward: 0.131, 1.730 sec/game, 1.0 min. total, 484.3 MB
crept_manicure v4 51 games, 35071 moves, e=0.965, loss: 0.6, -, 31.9% elo% vs. simple_bot, avg. reward: 0.131, 1.749 sec/game, 1.1 min. total, 484.1 MB
crept_manicure v4 52 games, 35810 moves, e=0.965, loss: 0.7, -, 30.6% elo% vs. simple_bot, avg. reward: 0.133, 1.769 sec/game, 1.1 min. total, 484.5 MB
crept_manicure v4 53 games, 36544 moves, e=0.964, loss: 0.7, -, 29.5% elo% vs. simple_bot, avg. reward: 0.134, 1.777 sec/game, 1.1 min. total, 485.0 MB
crept_manicure v4 54 games, 37280 moves, e=0.963, loss: 0.8, -, 28.3% elo% vs. simple_bot, avg. reward: 0.133, 1.785 sec/game, 1.2 min. total, 485.6 MB
crept_manicure v4 55 games, 38067 moves, e=0.962, loss: 0.9, -, 27.3% elo% vs. simple_bot, avg. reward: 0.132, 1.836 sec/game, 1.2 min. total, 485.4 MB
crept_manicure v4 56 games, 38750 moves, e=0.962, loss: 0.9, -, 26.3% elo% vs. simple_bot, avg. reward: 0.133, 1.814 sec/game, 1.2 min. total, 485.9 MB
