crept_squid v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.0 MB
crept_squid v1 1 games, 636 moves, e=0.999, loss: nan, -, 47.7% elo% vs. v0, avg. reward: -3.330, 0.210 sec/game, 0.0 min. total, 317.9 MB
crept_squid v1 2 games, 1280 moves, e=0.999, loss: nan, -, 45.5% elo% vs. v0, avg. reward: -1.618, 0.204 sec/game, 0.0 min. total, 321.6 MB
crept_squid v1 3 games, 1945 moves, e=0.998, loss: nan, -, 43.4% elo% vs. v0, avg. reward: -3.194, 0.203 sec/game, 0.0 min. total, 326.5 MB
crept_squid v1 4 games, 2714 moves, e=0.997, loss: nan, +, 46.0% elo% vs. v0, avg. reward: -3.523, 0.215 sec/game, 0.0 min. total, 330.6 MB
crept_squid v1 5 games, 3378 moves, e=0.997, loss: nan, +, 48.5% elo% vs. v0, avg. reward: -3.955, 0.217 sec/game, 0.0 min. total, 334.6 MB
crept_squid v1 6 games, 4111 moves, e=0.996, loss: nan, -, 46.3% elo% vs. v0, avg. reward: -3.994, 0.219 sec/game, 0.0 min. total, 340.0 MB
crept_squid v1 7 games, 4872 moves, e=0.995, loss: nan, ., 46.4% elo% vs. v0, avg. reward: -4.034, 0.223 sec/game, 0.0 min. total, 344.1 MB
crept_squid v1 8 games, 5474 moves, e=0.995, loss: nan, -, 44.3% elo% vs. v0, avg. reward: -4.611, 0.218 sec/game, 0.0 min. total, 348.0 MB
crept_squid v1 9 games, 6120 moves, e=0.994, loss: nan, -, 42.3% elo% vs. v0, avg. reward: -4.639, 0.215 sec/game, 0.0 min. total, 352.9 MB
crept_squid v1 10 games, 6784 moves, e=0.993, loss: nan, -, 40.4% elo% vs. v0, avg. reward: -4.457, 0.215 sec/game, 0.0 min. total, 356.8 MB
crept_squid v1 11 games, 7557 moves, e=0.993, loss: nan, +, 43.1% elo% vs. v0, avg. reward: -4.280, 0.216 sec/game, 0.0 min. total, 357.1 MB
crept_squid v1 12 games, 8310 moves, e=0.992, loss: nan, -, 41.2% elo% vs. v0, avg. reward: -4.081, 0.217 sec/game, 0.0 min. total, 357.5 MB
crept_squid v1 13 games, 8984 moves, e=0.991, loss: nan, +, 43.8% elo% vs. v0, avg. reward: -3.990, 0.215 sec/game, 0.0 min. total, 358.2 MB
crept_squid v1 14 games, 9637 moves, e=0.990, loss: nan, +, 46.4% elo% vs. v0, avg. reward: -4.231, 0.214 sec/game, 0.0 min. total, 359.7 MB
crept_squid v1 15 games, 10456 moves, e=0.990, loss: 80.0, +, 48.8% elo% vs. v0, avg. reward: -3.879, 0.278 sec/game, 0.1 min. total, 387.0 MB
crept_squid v1 16 games, 11172 moves, e=0.989, loss: 60.1, -, 46.6% elo% vs. v0, avg. reward: -3.698, 0.357 sec/game, 0.1 min. total, 389.8 MB
crept_squid v1 17 games, 11817 moves, e=0.988, loss: 45.7, -, 44.5% elo% vs. v0, avg. reward: -3.770, 0.415 sec/game, 0.1 min. total, 392.1 MB
crept_squid v1 18 games, 12545 moves, e=0.988, loss: 36.2, -, 42.4% elo% vs. v0, avg. reward: -3.679, 0.477 sec/game, 0.1 min. total, 394.6 MB
crept_squid v1 19 games, 13251 moves, e=0.987, loss: 31.6, -, 40.6% elo% vs. v0, avg. reward: -3.598, 0.522 sec/game, 0.2 min. total, 394.7 MB
crept_squid v1 20 games, 13988 moves, e=0.986, loss: 30.1, -, 38.8% elo% vs. v0, avg. reward: -3.533, 0.572 sec/game, 0.2 min. total, 394.9 MB
crept_squid v1 21 games, 14586 moves, e=0.986, loss: 29.6, -, 37.1% elo% vs. v0, avg. reward: -3.563, 0.615 sec/game, 0.2 min. total, 394.7 MB
crept_squid v1 22 games, 15295 moves, e=0.985, loss: 31.3, -, 35.5% elo% vs. v0, avg. reward: -3.654, 0.682 sec/game, 0.2 min. total, 394.8 MB
crept_squid v1 23 games, 16009 moves, e=0.984, loss: 31.1, -, 34.0% elo% vs. v0, avg. reward: -3.719, 0.749 sec/game, 0.3 min. total, 395.5 MB
crept_squid v1 24 games, 16755 moves, e=0.983, loss: 30.8, -, 32.6% elo% vs. v0, avg. reward: -3.797, 0.805 sec/game, 0.3 min. total, 396.3 MB
crept_squid v1 25 games, 17475 moves, e=0.983, loss: 30.4, -, 31.3% elo% vs. v0, avg. reward: -3.796, 0.872 sec/game, 0.3 min. total, 398.3 MB
crept_squid v1 26 games, 18229 moves, e=0.982, loss: 29.6, -, 30.1% elo% vs. v0, avg. reward: -3.675, 0.938 sec/game, 0.3 min. total, 401.3 MB
crept_squid v1 27 games, 18874 moves, e=0.981, loss: 28.8, -, 28.9% elo% vs. v0, avg. reward: -3.827, 0.997 sec/game, 0.4 min. total, 401.4 MB
crept_squid v1 28 games, 19576 moves, e=0.981, loss: 28.4, -, 27.9% elo% vs. v0, avg. reward: -3.809, 1.056 sec/game, 0.4 min. total, 401.4 MB
crept_squid v1 29 games, 20247 moves, e=0.980, loss: 29.2, +, 30.6% elo% vs. v0, avg. reward: -3.866, 1.123 sec/game, 0.4 min. total, 401.5 MB
crept_squid v1 30 games, 21022 moves, e=0.979, loss: 29.3, -, 29.4% elo% vs. v0, avg. reward: -3.730, 1.192 sec/game, 0.4 min. total, 403.2 MB
crept_squid v1 31 games, 21721 moves, e=0.978, loss: 30.3, -, 28.3% elo% vs. v0, avg. reward: -3.648, 1.247 sec/game, 0.5 min. total, 401.6 MB
crept_squid v1 32 games, 22469 moves, e=0.978, loss: 33.4, -, 27.3% elo% vs. v0, avg. reward: -3.652, 1.316 sec/game, 0.5 min. total, 401.5 MB
crept_squid v1 33 games, 23167 moves, e=0.977, loss: 35.3, -, 26.3% elo% vs. v0, avg. reward: -3.696, 1.374 sec/game, 0.5 min. total, 401.6 MB
crept_squid v1 34 games, 23838 moves, e=0.976, loss: 34.1, -, 25.3% elo% vs. v0, avg. reward: -3.657, 1.446 sec/game, 0.5 min. total, 403.7 MB
crept_squid v1 35 games, 24654 moves, e=0.976, loss: 35.7, -, 24.5% elo% vs. v0, avg. reward: -3.515, 1.474 sec/game, 0.6 min. total, 403.9 MB
