demanding_wow v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 322.9 MB
demanding_wow v1 1 games, 651 moves, e=0.999, loss: nan, -, 47.7% elo% vs. v0, avg. reward: -2.899, 0.199 sec/game, 0.0 min. total, 325.4 MB
demanding_wow v1 2 games, 1396 moves, e=0.999, loss: nan, +, 50.1% elo% vs. v0, avg. reward: -2.799, 0.179 sec/game, 0.0 min. total, 330.0 MB
demanding_wow v1 3 games, 2070 moves, e=0.998, loss: nan, -, 47.8% elo% vs. v0, avg. reward: -3.060, 0.184 sec/game, 0.0 min. total, 333.2 MB
demanding_wow v1 4 games, 2748 moves, e=0.997, loss: nan, -, 45.6% elo% vs. v0, avg. reward: -3.064, 0.179 sec/game, 0.0 min. total, 336.7 MB
demanding_wow v1 5 games, 3521 moves, e=0.997, loss: nan, +, 48.1% elo% vs. v0, avg. reward: -2.863, 0.178 sec/game, 0.0 min. total, 340.4 MB
demanding_wow v1 6 games, 4141 moves, e=0.996, loss: nan, +, 50.5% elo% vs. v0, avg. reward: -2.941, 0.180 sec/game, 0.0 min. total, 343.6 MB
demanding_wow v1 7 games, 4852 moves, e=0.995, loss: nan, +, 52.8% elo% vs. v0, avg. reward: -2.909, 0.183 sec/game, 0.0 min. total, 346.9 MB
demanding_wow v1 8 games, 5520 moves, e=0.995, loss: nan, -, 50.3% elo% vs. v0, avg. reward: -2.944, 0.182 sec/game, 0.0 min. total, 350.7 MB
demanding_wow v1 9 games, 6159 moves, e=0.994, loss: nan, +, 52.6% elo% vs. v0, avg. reward: -3.033, 0.182 sec/game, 0.0 min. total, 353.8 MB
demanding_wow v1 10 games, 6937 moves, e=0.993, loss: nan, +, 54.8% elo% vs. v0, avg. reward: -3.006, 0.183 sec/game, 0.0 min. total, 357.3 MB
demanding_wow v1 11 games, 7621 moves, e=0.992, loss: nan, -, 52.3% elo% vs. v0, avg. reward: -3.020, 0.184 sec/game, 0.0 min. total, 360.8 MB
demanding_wow v1 12 games, 8302 moves, e=0.992, loss: nan, ., 52.2% elo% vs. v0, avg. reward: -2.996, 0.182 sec/game, 0.0 min. total, 363.8 MB
demanding_wow v1 13 games, 8994 moves, e=0.991, loss: nan, +, 54.4% elo% vs. v0, avg. reward: -3.009, 0.182 sec/game, 0.0 min. total, 363.9 MB
demanding_wow v1 14 games, 9758 moves, e=0.990, loss: nan, -, 51.9% elo% vs. v0, avg. reward: -3.002, 0.183 sec/game, 0.0 min. total, 364.0 MB
demanding_wow v1 15 games, 10449 moves, e=0.990, loss: 11.4, ., 51.8% elo% vs. v0, avg. reward: -2.990, 0.293 sec/game, 0.1 min. total, 383.9 MB
demanding_wow v1 16 games, 11193 moves, e=0.989, loss: 9.0, -, 49.4% elo% vs. v0, avg. reward: -2.978, 0.411 sec/game, 0.1 min. total, 384.6 MB
demanding_wow v1 17 games, 11874 moves, e=0.988, loss: 7.3, -, 47.1% elo% vs. v0, avg. reward: -2.968, 0.492 sec/game, 0.1 min. total, 385.3 MB
demanding_wow v1 18 games, 12552 moves, e=0.988, loss: 5.7, +, 49.6% elo% vs. v0, avg. reward: -2.951, 0.594 sec/game, 0.2 min. total, 386.4 MB
demanding_wow v1 19 games, 13243 moves, e=0.987, loss: 5.0, -, 47.3% elo% vs. v0, avg. reward: -2.969, 0.649 sec/game, 0.2 min. total, 387.1 MB
demanding_wow v1 20 games, 14021 moves, e=0.986, loss: 4.9, +, 49.7% elo% vs. v0, avg. reward: -2.971, 0.713 sec/game, 0.2 min. total, 389.5 MB
demanding_wow v1 21 games, 14685 moves, e=0.985, loss: 5.0, -, 47.4% elo% vs. v0, avg. reward: -2.957, 0.793 sec/game, 0.3 min. total, 390.5 MB
demanding_wow v1 22 games, 15336 moves, e=0.985, loss: 5.3, +, 49.8% elo% vs. v0, avg. reward: -2.961, 0.864 sec/game, 0.3 min. total, 390.5 MB
demanding_wow v1 23 games, 16014 moves, e=0.984, loss: 5.2, -, 47.6% elo% vs. v0, avg. reward: -2.982, 0.955 sec/game, 0.3 min. total, 390.8 MB
demanding_wow v1 24 games, 16735 moves, e=0.983, loss: 5.0, -, 45.4% elo% vs. v0, avg. reward: -2.993, 1.036 sec/game, 0.4 min. total, 390.8 MB
demanding_wow v1 25 games, 17501 moves, e=0.983, loss: 5.2, -, 43.3% elo% vs. v0, avg. reward: -2.979, 1.128 sec/game, 0.4 min. total, 391.1 MB
demanding_wow v1 26 games, 18280 moves, e=0.982, loss: 4.5, -, 41.4% elo% vs. v0, avg. reward: -2.966, 1.232 sec/game, 0.4 min. total, 391.5 MB
demanding_wow v1 27 games, 18905 moves, e=0.981, loss: 4.4, -, 39.5% elo% vs. v0, avg. reward: -2.987, 1.303 sec/game, 0.5 min. total, 391.7 MB
demanding_wow v1 28 games, 19598 moves, e=0.981, loss: 4.7, -, 37.8% elo% vs. v0, avg. reward: -2.985, 1.391 sec/game, 0.5 min. total, 392.4 MB
demanding_wow v1 29 games, 20297 moves, e=0.980, loss: 4.5, -, 36.2% elo% vs. v0, avg. reward: -2.962, 1.478 sec/game, 0.5 min. total, 392.8 MB
demanding_wow v1 30 games, 21085 moves, e=0.979, loss: 4.6, -, 34.7% elo% vs. v0, avg. reward: -2.940, 1.571 sec/game, 0.6 min. total, 394.7 MB
demanding_wow v1 31 games, 21811 moves, e=0.978, loss: 4.7, -, 33.2% elo% vs. v0, avg. reward: -2.939, 1.668 sec/game, 0.6 min. total, 398.0 MB
demanding_wow v1 32 games, 22492 moves, e=0.978, loss: 4.7, -, 31.9% elo% vs. v0, avg. reward: -2.958, 1.753 sec/game, 0.6 min. total, 397.9 MB
demanding_wow v1 33 games, 23238 moves, e=0.977, loss: 5.2, -, 30.6% elo% vs. v0, avg. reward: -2.964, 1.849 sec/game, 0.7 min. total, 398.0 MB
demanding_wow v1 34 games, 23906 moves, e=0.976, loss: 4.6, -, 29.4% elo% vs. v0, avg. reward: -2.968, 1.926 sec/game, 0.7 min. total, 398.1 MB
demanding_wow v1 35 games, 24570 moves, e=0.976, loss: 4.4, -, 28.3% elo% vs. v0, avg. reward: -2.979, 1.921 sec/game, 0.7 min. total, 398.3 MB
demanding_wow v1 36 games, 25193 moves, e=0.975, loss: 4.2, -, 27.3% elo% vs. v0, avg. reward: -2.990, 1.896 sec/game, 0.7 min. total, 398.2 MB
demanding_wow v1 37 games, 25832 moves, e=0.974, loss: 4.3, -, 26.3% elo% vs. v0, avg. reward: -3.003, 1.890 sec/game, 0.8 min. total, 398.5 MB
