demeaning_prong v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 303.9 MB
demeaning_prong v1 1 games, 727 moves, e=0.999, loss: nan, -, 47.7% elo% vs. random_bot, avg. reward: -8.561, 0.257 sec/game, 0.0 min. total, 315.2 MB
demeaning_prong v1 2 games, 1339 moves, e=0.999, loss: nan, -, 45.5% elo% vs. random_bot, avg. reward: -9.340, 0.273 sec/game, 0.0 min. total, 318.3 MB
demeaning_prong v1 3 games, 2008 moves, e=0.998, loss: nan, -, 43.4% elo% vs. random_bot, avg. reward: -9.357, 0.253 sec/game, 0.0 min. total, 321.0 MB
demeaning_prong v1 4 games, 2734 moves, e=0.997, loss: nan, -, 41.5% elo% vs. random_bot, avg. reward: -9.170, 0.247 sec/game, 0.0 min. total, 323.7 MB
demeaning_prong v1 5 games, 3350 moves, e=0.997, loss: nan, -, 39.6% elo% vs. random_bot, avg. reward: -9.289, 0.236 sec/game, 0.0 min. total, 326.4 MB
demeaning_prong v1 6 games, 3978 moves, e=0.996, loss: nan, -, 37.9% elo% vs. random_bot, avg. reward: -9.424, 0.229 sec/game, 0.0 min. total, 328.6 MB
demeaning_prong v1 7 games, 4645 moves, e=0.995, loss: nan, -, 36.3% elo% vs. random_bot, avg. reward: -9.402, 0.226 sec/game, 0.0 min. total, 331.1 MB
demeaning_prong v1 8 games, 5247 moves, e=0.995, loss: nan, -, 34.8% elo% vs. random_bot, avg. reward: -9.523, 0.222 sec/game, 0.0 min. total, 333.4 MB
demeaning_prong v1 9 games, 6041 moves, e=0.994, loss: nan, -, 33.3% elo% vs. random_bot, avg. reward: -9.321, 0.226 sec/game, 0.0 min. total, 336.2 MB
demeaning_prong v1 10 games, 6628 moves, e=0.993, loss: nan, -, 32.0% elo% vs. random_bot, avg. reward: -9.444, 0.221 sec/game, 0.0 min. total, 338.8 MB
demeaning_prong v1 11 games, 7183 moves, e=0.993, loss: nan, -, 30.7% elo% vs. random_bot, avg. reward: -9.626, 0.218 sec/game, 0.0 min. total, 340.9 MB
demeaning_prong v1 12 games, 7885 moves, e=0.992, loss: nan, -, 29.5% elo% vs. random_bot, avg. reward: -9.573, 0.218 sec/game, 0.0 min. total, 344.0 MB
demeaning_prong v1 13 games, 8640 moves, e=0.991, loss: nan, -, 28.4% elo% vs. random_bot, avg. reward: -9.459, 0.219 sec/game, 0.0 min. total, 346.0 MB
demeaning_prong v1 14 games, 9242 moves, e=0.991, loss: nan, -, 27.3% elo% vs. random_bot, avg. reward: -9.522, 0.218 sec/game, 0.1 min. total, 348.1 MB
demeaning_prong v1 15 games, 9984 moves, e=0.990, loss: nan, ., 28.2% elo% vs. random_bot, avg. reward: -9.445, 0.219 sec/game, 0.1 min. total, 351.3 MB
demeaning_prong v1 16 games, 10606 moves, e=0.990, loss: 53.1, +, 30.9% elo% vs. random_bot, avg. reward: -9.487, 0.290 sec/game, 0.1 min. total, 375.4 MB
demeaning_prong v1 17 games, 11258 moves, e=0.989, loss: 37.1, +, 33.7% elo% vs. random_bot, avg. reward: -9.492, 0.353 sec/game, 0.1 min. total, 377.3 MB
demeaning_prong v1 18 games, 12006 moves, e=0.988, loss: 21.8, +, 36.5% elo% vs. random_bot, avg. reward: -9.429, 0.414 sec/game, 0.1 min. total, 379.6 MB
demeaning_prong v1 19 games, 12652 moves, e=0.987, loss: 13.8, +, 39.2% elo% vs. random_bot, avg. reward: -9.420, 0.459 sec/game, 0.1 min. total, 381.3 MB
demeaning_prong v1 20 games, 13377 moves, e=0.987, loss: 8.2, +, 41.9% elo% vs. random_bot, avg. reward: -9.365, 0.510 sec/game, 0.2 min. total, 383.7 MB
demeaning_prong v1 21 games, 14077 moves, e=0.986, loss: 5.5, +, 44.6% elo% vs. random_bot, avg. reward: -9.346, 0.560 sec/game, 0.2 min. total, 385.1 MB
demeaning_prong v1 22 games, 14724 moves, e=0.985, loss: 3.9, +, 47.1% elo% vs. random_bot, avg. reward: -9.363, 0.616 sec/game, 0.2 min. total, 387.6 MB
demeaning_prong v1 23 games, 15519 moves, e=0.985, loss: 2.8, +, 49.5% elo% vs. random_bot, avg. reward: -9.288, 0.683 sec/game, 0.2 min. total, 386.8 MB
demeaning_prong v1 24 games, 16125 moves, e=0.984, loss: 2.4, +, 51.9% elo% vs. random_bot, avg. reward: -9.333, 0.718 sec/game, 0.3 min. total, 386.8 MB
