dispersal_cartoon v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 306.3 MB
dispersal_cartoon v1 1 games, 710 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 5.752, 0.369 sec/game, 0.0 min. total, 312.6 MB
dispersal_cartoon v1 2 games, 1431 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: 5.518, 0.383 sec/game, 0.0 min. total, 315.5 MB
dispersal_cartoon v1 3 games, 2108 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: 5.516, 0.360 sec/game, 0.0 min. total, 319.4 MB
dispersal_cartoon v1 4 games, 2772 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: 5.529, 0.353 sec/game, 0.0 min. total, 322.6 MB
dispersal_cartoon v1 5 games, 3483 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: 5.494, 0.349 sec/game, 0.0 min. total, 325.5 MB
dispersal_cartoon v1 6 games, 4242 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: 5.430, 0.352 sec/game, 0.0 min. total, 328.7 MB
dispersal_cartoon v1 7 games, 4812 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: 5.375, 0.341 sec/game, 0.0 min. total, 331.8 MB
dispersal_cartoon v1 8 games, 5545 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: 5.426, 0.342 sec/game, 0.0 min. total, 335.4 MB
dispersal_cartoon v1 9 games, 6200 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: 5.382, 0.339 sec/game, 0.1 min. total, 338.1 MB
dispersal_cartoon v1 10 games, 6909 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: 5.427, 0.339 sec/game, 0.1 min. total, 342.3 MB
dispersal_cartoon v1 11 games, 7574 moves, e=0.993, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: 5.488, 0.336 sec/game, 0.1 min. total, 345.4 MB
dispersal_cartoon v1 12 games, 8245 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: 5.496, 0.334 sec/game, 0.1 min. total, 349.2 MB
dispersal_cartoon v2 13 games, 8926 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: 5.529, 0.334 sec/game, 0.1 min. total, 415.6 MB
dispersal_cartoon v2 14 games, 9744 moves, e=0.990, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: 5.537, 0.338 sec/game, 0.1 min. total, 419.4 MB
