dragging_probation v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.0 MB
dragging_probation v1 1 games, 743 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -9.082, 0.222 sec/game, 0.0 min. total, 314.2 MB
dragging_probation v1 2 games, 1484 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -9.243, 0.227 sec/game, 0.0 min. total, 318.3 MB
dragging_probation v1 3 games, 2205 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -9.223, 0.223 sec/game, 0.0 min. total, 321.4 MB
dragging_probation v1 4 games, 2869 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -9.555, 0.217 sec/game, 0.0 min. total, 324.0 MB
dragging_probation v1 5 games, 3534 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -9.715, 0.214 sec/game, 0.0 min. total, 327.5 MB
dragging_probation v1 6 games, 4270 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -9.698, 0.220 sec/game, 0.0 min. total, 330.8 MB
dragging_probation v1 7 games, 4883 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -9.974, 0.217 sec/game, 0.0 min. total, 333.7 MB
dragging_probation v1 8 games, 5485 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -10.208, 0.218 sec/game, 0.0 min. total, 335.6 MB
dragging_probation v1 9 games, 6160 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -10.240, 0.217 sec/game, 0.0 min. total, 339.8 MB
dragging_probation v1 10 games, 6802 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -10.292, 0.213 sec/game, 0.0 min. total, 342.5 MB
dragging_probation v1 11 games, 7446 moves, e=0.993, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -10.356, 0.210 sec/game, 0.0 min. total, 346.5 MB
dragging_probation v1 12 games, 8227 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -10.255, 0.212 sec/game, 0.0 min. total, 349.7 MB
dragging_probation v2 13 games, 8908 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: -10.268, 0.213 sec/game, 0.0 min. total, 414.8 MB
dragging_probation v2 14 games, 9519 moves, e=0.991, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: -10.382, 0.218 sec/game, 0.1 min. total, 417.8 MB
dragging_probation v2 15 games, 10244 moves, e=0.990, loss: 71.9, +, 58.5% elo% vs. guard_bot, avg. reward: -10.327, 0.267 sec/game, 0.1 min. total, 446.7 MB
dragging_probation v2 16 games, 11037 moves, e=0.989, loss: 50.7, ., 58.1% elo% vs. guard_bot, avg. reward: -10.224, 0.349 sec/game, 0.1 min. total, 449.5 MB
dragging_probation v2 17 games, 11701 moves, e=0.988, loss: 35.6, +, 60.0% elo% vs. guard_bot, avg. reward: -10.245, 0.409 sec/game, 0.1 min. total, 449.7 MB
dragging_probation v2 18 games, 12447 moves, e=0.988, loss: 22.9, ., 59.6% elo% vs. guard_bot, avg. reward: -10.197, 0.462 sec/game, 0.1 min. total, 449.7 MB
dragging_probation v2 19 games, 13026 moves, e=0.987, loss: 17.8, ., 59.1% elo% vs. guard_bot, avg. reward: -10.314, 0.491 sec/game, 0.2 min. total, 449.9 MB
dragging_probation v2 20 games, 13688 moves, e=0.986, loss: 14.1, +, 60.9% elo% vs. guard_bot, avg. reward: -10.332, 0.552 sec/game, 0.2 min. total, 450.4 MB
dragging_probation v2 21 games, 14378 moves, e=0.986, loss: 11.3, +, 62.6% elo% vs. guard_bot, avg. reward: -10.344, 0.613 sec/game, 0.2 min. total, 450.3 MB
dragging_probation v2 22 games, 15070 moves, e=0.985, loss: 9.6, +, 64.2% elo% vs. guard_bot, avg. reward: -10.323, 0.666 sec/game, 0.2 min. total, 450.2 MB
dragging_probation v2 23 games, 15785 moves, e=0.984, loss: 8.4, +, 65.7% elo% vs. guard_bot, avg. reward: -10.313, 0.734 sec/game, 0.3 min. total, 451.5 MB
dragging_probation v2 24 games, 16537 moves, e=0.984, loss: 8.3, ., 65.1% elo% vs. guard_bot, avg. reward: -10.282, 0.814 sec/game, 0.3 min. total, 451.9 MB
dragging_probation v2 25 games, 17233 moves, e=0.983, loss: 8.3, ., 64.4% elo% vs. guard_bot, avg. reward: -10.267, 0.865 sec/game, 0.3 min. total, 453.0 MB
dragging_probation v2 26 games, 17890 moves, e=0.982, loss: 7.9, +, 65.9% elo% vs. guard_bot, avg. reward: -10.296, 0.911 sec/game, 0.3 min. total, 454.2 MB
dragging_probation v2 27 games, 18625 moves, e=0.982, loss: 8.7, ., 65.3% elo% vs. guard_bot, avg. reward: -10.266, 0.969 sec/game, 0.3 min. total, 455.6 MB
dragging_probation v2 28 games, 19446 moves, e=0.981, loss: 7.7, ., 64.6% elo% vs. guard_bot, avg. reward: -10.209, 1.029 sec/game, 0.4 min. total, 459.1 MB
dragging_probation v2 29 games, 20101 moves, e=0.980, loss: 7.8, +, 66.1% elo% vs. guard_bot, avg. reward: -10.223, 1.087 sec/game, 0.4 min. total, 461.9 MB
dragging_probation v2 30 games, 20760 moves, e=0.979, loss: 8.1, ., 65.4% elo% vs. guard_bot, avg. reward: -10.249, 1.135 sec/game, 0.4 min. total, 457.9 MB
dragging_probation v2 31 games, 21395 moves, e=0.979, loss: 7.6, +, 66.9% elo% vs. guard_bot, avg. reward: -10.281, 1.185 sec/game, 0.4 min. total, 462.1 MB
dragging_probation v2 32 games, 22057 moves, e=0.978, loss: 7.3, ., 66.2% elo% vs. guard_bot, avg. reward: -10.287, 1.231 sec/game, 0.5 min. total, 462.5 MB
dragging_probation v2 33 games, 22884 moves, e=0.977, loss: 6.9, +, 67.5% elo% vs. guard_bot, avg. reward: -10.221, 1.291 sec/game, 0.5 min. total, 462.1 MB
dragging_probation v2 34 games, 23595 moves, e=0.977, loss: 7.0, +, 68.8% elo% vs. guard_bot, avg. reward: -10.219, 1.347 sec/game, 0.5 min. total, 457.7 MB
dragging_probation v2 35 games, 24340 moves, e=0.976, loss: 7.0, +, 70.1% elo% vs. guard_bot, avg. reward: -10.197, 1.372 sec/game, 0.5 min. total, 462.2 MB
dragging_probation v3 36 games, 25054 moves, e=0.975, loss: 7.7, -, 49.9% elo% vs. random_no_suicide, avg. reward: -10.183, 1.354 sec/game, 0.5 min. total, 462.5 MB
dragging_probation v3 37 games, 25719 moves, e=0.975, loss: 7.0, -, 47.6% elo% vs. random_no_suicide, avg. reward: -10.193, 1.345 sec/game, 0.6 min. total, 462.2 MB
dragging_probation v3 38 games, 26528 moves, e=0.974, loss: 7.2, -, 45.4% elo% vs. random_no_suicide, avg. reward: -10.157, 1.357 sec/game, 0.6 min. total, 462.5 MB
dragging_probation v3 39 games, 27348 moves, e=0.973, loss: 6.9, -, 43.4% elo% vs. random_no_suicide, avg. reward: -10.115, 1.377 sec/game, 0.6 min. total, 464.1 MB
dragging_probation v3 40 games, 28012 moves, e=0.972, loss: 6.9, -, 41.4% elo% vs. random_no_suicide, avg. reward: -10.123, 1.350 sec/game, 0.6 min. total, 466.0 MB
