enrich_mushiness v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 334.6 MB
enrich_mushiness v1 1 games, 661 moves, e=0.999, loss: nan, +, 52.3% elo% vs. v0, avg. reward: -10.498, 0.260 sec/game, 0.0 min. total, 323.5 MB
enrich_mushiness v1 3 games, 1683 moves, e=0.998, loss: nan, -, 49.9% elo% vs. v0, avg. reward: -10.305, 0.453 sec/game, 0.0 min. total, 330.6 MB
enrich_mushiness v1 4 games, 2483 moves, e=0.998, loss: nan, ., 49.9% elo% vs. v0, avg. reward: -9.934, 0.412 sec/game, 0.0 min. total, 336.0 MB
enrich_mushiness v1 6 games, 3490 moves, e=0.997, loss: nan, ., 49.9% elo% vs. v0, avg. reward: -9.966, 0.529 sec/game, 0.1 min. total, 344.9 MB
enrich_mushiness v1 8 games, 4423 moves, e=0.996, loss: nan, +, 52.2% elo% vs. v0, avg. reward: -10.269, 0.459 sec/game, 0.1 min. total, 353.2 MB
enrich_mushiness v1 9 games, 5030 moves, e=0.995, loss: nan, -, 49.8% elo% vs. v0, avg. reward: -10.441, 0.434 sec/game, 0.1 min. total, 357.4 MB
enrich_mushiness v1 10 games, 5708 moves, e=0.994, loss: nan, ., 49.8% elo% vs. v0, avg. reward: -10.455, 0.415 sec/game, 0.1 min. total, 361.4 MB
enrich_mushiness v1 11 games, 6467 moves, e=0.994, loss: nan, +, 52.1% elo% vs. v0, avg. reward: -10.370, 0.404 sec/game, 0.1 min. total, 365.9 MB
enrich_mushiness v1 13 games, 7453 moves, e=0.993, loss: nan, -, 49.7% elo% vs. v0, avg. reward: -10.322, 0.384 sec/game, 0.1 min. total, 373.1 MB
enrich_mushiness v1 15 games, 8396 moves, e=0.992, loss: nan, -, 47.4% elo% vs. v0, avg. reward: -10.351, 0.419 sec/game, 0.1 min. total, 379.9 MB
enrich_mushiness v1 16 games, 9126 moves, e=0.991, loss: nan, ., 47.6% elo% vs. v0, avg. reward: -10.332, 0.411 sec/game, 0.1 min. total, 383.3 MB
enrich_mushiness v1 17 games, 9790 moves, e=0.990, loss: nan, +, 50.0% elo% vs. v0, avg. reward: -10.369, 0.402 sec/game, 0.1 min. total, 387.6 MB
enrich_mushiness v1 18 games, 10475 moves, e=0.990, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.370, 0.396 sec/game, 0.1 min. total, 392.5 MB
enrich_mushiness v1 19 games, 11201 moves, e=0.989, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.346, 0.397 sec/game, 0.1 min. total, 395.0 MB
enrich_mushiness v1 20 games, 11860 moves, e=0.988, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.367, 0.389 sec/game, 0.1 min. total, 395.7 MB
enrich_mushiness v1 21 games, 12547 moves, e=0.988, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -10.365, 0.391 sec/game, 0.1 min. total, 397.5 MB
enrich_mushiness v1 22 games, 13239 moves, e=0.987, loss: nan, -, 47.7% elo% vs. v0, avg. reward: -10.367, 0.392 sec/game, 0.1 min. total, 399.7 MB
enrich_mushiness v1 24 games, 14251 moves, e=0.986, loss: nan, +, 50.1% elo% vs. v0, avg. reward: -10.471, 0.396 sec/game, 0.2 min. total, 403.4 MB
