facial_putdown v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.1 MB
facial_putdown v1 1 games, 736 moves, e=0.999, loss: nan, +, 52.3% elo% vs. v0, avg. reward: 2.341, 0.200 sec/game, 0.0 min. total, 316.9 MB
facial_putdown v1 2 games, 1479 moves, e=0.999, loss: nan, +, 54.5% elo% vs. v0, avg. reward: 1.607, 0.212 sec/game, 0.0 min. total, 320.2 MB
facial_putdown v1 3 games, 2138 moves, e=0.998, loss: nan, -, 52.0% elo% vs. v0, avg. reward: 0.053, 0.218 sec/game, 0.0 min. total, 323.3 MB
facial_putdown v1 4 games, 2806 moves, e=0.997, loss: nan, -, 49.6% elo% vs. v0, avg. reward: 0.095, 0.213 sec/game, 0.0 min. total, 327.3 MB
facial_putdown v1 5 games, 3502 moves, e=0.997, loss: nan, -, 47.3% elo% vs. v0, avg. reward: -0.204, 0.216 sec/game, 0.0 min. total, 331.0 MB
facial_putdown v1 6 games, 4162 moves, e=0.996, loss: nan, ., 47.4% elo% vs. v0, avg. reward: 0.247, 0.210 sec/game, 0.0 min. total, 334.1 MB
facial_putdown v1 7 games, 4759 moves, e=0.995, loss: nan, -, 45.3% elo% vs. v0, avg. reward: -0.232, 0.206 sec/game, 0.0 min. total, 336.8 MB
facial_putdown v1 8 games, 5393 moves, e=0.995, loss: nan, +, 47.8% elo% vs. v0, avg. reward: -0.515, 0.202 sec/game, 0.0 min. total, 340.6 MB
facial_putdown v1 9 games, 6125 moves, e=0.994, loss: nan, -, 45.6% elo% vs. v0, avg. reward: -0.480, 0.206 sec/game, 0.0 min. total, 344.4 MB
facial_putdown v1 10 games, 6960 moves, e=0.993, loss: nan, -, 43.5% elo% vs. v0, avg. reward: 0.017, 0.216 sec/game, 0.0 min. total, 349.3 MB
facial_putdown v1 11 games, 7617 moves, e=0.992, loss: nan, -, 41.6% elo% vs. v0, avg. reward: -0.303, 0.218 sec/game, 0.0 min. total, 353.0 MB
facial_putdown v1 12 games, 8354 moves, e=0.992, loss: nan, -, 39.7% elo% vs. v0, avg. reward: -0.176, 0.219 sec/game, 0.0 min. total, 357.3 MB
facial_putdown v1 13 games, 9032 moves, e=0.991, loss: nan, +, 42.4% elo% vs. v0, avg. reward: -0.366, 0.220 sec/game, 0.0 min. total, 361.4 MB
facial_putdown v1 14 games, 9714 moves, e=0.990, loss: nan, +, 45.0% elo% vs. v0, avg. reward: -0.391, 0.220 sec/game, 0.1 min. total, 363.8 MB
facial_putdown v1 15 games, 10351 moves, e=0.990, loss: 77.4, -, 43.0% elo% vs. v0, avg. reward: -0.651, 0.294 sec/game, 0.1 min. total, 388.4 MB
facial_putdown v1 16 games, 11124 moves, e=0.989, loss: 61.9, -, 41.0% elo% vs. v0, avg. reward: -0.689, 0.427 sec/game, 0.1 min. total, 389.7 MB
facial_putdown v1 17 games, 11755 moves, e=0.988, loss: 49.6, -, 39.2% elo% vs. v0, avg. reward: -0.770, 0.496 sec/game, 0.1 min. total, 390.1 MB
facial_putdown v1 18 games, 12486 moves, e=0.988, loss: 40.5, -, 37.5% elo% vs. v0, avg. reward: -0.734, 0.566 sec/game, 0.2 min. total, 390.8 MB
facial_putdown v1 19 games, 13290 moves, e=0.987, loss: 37.1, -, 35.9% elo% vs. v0, avg. reward: -0.337, 0.645 sec/game, 0.2 min. total, 391.4 MB
