fever_removable v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.5 MB
fever_removable v1 1 games, 829 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -8.812, 0.244 sec/game, 0.0 min. total, 312.0 MB
fever_removable v1 2 games, 1538 moves, e=0.998, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -9.216, 0.227 sec/game, 0.0 min. total, 315.2 MB
fever_removable v1 3 games, 2363 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -9.027, 0.236 sec/game, 0.0 min. total, 317.9 MB
fever_removable v1 4 games, 3003 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -9.643, 0.224 sec/game, 0.0 min. total, 321.5 MB
fever_removable v1 5 games, 3716 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -9.769, 0.220 sec/game, 0.0 min. total, 325.4 MB
fever_removable v1 6 games, 4349 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -10.078, 0.215 sec/game, 0.0 min. total, 328.9 MB
fever_removable v1 7 games, 5037 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -10.142, 0.214 sec/game, 0.0 min. total, 332.5 MB
fever_removable v1 8 games, 5776 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -10.071, 0.215 sec/game, 0.0 min. total, 336.2 MB
fever_removable v1 9 games, 6500 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -10.043, 0.214 sec/game, 0.0 min. total, 339.7 MB
fever_removable v1 10 games, 7200 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -10.106, 0.214 sec/game, 0.0 min. total, 342.7 MB
fever_removable v1 11 games, 7872 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -10.148, 0.215 sec/game, 0.0 min. total, 345.6 MB
fever_removable v1 12 games, 8617 moves, e=0.991, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -10.109, 0.217 sec/game, 0.0 min. total, 348.9 MB
fever_removable v1 13 games, 9307 moves, e=0.991, loss: nan, +, 71.6% elo% vs. random_bot, avg. reward: -10.103, 0.216 sec/game, 0.0 min. total, 351.6 MB
fever_removable v1 14 games, 9985 moves, e=0.990, loss: nan, +, 72.7% elo% vs. random_bot, avg. reward: -10.141, 0.216 sec/game, 0.1 min. total, 354.2 MB
fever_removable v1 15 games, 10577 moves, e=0.990, loss: 64.0, +, 73.6% elo% vs. random_bot, avg. reward: -10.291, 0.315 sec/game, 0.1 min. total, 380.5 MB
fever_removable v1 16 games, 11177 moves, e=0.989, loss: 45.0, +, 74.6% elo% vs. random_bot, avg. reward: -10.396, 0.393 sec/game, 0.1 min. total, 383.8 MB
fever_removable v1 17 games, 11880 moves, e=0.988, loss: 29.5, +, 75.5% elo% vs. random_bot, avg. reward: -10.383, 0.468 sec/game, 0.1 min. total, 383.9 MB
fever_removable v1 18 games, 12583 moves, e=0.988, loss: 17.9, +, 76.3% elo% vs. random_bot, avg. reward: -10.367, 0.546 sec/game, 0.2 min. total, 384.1 MB
fever_removable v1 19 games, 13336 moves, e=0.987, loss: 11.0, +, 77.1% elo% vs. random_bot, avg. reward: -10.338, 0.617 sec/game, 0.2 min. total, 384.2 MB
fever_removable v1 20 games, 13981 moves, e=0.986, loss: 7.8, +, 77.8% elo% vs. random_bot, avg. reward: -10.397, 0.670 sec/game, 0.2 min. total, 386.2 MB
fever_removable v1 21 games, 14648 moves, e=0.985, loss: 6.5, +, 78.5% elo% vs. random_bot, avg. reward: -10.398, 0.735 sec/game, 0.2 min. total, 384.2 MB
fever_removable v1 22 games, 15254 moves, e=0.985, loss: 5.3, +, 79.2% elo% vs. random_bot, avg. reward: -10.471, 0.801 sec/game, 0.3 min. total, 384.2 MB
fever_removable v1 23 games, 16072 moves, e=0.984, loss: 4.7, +, 79.8% elo% vs. random_bot, avg. reward: -10.390, 0.892 sec/game, 0.3 min. total, 385.6 MB
fever_removable v1 24 games, 16852 moves, e=0.983, loss: 4.6, +, 80.4% elo% vs. random_bot, avg. reward: -10.337, 0.988 sec/game, 0.3 min. total, 387.6 MB
fever_removable v2 25 games, 17536 moves, e=0.983, loss: 3.9, +, 54.5% elo% vs. guard_bot, avg. reward: -10.341, 1.069 sec/game, 0.4 min. total, 446.5 MB
