fifth_squid v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.1 MB
fifth_squid v1 1 games, 708 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 13.984, 0.313 sec/game, 0.0 min. total, 312.4 MB
fifth_squid v1 2 games, 1357 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: 14.122, 0.296 sec/game, 0.0 min. total, 314.3 MB
fifth_squid v1 3 games, 2033 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: 14.324, 0.300 sec/game, 0.0 min. total, 315.3 MB
fifth_squid v1 4 games, 2686 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: 14.284, 0.294 sec/game, 0.0 min. total, 317.5 MB
fifth_squid v1 5 games, 3265 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: 14.497, 0.286 sec/game, 0.0 min. total, 319.9 MB
fifth_squid v1 6 games, 3879 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: 14.607, 0.283 sec/game, 0.0 min. total, 322.2 MB
fifth_squid v1 7 games, 4603 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: 14.520, 0.304 sec/game, 0.0 min. total, 323.5 MB
fifth_squid v1 8 games, 5264 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: 14.330, 0.301 sec/game, 0.0 min. total, 325.2 MB
fifth_squid v1 9 games, 5836 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: 14.469, 0.295 sec/game, 0.0 min. total, 327.5 MB
fifth_squid v1 10 games, 6521 moves, e=0.994, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: 14.432, 0.296 sec/game, 0.0 min. total, 329.7 MB
fifth_squid v1 11 games, 7145 moves, e=0.993, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: 14.557, 0.294 sec/game, 0.1 min. total, 331.1 MB
fifth_squid v1 12 games, 7859 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: 14.576, 0.296 sec/game, 0.1 min. total, 332.4 MB
fifth_squid v2 13 games, 8532 moves, e=0.992, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: 14.544, 0.293 sec/game, 0.1 min. total, 396.6 MB
fifth_squid v2 14 games, 9239 moves, e=0.991, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: 14.545, 0.292 sec/game, 0.1 min. total, 398.0 MB
fifth_squid v2 15 games, 9960 moves, e=0.990, loss: nan, +, 58.5% elo% vs. guard_bot, avg. reward: 14.472, 0.292 sec/game, 0.1 min. total, 400.2 MB
fifth_squid v2 16 games, 10657 moves, e=0.989, loss: 93.8, ., 58.1% elo% vs. guard_bot, avg. reward: 14.427, 0.371 sec/game, 0.1 min. total, 417.0 MB
fifth_squid v2 17 games, 11469 moves, e=0.989, loss: 96.9, ., 57.8% elo% vs. guard_bot, avg. reward: 14.419, 0.428 sec/game, 0.1 min. total, 418.9 MB
fifth_squid v2 18 games, 12205 moves, e=0.988, loss: 98.7, ., 57.4% elo% vs. guard_bot, avg. reward: 14.441, 0.481 sec/game, 0.1 min. total, 419.9 MB
fifth_squid v2 19 games, 12898 moves, e=0.987, loss: 102.9, ., 57.1% elo% vs. guard_bot, avg. reward: 14.492, 0.525 sec/game, 0.2 min. total, 420.6 MB
fifth_squid v2 20 games, 13629 moves, e=0.987, loss: 106.4, ., 56.8% elo% vs. guard_bot, avg. reward: 14.486, 0.567 sec/game, 0.2 min. total, 421.2 MB
fifth_squid v2 21 games, 14319 moves, e=0.986, loss: 109.6, ., 56.5% elo% vs. guard_bot, avg. reward: 14.468, 0.611 sec/game, 0.2 min. total, 421.6 MB
fifth_squid v2 22 games, 15080 moves, e=0.985, loss: 112.7, ., 56.2% elo% vs. guard_bot, avg. reward: 14.426, 0.670 sec/game, 0.2 min. total, 421.4 MB
fifth_squid v2 23 games, 15725 moves, e=0.984, loss: 113.7, ., 55.9% elo% vs. guard_bot, avg. reward: 14.441, 0.715 sec/game, 0.3 min. total, 421.7 MB
fifth_squid v2 24 games, 16368 moves, e=0.984, loss: 118.5, ., 55.6% elo% vs. guard_bot, avg. reward: 14.415, 0.763 sec/game, 0.3 min. total, 421.4 MB
fifth_squid v2 25 games, 17083 moves, e=0.983, loss: 124.1, ., 55.4% elo% vs. guard_bot, avg. reward: 14.401, 0.819 sec/game, 0.3 min. total, 422.0 MB
fifth_squid v2 26 games, 17739 moves, e=0.982, loss: 127.2, ., 55.1% elo% vs. guard_bot, avg. reward: 14.458, 0.867 sec/game, 0.3 min. total, 422.2 MB
fifth_squid v2 27 games, 18429 moves, e=0.982, loss: 132.4, ., 54.9% elo% vs. guard_bot, avg. reward: 14.427, 0.910 sec/game, 0.3 min. total, 422.7 MB
fifth_squid v2 28 games, 19040 moves, e=0.981, loss: 137.3, ., 54.7% elo% vs. guard_bot, avg. reward: 14.382, 0.955 sec/game, 0.4 min. total, 424.6 MB
fifth_squid v2 29 games, 19769 moves, e=0.980, loss: 137.7, ., 54.4% elo% vs. guard_bot, avg. reward: 14.368, 1.010 sec/game, 0.4 min. total, 427.4 MB
fifth_squid v2 30 games, 20445 moves, e=0.980, loss: 140.2, ., 54.2% elo% vs. guard_bot, avg. reward: 14.346, 1.054 sec/game, 0.4 min. total, 429.9 MB
fifth_squid v2 31 games, 21225 moves, e=0.979, loss: 142.1, ., 54.1% elo% vs. guard_bot, avg. reward: 14.290, 1.109 sec/game, 0.4 min. total, 432.0 MB
fifth_squid v2 32 games, 21972 moves, e=0.978, loss: 150.5, ., 53.9% elo% vs. guard_bot, avg. reward: 14.232, 1.162 sec/game, 0.4 min. total, 431.9 MB
fifth_squid v2 33 games, 22695 moves, e=0.978, loss: 152.2, ., 53.7% elo% vs. guard_bot, avg. reward: 14.202, 1.216 sec/game, 0.5 min. total, 433.6 MB
fifth_squid v2 34 games, 23297 moves, e=0.977, loss: 158.7, ., 53.5% elo% vs. guard_bot, avg. reward: 14.215, 1.258 sec/game, 0.5 min. total, 434.0 MB
fifth_squid v2 35 games, 23985 moves, e=0.976, loss: 161.7, ., 53.4% elo% vs. guard_bot, avg. reward: 14.238, 1.301 sec/game, 0.5 min. total, 434.6 MB
fifth_squid v2 36 games, 24666 moves, e=0.976, loss: 168.8, ., 53.2% elo% vs. guard_bot, avg. reward: 14.254, 1.285 sec/game, 0.5 min. total, 434.7 MB
fifth_squid v2 37 games, 25279 moves, e=0.975, loss: 184.4, ., 53.1% elo% vs. guard_bot, avg. reward: 14.276, 1.275 sec/game, 0.5 min. total, 435.6 MB
fifth_squid v2 38 games, 25943 moves, e=0.974, loss: 184.0, +, 55.2% elo% vs. guard_bot, avg. reward: 14.287, 1.265 sec/game, 0.6 min. total, 435.9 MB
fifth_squid v2 39 games, 26603 moves, e=0.974, loss: 185.7, +, 57.2% elo% vs. guard_bot, avg. reward: 14.330, 1.257 sec/game, 0.6 min. total, 436.2 MB
fifth_squid v2 40 games, 27168 moves, e=0.973, loss: 188.0, +, 59.2% elo% vs. guard_bot, avg. reward: 14.390, 1.245 sec/game, 0.6 min. total, 436.6 MB
