fit_relearn v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.2 MB
fit_relearn v1 2 games, 927 moves, e=0.999, loss: nan, -, 47.7% elo% vs. random_bot, avg. reward: -11.054, 0.228 sec/game, 0.0 min. total, 317.2 MB
fit_relearn v1 4 games, 1804 moves, e=0.998, loss: nan, -, 45.5% elo% vs. random_bot, avg. reward: -11.209, 0.219 sec/game, 0.0 min. total, 322.9 MB
fit_relearn v1 6 games, 2715 moves, e=0.997, loss: nan, -, 43.4% elo% vs. random_bot, avg. reward: -11.257, 0.224 sec/game, 0.0 min. total, 328.0 MB
fit_relearn v1 8 games, 3733 moves, e=0.996, loss: nan, -, 41.5% elo% vs. random_bot, avg. reward: -10.958, 0.228 sec/game, 0.0 min. total, 333.1 MB
fit_relearn v1 10 games, 4950 moves, e=0.995, loss: nan, -, 39.6% elo% vs. random_bot, avg. reward: -10.514, 0.232 sec/game, 0.0 min. total, 338.5 MB
fit_relearn v1 12 games, 5862 moves, e=0.994, loss: nan, -, 37.9% elo% vs. random_bot, avg. reward: -10.859, 0.230 sec/game, 0.0 min. total, 344.4 MB
fit_relearn v1 14 games, 6886 moves, e=0.993, loss: nan, -, 36.3% elo% vs. random_bot, avg. reward: -10.805, 0.230 sec/game, 0.1 min. total, 349.9 MB
fit_relearn v1 16 games, 7832 moves, e=0.992, loss: nan, -, 34.8% elo% vs. random_bot, avg. reward: -10.828, 0.230 sec/game, 0.1 min. total, 355.4 MB
fit_relearn v1 18 games, 8881 moves, e=0.991, loss: nan, -, 33.3% elo% vs. random_bot, avg. reward: -10.666, 0.232 sec/game, 0.1 min. total, 363.0 MB
fit_relearn v1 20 games, 9727 moves, e=0.990, loss: nan, -, 32.0% elo% vs. random_bot, avg. reward: -10.860, 0.237 sec/game, 0.1 min. total, 365.1 MB
fit_relearn v1 22 games, 10744 moves, e=0.989, loss: nan, -, 30.7% elo% vs. random_bot, avg. reward: -10.823, 0.238 sec/game, 0.1 min. total, 365.2 MB
fit_relearn v1 24 games, 11556 moves, e=0.989, loss: nan, -, 29.5% elo% vs. random_bot, avg. reward: -10.980, 0.238 sec/game, 0.1 min. total, 366.3 MB
fit_relearn v1 26 games, 12428 moves, e=0.988, loss: nan, -, 28.4% elo% vs. random_bot, avg. reward: -10.985, 0.236 sec/game, 0.1 min. total, 368.8 MB
fit_relearn v1 28 games, 13319 moves, e=0.987, loss: nan, -, 27.3% elo% vs. random_bot, avg. reward: -11.011, 0.234 sec/game, 0.1 min. total, 372.1 MB
fit_relearn v1 30 games, 14291 moves, e=0.986, loss: nan, -, 26.4% elo% vs. random_bot, avg. reward: -11.016, 0.233 sec/game, 0.1 min. total, 376.2 MB
fit_relearn v1 32 games, 14996 moves, e=0.985, loss: nan, -, 25.4% elo% vs. random_bot, avg. reward: -11.243, 0.231 sec/game, 0.1 min. total, 378.6 MB
fit_relearn v1 34 games, 15937 moves, e=0.984, loss: nan, -, 24.5% elo% vs. random_bot, avg. reward: -11.249, 0.231 sec/game, 0.1 min. total, 382.4 MB
fit_relearn v1 36 games, 16805 moves, e=0.983, loss: nan, -, 23.7% elo% vs. random_bot, avg. reward: -11.289, 0.231 sec/game, 0.1 min. total, 388.0 MB
fit_relearn v1 38 games, 17741 moves, e=0.982, loss: nan, -, 22.9% elo% vs. random_bot, avg. reward: -11.257, 0.229 sec/game, 0.1 min. total, 393.0 MB
fit_relearn v1 40 games, 18659 moves, e=0.982, loss: nan, -, 22.2% elo% vs. random_bot, avg. reward: -11.285, 0.229 sec/game, 0.2 min. total, 394.5 MB
fit_relearn v1 42 games, 19632 moves, e=0.981, loss: nan, -, 21.5% elo% vs. random_bot, avg. reward: -11.209, 0.230 sec/game, 0.2 min. total, 395.6 MB
fit_relearn v1 44 games, 20475 moves, e=0.980, loss: nan, -, 20.8% elo% vs. random_bot, avg. reward: -11.258, 0.230 sec/game, 0.2 min. total, 397.0 MB
fit_relearn v1 46 games, 21335 moves, e=0.979, loss: nan, ., 21.7% elo% vs. random_bot, avg. reward: -11.281, 0.232 sec/game, 0.2 min. total, 398.8 MB
fit_relearn v1 48 games, 22217 moves, e=0.978, loss: nan, ., 22.6% elo% vs. random_bot, avg. reward: -11.294, 0.233 sec/game, 0.2 min. total, 400.9 MB
fit_relearn v1 50 games, 23004 moves, e=0.977, loss: nan, -, 21.9% elo% vs. random_bot, avg. reward: -11.350, 0.231 sec/game, 0.2 min. total, 403.5 MB
fit_relearn v1 53 games, 24247 moves, e=0.976, loss: nan, -, 21.2% elo% vs. random_bot, avg. reward: -11.354, 0.362 sec/game, 0.2 min. total, 408.1 MB
fit_relearn v1 55 games, 25040 moves, e=0.975, loss: nan, -, 20.6% elo% vs. random_bot, avg. reward: -11.414, 0.362 sec/game, 0.3 min. total, 410.9 MB
fit_relearn v1 57 games, 26030 moves, e=0.974, loss: nan, -, 20.0% elo% vs. random_bot, avg. reward: -11.411, 0.365 sec/game, 0.3 min. total, 415.9 MB
fit_relearn v1 59 games, 26908 moves, e=0.973, loss: nan, -, 19.4% elo% vs. random_bot, avg. reward: -11.411, 0.366 sec/game, 0.3 min. total, 419.0 MB
fit_relearn v1 61 games, 27786 moves, e=0.972, loss: nan, -, 18.8% elo% vs. random_bot, avg. reward: -11.393, 0.367 sec/game, 0.3 min. total, 420.1 MB
