frenzy_eggnog v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.4 MB
frenzy_eggnog v1 2 games, 1010 moves, e=0.999, loss: nan, -, 47.7% elo% vs. random_bot, avg. reward: -10.587, 0.266 sec/game, 0.0 min. total, 315.6 MB
frenzy_eggnog v1 4 games, 1921 moves, e=0.998, loss: nan, -, 45.5% elo% vs. random_bot, avg. reward: -10.978, 0.248 sec/game, 0.0 min. total, 321.1 MB
frenzy_eggnog v1 6 games, 2865 moves, e=0.997, loss: nan, -, 43.4% elo% vs. random_bot, avg. reward: -11.038, 0.243 sec/game, 0.0 min. total, 326.1 MB
frenzy_eggnog v1 8 games, 3779 moves, e=0.996, loss: nan, -, 41.5% elo% vs. random_bot, avg. reward: -11.249, 0.241 sec/game, 0.0 min. total, 331.9 MB
frenzy_eggnog v1 10 games, 4682 moves, e=0.995, loss: nan, -, 39.6% elo% vs. random_bot, avg. reward: -11.193, 0.240 sec/game, 0.0 min. total, 336.7 MB
frenzy_eggnog v1 12 games, 5617 moves, e=0.994, loss: nan, -, 37.9% elo% vs. random_bot, avg. reward: -11.111, 0.240 sec/game, 0.0 min. total, 341.9 MB
frenzy_eggnog v1 14 games, 6608 moves, e=0.993, loss: nan, -, 36.3% elo% vs. random_bot, avg. reward: -11.044, 0.240 sec/game, 0.1 min. total, 347.8 MB
frenzy_eggnog v1 16 games, 7529 moves, e=0.993, loss: nan, -, 34.8% elo% vs. random_bot, avg. reward: -11.098, 0.239 sec/game, 0.1 min. total, 352.7 MB
frenzy_eggnog v1 18 games, 8425 moves, e=0.992, loss: nan, -, 33.3% elo% vs. random_bot, avg. reward: -11.116, 0.239 sec/game, 0.1 min. total, 357.3 MB
frenzy_eggnog v1 20 games, 9396 moves, e=0.991, loss: nan, -, 32.0% elo% vs. random_bot, avg. reward: -11.036, 0.246 sec/game, 0.1 min. total, 361.0 MB
frenzy_eggnog v1 22 games, 10258 moves, e=0.990, loss: nan, -, 30.7% elo% vs. random_bot, avg. reward: -11.096, 0.242 sec/game, 0.1 min. total, 361.4 MB
frenzy_eggnog v1 24 games, 11211 moves, e=0.989, loss: nan, -, 29.5% elo% vs. random_bot, avg. reward: -11.053, 0.243 sec/game, 0.1 min. total, 362.8 MB
frenzy_eggnog v1 26 games, 12028 moves, e=0.988, loss: nan, -, 28.4% elo% vs. random_bot, avg. reward: -11.115, 0.242 sec/game, 0.1 min. total, 364.9 MB
frenzy_eggnog v1 28 games, 12854 moves, e=0.987, loss: nan, -, 27.3% elo% vs. random_bot, avg. reward: -11.228, 0.241 sec/game, 0.1 min. total, 368.2 MB
frenzy_eggnog v1 30 games, 13855 moves, e=0.986, loss: nan, -, 26.4% elo% vs. random_bot, avg. reward: -11.140, 0.244 sec/game, 0.1 min. total, 371.4 MB
frenzy_eggnog v1 32 games, 14776 moves, e=0.985, loss: nan, -, 25.4% elo% vs. random_bot, avg. reward: -11.165, 0.244 sec/game, 0.1 min. total, 375.0 MB
frenzy_eggnog v1 34 games, 15652 moves, e=0.985, loss: nan, -, 24.5% elo% vs. random_bot, avg. reward: -11.235, 0.242 sec/game, 0.1 min. total, 378.3 MB
frenzy_eggnog v1 36 games, 16519 moves, e=0.984, loss: nan, -, 23.7% elo% vs. random_bot, avg. reward: -11.274, 0.241 sec/game, 0.1 min. total, 383.3 MB
frenzy_eggnog v1 38 games, 17361 moves, e=0.983, loss: nan, -, 22.9% elo% vs. random_bot, avg. reward: -11.329, 0.241 sec/game, 0.2 min. total, 388.1 MB
