geology_sleet v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.6 MB
geology_sleet v1 1 games, 745 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -66.181, 0.493 sec/game, 0.0 min. total, 312.1 MB
geology_sleet v1 2 games, 1452 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -64.791, 0.471 sec/game, 0.0 min. total, 314.7 MB
geology_sleet v1 3 games, 2219 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -66.426, 0.472 sec/game, 0.0 min. total, 319.1 MB
geology_sleet v1 4 games, 2888 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -67.968, 0.455 sec/game, 0.0 min. total, 321.9 MB
geology_sleet v1 5 games, 3575 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -68.944, 0.444 sec/game, 0.0 min. total, 324.8 MB
geology_sleet v1 6 games, 4302 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -66.771, 0.440 sec/game, 0.0 min. total, 328.2 MB
geology_sleet v1 7 games, 5016 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -65.893, 0.435 sec/game, 0.1 min. total, 331.8 MB
geology_sleet v1 8 games, 5745 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -66.654, 0.435 sec/game, 0.1 min. total, 334.9 MB
geology_sleet v1 9 games, 6452 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -67.079, 0.444 sec/game, 0.1 min. total, 338.4 MB
geology_sleet v1 10 games, 7177 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -66.283, 0.449 sec/game, 0.1 min. total, 341.8 MB
geology_sleet v1 11 games, 7854 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -65.919, 0.447 sec/game, 0.1 min. total, 344.6 MB
geology_sleet v1 12 games, 8553 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -66.144, 0.445 sec/game, 0.1 min. total, 347.5 MB
geology_sleet v1 13 games, 9277 moves, e=0.991, loss: nan, +, 71.6% elo% vs. random_bot, avg. reward: -65.125, 0.449 sec/game, 0.1 min. total, 350.8 MB
geology_sleet v1 14 games, 9856 moves, e=0.990, loss: nan, +, 72.7% elo% vs. random_bot, avg. reward: -64.676, 0.447 sec/game, 0.1 min. total, 353.6 MB
geology_sleet v1 15 games, 10630 moves, e=0.989, loss: 653.1, +, 73.6% elo% vs. random_bot, avg. reward: -64.590, 0.559 sec/game, 0.1 min. total, 382.0 MB
geology_sleet v1 16 games, 11332 moves, e=0.989, loss: 572.3, +, 74.6% elo% vs. random_bot, avg. reward: -64.649, 0.639 sec/game, 0.2 min. total, 384.4 MB
geology_sleet v1 17 games, 12052 moves, e=0.988, loss: 524.2, +, 75.5% elo% vs. random_bot, avg. reward: -64.365, 0.718 sec/game, 0.2 min. total, 384.1 MB
geology_sleet v1 18 games, 12748 moves, e=0.987, loss: 487.1, +, 76.3% elo% vs. random_bot, avg. reward: -64.481, 0.768 sec/game, 0.2 min. total, 386.3 MB
geology_sleet v1 19 games, 13411 moves, e=0.987, loss: 450.6, +, 77.1% elo% vs. random_bot, avg. reward: -64.264, 0.816 sec/game, 0.3 min. total, 386.7 MB
geology_sleet v1 20 games, 14047 moves, e=0.986, loss: 431.5, -, 74.5% elo% vs. random_bot, avg. reward: -64.337, 0.853 sec/game, 0.3 min. total, 387.8 MB
geology_sleet v1 21 games, 14604 moves, e=0.986, loss: 388.0, -, 71.8% elo% vs. random_bot, avg. reward: -63.715, 0.906 sec/game, 0.3 min. total, 388.0 MB
geology_sleet v1 22 games, 15311 moves, e=0.985, loss: 344.0, -, 69.0% elo% vs. random_bot, avg. reward: -63.981, 0.974 sec/game, 0.3 min. total, 385.2 MB
geology_sleet v1 23 games, 15844 moves, e=0.984, loss: 317.6, -, 66.2% elo% vs. random_bot, avg. reward: -63.282, 1.029 sec/game, 0.4 min. total, 388.2 MB
geology_sleet v1 24 games, 16496 moves, e=0.984, loss: 293.8, ., 65.6% elo% vs. random_bot, avg. reward: -63.455, 1.101 sec/game, 0.4 min. total, 388.5 MB
geology_sleet v1 25 games, 17219 moves, e=0.983, loss: 277.9, -, 62.8% elo% vs. random_bot, avg. reward: -62.513, 1.192 sec/game, 0.4 min. total, 387.7 MB
geology_sleet v1 26 games, 17845 moves, e=0.982, loss: 269.8, -, 60.0% elo% vs. random_bot, avg. reward: -62.163, 1.271 sec/game, 0.5 min. total, 389.1 MB
