goofball_resource v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.3 MB
goofball_resource v1 1 games, 641 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 0.551, 0.281 sec/game, 0.0 min. total, 313.0 MB
goofball_resource v1 2 games, 1451 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: 0.491, 0.323 sec/game, 0.0 min. total, 313.4 MB
goofball_resource v1 3 games, 2170 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: 0.428, 0.319 sec/game, 0.0 min. total, 315.8 MB
goofball_resource v1 4 games, 2908 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: 0.405, 0.312 sec/game, 0.0 min. total, 317.8 MB
goofball_resource v1 5 games, 3717 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: 0.380, 0.316 sec/game, 0.0 min. total, 319.4 MB
goofball_resource v1 6 games, 4368 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: 0.428, 0.310 sec/game, 0.0 min. total, 322.4 MB
goofball_resource v1 7 games, 5053 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: 0.398, 0.307 sec/game, 0.0 min. total, 324.2 MB
goofball_resource v1 8 games, 5723 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: 0.382, 0.305 sec/game, 0.0 min. total, 325.8 MB
goofball_resource v1 9 games, 6460 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: 0.387, 0.304 sec/game, 0.0 min. total, 327.5 MB
goofball_resource v1 10 games, 7097 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: 0.387, 0.301 sec/game, 0.1 min. total, 329.0 MB
goofball_resource v1 11 games, 7859 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: 0.381, 0.304 sec/game, 0.1 min. total, 330.8 MB
goofball_resource v1 12 games, 8490 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: 0.388, 0.305 sec/game, 0.1 min. total, 332.5 MB
goofball_resource v2 13 games, 9251 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: 0.396, 0.304 sec/game, 0.1 min. total, 395.9 MB
goofball_resource v2 14 games, 10044 moves, e=0.990, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: 0.400, 0.302 sec/game, 0.1 min. total, 397.7 MB
goofball_resource v2 15 games, 10731 moves, e=0.989, loss: 0.5, +, 58.5% elo% vs. guard_bot, avg. reward: 0.380, 0.379 sec/game, 0.1 min. total, 417.8 MB
goofball_resource v2 16 games, 11409 moves, e=0.989, loss: 0.4, +, 60.4% elo% vs. guard_bot, avg. reward: 0.375, 0.442 sec/game, 0.1 min. total, 418.2 MB
goofball_resource v2 17 games, 12141 moves, e=0.988, loss: 0.4, +, 62.1% elo% vs. guard_bot, avg. reward: 0.396, 0.483 sec/game, 0.1 min. total, 418.3 MB
goofball_resource v2 18 games, 12875 moves, e=0.987, loss: 0.4, +, 63.7% elo% vs. guard_bot, avg. reward: 0.405, 0.529 sec/game, 0.2 min. total, 418.3 MB
goofball_resource v2 19 games, 13592 moves, e=0.987, loss: 0.4, +, 65.2% elo% vs. guard_bot, avg. reward: 0.400, 0.571 sec/game, 0.2 min. total, 418.9 MB
goofball_resource v2 20 games, 14343 moves, e=0.986, loss: 0.4, +, 66.7% elo% vs. guard_bot, avg. reward: 0.405, 0.609 sec/game, 0.2 min. total, 418.8 MB
goofball_resource v2 21 games, 15034 moves, e=0.985, loss: 0.4, +, 68.0% elo% vs. guard_bot, avg. reward: 0.406, 0.651 sec/game, 0.2 min. total, 418.5 MB
goofball_resource v2 22 games, 15717 moves, e=0.984, loss: 0.4, +, 69.3% elo% vs. guard_bot, avg. reward: 0.404, 0.689 sec/game, 0.2 min. total, 418.6 MB
goofball_resource v2 23 games, 16383 moves, e=0.984, loss: 0.4, +, 70.5% elo% vs. guard_bot, avg. reward: 0.407, 0.729 sec/game, 0.3 min. total, 419.2 MB
goofball_resource v3 24 games, 17104 moves, e=0.983, loss: 0.4, -, 49.9% elo% vs. random_no_suicide, avg. reward: 0.420, 0.778 sec/game, 0.3 min. total, 422.1 MB
goofball_resource v3 25 games, 17824 moves, e=0.982, loss: 0.4, -, 47.6% elo% vs. random_no_suicide, avg. reward: 0.413, 0.827 sec/game, 0.3 min. total, 424.5 MB
goofball_resource v3 26 games, 18613 moves, e=0.982, loss: 0.4, -, 45.4% elo% vs. random_no_suicide, avg. reward: 0.418, 0.880 sec/game, 0.3 min. total, 428.8 MB
goofball_resource v3 27 games, 19254 moves, e=0.981, loss: 0.4, -, 43.4% elo% vs. random_no_suicide, avg. reward: 0.416, 0.921 sec/game, 0.3 min. total, 430.9 MB
goofball_resource v3 28 games, 19857 moves, e=0.980, loss: 0.5, -, 41.4% elo% vs. random_no_suicide, avg. reward: 0.416, 0.967 sec/game, 0.4 min. total, 431.3 MB
goofball_resource v3 29 games, 20583 moves, e=0.980, loss: 0.5, -, 39.6% elo% vs. random_no_suicide, avg. reward: 0.423, 1.009 sec/game, 0.4 min. total, 431.5 MB
goofball_resource v3 30 games, 21404 moves, e=0.979, loss: 0.5, -, 37.8% elo% vs. random_no_suicide, avg. reward: 0.417, 1.070 sec/game, 0.4 min. total, 431.4 MB
goofball_resource v3 31 games, 22018 moves, e=0.978, loss: 0.5, -, 36.2% elo% vs. random_no_suicide, avg. reward: 0.411, 1.108 sec/game, 0.4 min. total, 431.6 MB
goofball_resource v3 32 games, 22787 moves, e=0.977, loss: 0.5, -, 34.7% elo% vs. random_no_suicide, avg. reward: 0.418, 1.158 sec/game, 0.4 min. total, 431.9 MB
goofball_resource v3 33 games, 23489 moves, e=0.977, loss: 0.5, -, 33.3% elo% vs. random_no_suicide, avg. reward: 0.414, 1.201 sec/game, 0.5 min. total, 432.1 MB
goofball_resource v3 34 games, 24037 moves, e=0.976, loss: 0.5, -, 31.9% elo% vs. random_no_suicide, avg. reward: 0.411, 1.232 sec/game, 0.5 min. total, 432.2 MB
goofball_resource v3 35 games, 24788 moves, e=0.975, loss: 0.5, -, 30.6% elo% vs. random_no_suicide, avg. reward: 0.425, 1.231 sec/game, 0.5 min. total, 432.6 MB
goofball_resource v3 36 games, 25551 moves, e=0.975, loss: 0.5, -, 29.5% elo% vs. random_no_suicide, avg. reward: 0.422, 1.229 sec/game, 0.5 min. total, 432.6 MB
goofball_resource v3 37 games, 26285 moves, e=0.974, loss: 0.5, -, 28.3% elo% vs. random_no_suicide, avg. reward: 0.428, 1.239 sec/game, 0.5 min. total, 434.3 MB
goofball_resource v3 38 games, 26896 moves, e=0.973, loss: 0.6, -, 27.3% elo% vs. random_no_suicide, avg. reward: 0.430, 1.235 sec/game, 0.6 min. total, 434.1 MB
goofball_resource v3 39 games, 27570 moves, e=0.973, loss: 0.5, -, 26.3% elo% vs. random_no_suicide, avg. reward: 0.428, 1.228 sec/game, 0.6 min. total, 434.2 MB
goofball_resource v3 40 games, 28322 moves, e=0.972, loss: 0.5, -, 25.4% elo% vs. random_no_suicide, avg. reward: 0.426, 1.229 sec/game, 0.6 min. total, 433.7 MB
goofball_resource v3 41 games, 29026 moves, e=0.971, loss: 0.5, -, 24.5% elo% vs. random_no_suicide, avg. reward: 0.424, 1.229 sec/game, 0.6 min. total, 434.1 MB
goofball_resource v3 42 games, 29793 moves, e=0.971, loss: 0.6, -, 23.7% elo% vs. random_no_suicide, avg. reward: 0.421, 1.240 sec/game, 0.7 min. total, 434.1 MB
goofball_resource v3 43 games, 30559 moves, e=0.970, loss: 0.6, -, 22.9% elo% vs. random_no_suicide, avg. reward: 0.421, 1.256 sec/game, 0.7 min. total, 434.3 MB
goofball_resource v3 44 games, 31389 moves, e=0.969, loss: 0.6, -, 22.2% elo% vs. random_no_suicide, avg. reward: 0.426, 1.269 sec/game, 0.7 min. total, 434.2 MB
goofball_resource v3 45 games, 32024 moves, e=0.968, loss: 0.6, -, 21.5% elo% vs. random_no_suicide, avg. reward: 0.422, 1.258 sec/game, 0.7 min. total, 434.2 MB
goofball_resource v3 46 games, 32753 moves, e=0.968, loss: 0.6, -, 20.8% elo% vs. random_no_suicide, avg. reward: 0.425, 1.249 sec/game, 0.7 min. total, 435.3 MB
goofball_resource v3 47 games, 33586 moves, e=0.967, loss: 0.6, -, 20.2% elo% vs. random_no_suicide, avg. reward: 0.422, 1.270 sec/game, 0.8 min. total, 435.1 MB
goofball_resource v3 48 games, 34323 moves, e=0.966, loss: 0.6, -, 19.6% elo% vs. random_no_suicide, avg. reward: 0.421, 1.279 sec/game, 0.8 min. total, 436.3 MB
goofball_resource v3 49 games, 35080 moves, e=0.965, loss: 0.6, -, 19.0% elo% vs. random_no_suicide, avg. reward: 0.419, 1.288 sec/game, 0.8 min. total, 436.8 MB
goofball_resource v3 50 games, 35820 moves, e=0.965, loss: 0.6, -, 18.5% elo% vs. random_no_suicide, avg. reward: 0.414, 1.272 sec/game, 0.8 min. total, 437.2 MB
goofball_resource v3 51 games, 36545 moves, e=0.964, loss: 0.6, -, 18.0% elo% vs. random_no_suicide, avg. reward: 0.413, 1.291 sec/game, 0.9 min. total, 437.0 MB
goofball_resource v3 52 games, 37331 moves, e=0.963, loss: 0.6, -, 17.5% elo% vs. random_no_suicide, avg. reward: 0.412, 1.293 sec/game, 0.9 min. total, 437.1 MB
goofball_resource v3 53 games, 38012 moves, e=0.962, loss: 0.6, -, 17.0% elo% vs. random_no_suicide, avg. reward: 0.411, 1.296 sec/game, 0.9 min. total, 437.4 MB
