google_sherry v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 316.7 MB
google_sherry v1 1 games, 754 moves, e=0.999, loss: nan, ., 50.0% elo% vs. v0, avg. reward: 50.150, 0.147 sec/game, 0.0 min. total, 317.0 MB
google_sherry v1 2 games, 1383 moves, e=0.999, loss: nan, +, 52.3% elo% vs. v0, avg. reward: 39.096, 0.121 sec/game, 0.0 min. total, 318.8 MB
google_sherry v1 3 games, 2111 moves, e=0.998, loss: nan, ., 52.2% elo% vs. v0, avg. reward: 38.818, 0.129 sec/game, 0.0 min. total, 321.2 MB
google_sherry v1 4 games, 2868 moves, e=0.997, loss: nan, ., 52.1% elo% vs. v0, avg. reward: 44.957, 0.124 sec/game, 0.0 min. total, 323.2 MB
google_sherry v1 5 games, 3615 moves, e=0.996, loss: nan, ., 52.0% elo% vs. v0, avg. reward: 43.395, 0.122 sec/game, 0.0 min. total, 324.6 MB
google_sherry v1 6 games, 4331 moves, e=0.996, loss: nan, ., 51.9% elo% vs. v0, avg. reward: 35.618, 0.121 sec/game, 0.0 min. total, 327.2 MB
google_sherry v1 7 games, 5033 moves, e=0.995, loss: nan, ., 51.8% elo% vs. v0, avg. reward: 30.072, 0.121 sec/game, 0.0 min. total, 329.1 MB
google_sherry v1 8 games, 5779 moves, e=0.994, loss: nan, ., 51.7% elo% vs. v0, avg. reward: 29.262, 0.119 sec/game, 0.0 min. total, 330.5 MB
google_sherry v1 9 games, 6401 moves, e=0.994, loss: nan, ., 51.7% elo% vs. v0, avg. reward: 25.588, 0.118 sec/game, 0.0 min. total, 332.8 MB
google_sherry v1 10 games, 7011 moves, e=0.993, loss: nan, -, 49.3% elo% vs. v0, avg. reward: 25.928, 0.116 sec/game, 0.0 min. total, 334.9 MB
google_sherry v1 11 games, 7716 moves, e=0.992, loss: nan, ., 49.3% elo% vs. v0, avg. reward: 25.844, 0.117 sec/game, 0.0 min. total, 336.7 MB
google_sherry v1 12 games, 8467 moves, e=0.992, loss: nan, ., 49.3% elo% vs. v0, avg. reward: 23.422, 0.118 sec/game, 0.0 min. total, 339.5 MB
google_sherry v1 13 games, 9254 moves, e=0.991, loss: nan, ., 49.4% elo% vs. v0, avg. reward: 24.331, 0.118 sec/game, 0.0 min. total, 342.1 MB
google_sherry v1 14 games, 9983 moves, e=0.990, loss: nan, ., 49.4% elo% vs. v0, avg. reward: 24.326, 0.119 sec/game, 0.0 min. total, 343.7 MB
google_sherry v1 15 games, 10697 moves, e=0.989, loss: 24342.2, ., 49.4% elo% vs. v0, avg. reward: 22.496, 0.228 sec/game, 0.1 min. total, 366.4 MB
google_sherry v1 16 games, 11327 moves, e=0.989, loss: 25456.8, +, 51.8% elo% vs. v0, avg. reward: 23.834, 0.305 sec/game, 0.1 min. total, 369.2 MB
google_sherry v1 17 games, 12096 moves, e=0.988, loss: 26022.9, +, 54.0% elo% vs. v0, avg. reward: 26.097, 0.394 sec/game, 0.1 min. total, 371.5 MB
google_sherry v1 18 games, 12649 moves, e=0.987, loss: 25845.1, ., 53.8% elo% vs. v0, avg. reward: 24.404, 0.437 sec/game, 0.1 min. total, 373.0 MB
google_sherry v1 19 games, 13357 moves, e=0.987, loss: 20620.2, +, 55.9% elo% vs. v0, avg. reward: 25.938, 0.504 sec/game, 0.2 min. total, 373.0 MB
google_sherry v1 20 games, 14016 moves, e=0.986, loss: 24800.8, +, 57.9% elo% vs. v0, avg. reward: 24.464, 0.550 sec/game, 0.2 min. total, 373.1 MB
google_sherry v1 21 games, 14705 moves, e=0.985, loss: 20236.0, +, 59.8% elo% vs. v0, avg. reward: 23.139, 0.616 sec/game, 0.2 min. total, 373.3 MB
google_sherry v1 22 games, 15443 moves, e=0.985, loss: 24334.7, ., 59.3% elo% vs. v0, avg. reward: 21.945, 0.700 sec/game, 0.2 min. total, 373.3 MB
