grappling_amnesty v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 301.4 MB
grappling_amnesty v1 1 games, 677 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -6.855, 0.236 sec/game, 0.0 min. total, 311.3 MB
grappling_amnesty v1 2 games, 1425 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -6.373, 0.187 sec/game, 0.0 min. total, 313.3 MB
grappling_amnesty v1 3 games, 2185 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -6.298, 0.169 sec/game, 0.0 min. total, 315.7 MB
grappling_amnesty v1 4 games, 2928 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -6.278, 0.164 sec/game, 0.0 min. total, 317.6 MB
grappling_amnesty v1 5 games, 3610 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -6.387, 0.154 sec/game, 0.0 min. total, 319.7 MB
grappling_amnesty v1 6 games, 4319 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -6.426, 0.151 sec/game, 0.0 min. total, 322.0 MB
grappling_amnesty v1 7 games, 5108 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -6.354, 0.149 sec/game, 0.0 min. total, 323.4 MB
grappling_amnesty v1 8 games, 5805 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -6.363, 0.146 sec/game, 0.0 min. total, 325.4 MB
grappling_amnesty v1 9 games, 6485 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -6.427, 0.143 sec/game, 0.0 min. total, 327.5 MB
grappling_amnesty v1 10 games, 7230 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -6.422, 0.141 sec/game, 0.0 min. total, 328.8 MB
grappling_amnesty v1 11 games, 7924 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -6.462, 0.139 sec/game, 0.0 min. total, 329.5 MB
grappling_amnesty v1 12 games, 8601 moves, e=0.991, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -6.463, 0.138 sec/game, 0.0 min. total, 331.7 MB
grappling_amnesty v2 13 games, 9232 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: -6.538, 0.135 sec/game, 0.0 min. total, 395.5 MB
