harpist_awkward v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.9 MB
harpist_awkward v1 1 games, 683 moves, e=0.999, loss: nan, -, 47.7% elo% vs. random_bot, avg. reward: -9.965, 0.232 sec/game, 0.0 min. total, 314.5 MB
harpist_awkward v1 2 games, 1280 moves, e=0.999, loss: nan, ., 47.8% elo% vs. random_bot, avg. reward: -11.113, 0.204 sec/game, 0.0 min. total, 315.6 MB
harpist_awkward v1 3 games, 1935 moves, e=0.998, loss: nan, -, 45.6% elo% vs. random_bot, avg. reward: -11.096, 0.202 sec/game, 0.0 min. total, 317.9 MB
harpist_awkward v1 4 games, 2691 moves, e=0.997, loss: nan, -, 43.5% elo% vs. random_bot, avg. reward: -10.696, 0.206 sec/game, 0.0 min. total, 320.9 MB
harpist_awkward v1 5 games, 3341 moves, e=0.997, loss: nan, -, 41.6% elo% vs. random_bot, avg. reward: -10.760, 0.210 sec/game, 0.0 min. total, 323.5 MB
harpist_awkward v1 6 games, 3999 moves, e=0.996, loss: nan, -, 39.7% elo% vs. random_bot, avg. reward: -10.743, 0.209 sec/game, 0.0 min. total, 325.9 MB
harpist_awkward v1 7 games, 4747 moves, e=0.995, loss: nan, -, 38.0% elo% vs. random_bot, avg. reward: -10.560, 0.210 sec/game, 0.0 min. total, 328.4 MB
harpist_awkward v1 8 games, 5420 moves, e=0.995, loss: nan, ., 38.5% elo% vs. random_bot, avg. reward: -10.565, 0.210 sec/game, 0.0 min. total, 330.5 MB
harpist_awkward v1 9 games, 6030 moves, e=0.994, loss: nan, -, 36.8% elo% vs. random_bot, avg. reward: -10.676, 0.208 sec/game, 0.0 min. total, 331.9 MB
harpist_awkward v1 10 games, 6741 moves, e=0.993, loss: nan, -, 35.3% elo% vs. random_bot, avg. reward: -10.573, 0.209 sec/game, 0.0 min. total, 334.4 MB
harpist_awkward v1 11 games, 7389 moves, e=0.993, loss: nan, -, 33.8% elo% vs. random_bot, avg. reward: -10.601, 0.209 sec/game, 0.0 min. total, 337.0 MB
harpist_awkward v1 12 games, 8070 moves, e=0.992, loss: nan, -, 32.4% elo% vs. random_bot, avg. reward: -10.544, 0.210 sec/game, 0.0 min. total, 339.6 MB
harpist_awkward v1 13 games, 8799 moves, e=0.991, loss: nan, -, 31.1% elo% vs. random_bot, avg. reward: -10.462, 0.211 sec/game, 0.0 min. total, 341.8 MB
harpist_awkward v1 14 games, 9470 moves, e=0.991, loss: nan, -, 29.9% elo% vs. random_bot, avg. reward: -10.448, 0.212 sec/game, 0.0 min. total, 344.8 MB
harpist_awkward v1 15 games, 10213 moves, e=0.990, loss: 67.1, +, 32.7% elo% vs. random_bot, avg. reward: -10.389, 0.250 sec/game, 0.1 min. total, 371.3 MB
harpist_awkward v1 16 games, 10918 moves, e=0.989, loss: 52.4, +, 35.5% elo% vs. random_bot, avg. reward: -10.366, 0.345 sec/game, 0.1 min. total, 373.9 MB
harpist_awkward v1 17 games, 11743 moves, e=0.988, loss: 33.5, +, 38.2% elo% vs. random_bot, avg. reward: -10.240, 0.436 sec/game, 0.1 min. total, 376.7 MB
harpist_awkward v1 18 games, 12474 moves, e=0.988, loss: 21.5, +, 41.0% elo% vs. random_bot, avg. reward: -10.208, 0.510 sec/game, 0.2 min. total, 378.1 MB
harpist_awkward v1 19 games, 13289 moves, e=0.987, loss: 14.7, +, 43.6% elo% vs. random_bot, avg. reward: -10.112, 0.576 sec/game, 0.2 min. total, 380.3 MB
harpist_awkward v1 20 games, 13961 moves, e=0.986, loss: 11.8, +, 46.2% elo% vs. random_bot, avg. reward: -10.139, 0.633 sec/game, 0.2 min. total, 380.8 MB
harpist_awkward v1 21 games, 14729 moves, e=0.985, loss: 9.6, +, 48.7% elo% vs. random_bot, avg. reward: -10.089, 0.710 sec/game, 0.2 min. total, 384.7 MB
harpist_awkward v1 22 games, 15507 moves, e=0.985, loss: 8.6, +, 51.0% elo% vs. random_bot, avg. reward: -10.035, 0.790 sec/game, 0.3 min. total, 383.7 MB
harpist_awkward v1 23 games, 16200 moves, e=0.984, loss: 8.6, +, 53.3% elo% vs. random_bot, avg. reward: -10.048, 0.854 sec/game, 0.3 min. total, 385.8 MB
harpist_awkward v1 24 games, 16888 moves, e=0.983, loss: 8.1, +, 55.4% elo% vs. random_bot, avg. reward: -10.060, 0.919 sec/game, 0.3 min. total, 386.1 MB
harpist_awkward v1 25 games, 17710 moves, e=0.982, loss: 6.9, +, 57.4% elo% vs. random_bot, avg. reward: -9.997, 1.010 sec/game, 0.4 min. total, 386.3 MB
harpist_awkward v1 26 games, 18441 moves, e=0.982, loss: 7.4, +, 59.3% elo% vs. random_bot, avg. reward: -9.979, 1.088 sec/game, 0.4 min. total, 387.3 MB
harpist_awkward v1 27 games, 19156 moves, e=0.981, loss: 7.4, +, 61.1% elo% vs. random_bot, avg. reward: -9.982, 1.153 sec/game, 0.4 min. total, 386.7 MB
harpist_awkward v1 28 games, 19984 moves, e=0.980, loss: 7.8, +, 62.8% elo% vs. random_bot, avg. reward: -9.916, 1.246 sec/game, 0.4 min. total, 387.0 MB
harpist_awkward v1 29 games, 20734 moves, e=0.979, loss: 7.6, +, 64.4% elo% vs. random_bot, avg. reward: -9.893, 1.313 sec/game, 0.5 min. total, 388.0 MB
harpist_awkward v1 30 games, 21454 moves, e=0.979, loss: 8.1, +, 65.9% elo% vs. random_bot, avg. reward: -9.885, 1.392 sec/game, 0.5 min. total, 388.2 MB
harpist_awkward v1 31 games, 22173 moves, e=0.978, loss: 8.1, +, 67.3% elo% vs. random_bot, avg. reward: -9.889, 1.466 sec/game, 0.5 min. total, 387.7 MB
harpist_awkward v1 32 games, 23018 moves, e=0.977, loss: 7.7, +, 68.6% elo% vs. random_bot, avg. reward: -9.844, 1.540 sec/game, 0.6 min. total, 389.1 MB
harpist_awkward v1 33 games, 23709 moves, e=0.977, loss: 7.8, +, 69.8% elo% vs. random_bot, avg. reward: -9.855, 1.614 sec/game, 0.6 min. total, 389.2 MB
harpist_awkward v1 34 games, 24526 moves, e=0.976, loss: 8.0, +, 71.0% elo% vs. random_bot, avg. reward: -9.807, 1.688 sec/game, 0.6 min. total, 389.3 MB
