irritably_crown v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 281.5 MB
irritably_crown v1 1 games, 681 moves, e=0.999, loss: nan, -, 47.7% elo% vs. random_bot, avg. reward: -6.182, 0.589 sec/game, 0.0 min. total, 291.1 MB
irritably_crown v1 2 games, 1311 moves, e=0.999, loss: nan, -, 45.5% elo% vs. random_bot, avg. reward: -6.735, 0.555 sec/game, 0.0 min. total, 292.8 MB
irritably_crown v1 3 games, 2065 moves, e=0.998, loss: nan, -, 43.4% elo% vs. random_bot, avg. reward: -6.427, 0.542 sec/game, 0.0 min. total, 294.1 MB
irritably_crown v1 4 games, 2820 moves, e=0.997, loss: nan, ., 43.7% elo% vs. random_bot, avg. reward: -6.201, 0.547 sec/game, 0.0 min. total, 295.7 MB
irritably_crown v1 5 games, 3577 moves, e=0.996, loss: nan, -, 41.8% elo% vs. random_bot, avg. reward: -6.149, 0.540 sec/game, 0.0 min. total, 297.0 MB
irritably_crown v1 6 games, 4273 moves, e=0.996, loss: nan, -, 39.9% elo% vs. random_bot, avg. reward: -6.198, 0.526 sec/game, 0.1 min. total, 297.8 MB
irritably_crown v1 7 games, 5097 moves, e=0.995, loss: nan, -, 38.2% elo% vs. random_bot, avg. reward: -5.989, 0.524 sec/game, 0.1 min. total, 299.3 MB
irritably_crown v1 8 games, 5791 moves, e=0.994, loss: nan, -, 36.5% elo% vs. random_bot, avg. reward: -6.035, 0.515 sec/game, 0.1 min. total, 300.8 MB
irritably_crown v1 9 games, 6345 moves, e=0.994, loss: nan, -, 35.0% elo% vs. random_bot, avg. reward: -6.363, 0.500 sec/game, 0.1 min. total, 301.3 MB
irritably_crown v1 10 games, 7061 moves, e=0.993, loss: nan, -, 33.5% elo% vs. random_bot, avg. reward: -6.351, 0.497 sec/game, 0.1 min. total, 303.1 MB
irritably_crown v1 11 games, 7730 moves, e=0.992, loss: nan, -, 32.2% elo% vs. random_bot, avg. reward: -6.364, 0.494 sec/game, 0.1 min. total, 304.8 MB
irritably_crown v1 12 games, 8450 moves, e=0.992, loss: nan, -, 30.9% elo% vs. random_bot, avg. reward: -6.337, 0.494 sec/game, 0.1 min. total, 306.4 MB
irritably_crown v1 13 games, 9102 moves, e=0.991, loss: nan, -, 29.7% elo% vs. random_bot, avg. reward: -6.388, 0.512 sec/game, 0.1 min. total, 307.9 MB
irritably_crown v1 14 games, 9861 moves, e=0.990, loss: nan, -, 28.6% elo% vs. random_bot, avg. reward: -6.326, 0.525 sec/game, 0.1 min. total, 308.9 MB
irritably_crown v1 15 games, 10570 moves, e=0.990, loss: 42.4, +, 31.3% elo% vs. random_bot, avg. reward: -6.301, 0.681 sec/game, 0.2 min. total, 323.6 MB
irritably_crown v1 16 games, 11296 moves, e=0.989, loss: 30.3, +, 34.1% elo% vs. random_bot, avg. reward: -6.263, 0.772 sec/game, 0.2 min. total, 321.4 MB
irritably_crown v1 17 games, 12049 moves, e=0.988, loss: 19.9, +, 36.9% elo% vs. random_bot, avg. reward: -6.245, 0.835 sec/game, 0.2 min. total, 323.8 MB
irritably_crown v1 18 games, 12745 moves, e=0.987, loss: 15.1, +, 39.6% elo% vs. random_bot, avg. reward: -6.242, 0.872 sec/game, 0.3 min. total, 325.3 MB
irritably_crown v1 19 games, 13355 moves, e=0.987, loss: 11.9, +, 42.3% elo% vs. random_bot, avg. reward: -6.307, 0.909 sec/game, 0.3 min. total, 326.0 MB
irritably_crown v1 20 games, 14085 moves, e=0.986, loss: 9.4, +, 44.9% elo% vs. random_bot, avg. reward: -6.289, 0.972 sec/game, 0.3 min. total, 328.4 MB
irritably_crown v1 21 games, 14769 moves, e=0.985, loss: 7.8, +, 47.4% elo% vs. random_bot, avg. reward: -6.299, 1.014 sec/game, 0.3 min. total, 330.3 MB
irritably_crown v1 22 games, 15438 moves, e=0.985, loss: 7.6, +, 49.9% elo% vs. random_bot, avg. reward: -6.315, 1.069 sec/game, 0.4 min. total, 328.4 MB
irritably_crown v1 23 games, 16169 moves, e=0.984, loss: 7.2, +, 52.2% elo% vs. random_bot, avg. reward: -6.296, 1.135 sec/game, 0.4 min. total, 329.4 MB
irritably_crown v1 24 games, 16875 moves, e=0.983, loss: 7.2, +, 54.4% elo% vs. random_bot, avg. reward: -6.274, 1.183 sec/game, 0.4 min. total, 329.4 MB
irritably_crown v1 25 games, 17612 moves, e=0.983, loss: 7.4, +, 56.4% elo% vs. random_bot, avg. reward: -6.259, 1.245 sec/game, 0.5 min. total, 329.4 MB
irritably_crown v1 26 games, 18339 moves, e=0.982, loss: 7.9, +, 58.4% elo% vs. random_bot, avg. reward: -6.245, 1.346 sec/game, 0.5 min. total, 329.5 MB
irritably_crown v1 27 games, 19016 moves, e=0.981, loss: 8.4, +, 60.2% elo% vs. random_bot, avg. reward: -6.251, 1.397 sec/game, 0.5 min. total, 329.5 MB
irritably_crown v1 28 games, 19703 moves, e=0.980, loss: 7.9, +, 62.0% elo% vs. random_bot, avg. reward: -6.253, 1.465 sec/game, 0.6 min. total, 329.0 MB
irritably_crown v1 29 games, 20441 moves, e=0.980, loss: 8.0, +, 63.6% elo% vs. random_bot, avg. reward: -6.236, 1.575 sec/game, 0.6 min. total, 328.6 MB
irritably_crown v1 30 games, 21116 moves, e=0.979, loss: 8.1, +, 65.2% elo% vs. random_bot, avg. reward: -6.246, 1.650 sec/game, 0.6 min. total, 329.0 MB
irritably_crown v1 31 games, 21917 moves, e=0.978, loss: 8.0, +, 66.6% elo% vs. random_bot, avg. reward: -6.206, 1.727 sec/game, 0.7 min. total, 329.3 MB
irritably_crown v1 32 games, 22568 moves, e=0.978, loss: 8.5, +, 68.0% elo% vs. random_bot, avg. reward: -6.236, 1.777 sec/game, 0.7 min. total, 329.8 MB
irritably_crown v1 33 games, 23284 moves, e=0.977, loss: 8.3, +, 69.2% elo% vs. random_bot, avg. reward: -6.219, 1.818 sec/game, 0.7 min. total, 330.4 MB
irritably_crown v1 34 games, 24028 moves, e=0.976, loss: 8.7, +, 70.4% elo% vs. random_bot, avg. reward: -6.205, 1.873 sec/game, 0.7 min. total, 331.2 MB
irritably_crown v2 35 games, 24617 moves, e=0.976, loss: 8.8, ., 52.2% elo% vs. guard_bot, avg. reward: -6.264, 1.834 sec/game, 0.8 min. total, 348.6 MB
irritably_crown v2 36 games, 25296 moves, e=0.975, loss: 9.2, +, 54.4% elo% vs. guard_bot, avg. reward: -6.272, 1.811 sec/game, 0.8 min. total, 385.8 MB
irritably_crown v2 37 games, 25982 moves, e=0.974, loss: 10.2, +, 56.5% elo% vs. guard_bot, avg. reward: -6.272, 1.791 sec/game, 0.8 min. total, 385.7 MB
