italicize_pushiness v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.3 MB
italicize_pushiness v1 1 games, 728 moves, e=0.999, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -2.545, 0.242 sec/game, 0.0 min. total, 315.4 MB
italicize_pushiness v1 2 games, 1430 moves, e=0.999, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -3.890, 0.232 sec/game, 0.0 min. total, 317.9 MB
italicize_pushiness v1 3 games, 2024 moves, e=0.998, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -2.856, 0.218 sec/game, 0.0 min. total, 321.1 MB
italicize_pushiness v1 4 games, 2672 moves, e=0.997, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -3.177, 0.213 sec/game, 0.0 min. total, 324.2 MB
italicize_pushiness v1 5 games, 3451 moves, e=0.997, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -3.124, 0.219 sec/game, 0.0 min. total, 327.1 MB
italicize_pushiness v1 6 games, 4070 moves, e=0.996, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -3.642, 0.219 sec/game, 0.0 min. total, 330.6 MB
italicize_pushiness v1 7 games, 4726 moves, e=0.995, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -3.785, 0.219 sec/game, 0.0 min. total, 333.8 MB
italicize_pushiness v1 8 games, 5415 moves, e=0.995, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -3.416, 0.219 sec/game, 0.0 min. total, 336.7 MB
italicize_pushiness v1 9 games, 6181 moves, e=0.994, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -2.918, 0.219 sec/game, 0.0 min. total, 341.0 MB
italicize_pushiness v1 10 games, 6850 moves, e=0.993, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -3.043, 0.217 sec/game, 0.0 min. total, 344.6 MB
italicize_pushiness v1 11 games, 7614 moves, e=0.992, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -2.800, 0.218 sec/game, 0.0 min. total, 347.7 MB
italicize_pushiness v1 12 games, 8253 moves, e=0.992, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -3.145, 0.216 sec/game, 0.0 min. total, 349.8 MB
italicize_pushiness v1 13 games, 9029 moves, e=0.991, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -3.063, 0.217 sec/game, 0.0 min. total, 353.8 MB
italicize_pushiness v1 14 games, 9661 moves, e=0.990, loss: nan, ., 50.0% elo% vs. v0, avg. reward: -3.338, 0.216 sec/game, 0.1 min. total, 356.8 MB
italicize_pushiness v1 15 games, 10433 moves, e=0.990, loss: 86.8, ., 50.0% elo% vs. v0, avg. reward: -3.270, 0.284 sec/game, 0.1 min. total, 385.2 MB
italicize_pushiness v1 16 games, 11111 moves, e=0.989, loss: 69.1, ., 50.0% elo% vs. v0, avg. reward: -3.265, 0.347 sec/game, 0.1 min. total, 391.6 MB
italicize_pushiness v1 17 games, 11822 moves, e=0.988, loss: 51.9, ., 50.0% elo% vs. v0, avg. reward: -3.383, 0.419 sec/game, 0.1 min. total, 390.5 MB
italicize_pushiness v1 18 games, 12502 moves, e=0.988, loss: 41.5, ., 50.0% elo% vs. v0, avg. reward: -3.439, 0.475 sec/game, 0.1 min. total, 392.0 MB
italicize_pushiness v1 19 games, 13283 moves, e=0.987, loss: 34.4, ., 50.0% elo% vs. v0, avg. reward: -3.473, 0.547 sec/game, 0.2 min. total, 392.1 MB
italicize_pushiness v1 20 games, 14025 moves, e=0.986, loss: 31.3, ., 50.0% elo% vs. v0, avg. reward: -3.423, 0.597 sec/game, 0.2 min. total, 392.3 MB
italicize_pushiness v1 21 games, 14727 moves, e=0.985, loss: 28.0, ., 50.0% elo% vs. v0, avg. reward: -3.546, 0.661 sec/game, 0.2 min. total, 392.6 MB
italicize_pushiness v1 22 games, 15388 moves, e=0.985, loss: 28.3, ., 50.0% elo% vs. v0, avg. reward: -3.390, 0.714 sec/game, 0.2 min. total, 393.0 MB
italicize_pushiness v1 23 games, 16127 moves, e=0.984, loss: 27.4, ., 50.0% elo% vs. v0, avg. reward: -3.427, 0.772 sec/game, 0.3 min. total, 393.1 MB
italicize_pushiness v1 24 games, 16795 moves, e=0.983, loss: 26.2, ., 50.0% elo% vs. v0, avg. reward: -3.532, 0.839 sec/game, 0.3 min. total, 393.3 MB
italicize_pushiness v1 25 games, 17524 moves, e=0.983, loss: 26.5, +, 52.3% elo% vs. v0, avg. reward: -3.334, 0.893 sec/game, 0.3 min. total, 395.6 MB
italicize_pushiness v1 26 games, 18277 moves, e=0.982, loss: 27.6, ., 52.2% elo% vs. v0, avg. reward: -3.246, 0.959 sec/game, 0.3 min. total, 397.0 MB
italicize_pushiness v1 27 games, 18942 moves, e=0.981, loss: 29.2, ., 52.1% elo% vs. v0, avg. reward: -3.289, 1.015 sec/game, 0.4 min. total, 394.6 MB
italicize_pushiness v1 28 games, 19757 moves, e=0.980, loss: 29.6, ., 52.0% elo% vs. v0, avg. reward: -3.292, 1.097 sec/game, 0.4 min. total, 396.6 MB
italicize_pushiness v1 29 games, 20336 moves, e=0.980, loss: 31.0, ., 51.9% elo% vs. v0, avg. reward: -3.311, 1.138 sec/game, 0.4 min. total, 397.7 MB
italicize_pushiness v1 30 games, 21106 moves, e=0.979, loss: 33.8, ., 51.8% elo% vs. v0, avg. reward: -3.108, 1.208 sec/game, 0.4 min. total, 399.3 MB
italicize_pushiness v1 31 games, 21950 moves, e=0.978, loss: 35.8, ., 51.7% elo% vs. v0, avg. reward: -3.033, 1.290 sec/game, 0.5 min. total, 401.3 MB
italicize_pushiness v1 32 games, 22619 moves, e=0.978, loss: 40.0, ., 51.7% elo% vs. v0, avg. reward: -3.042, 1.348 sec/game, 0.5 min. total, 402.7 MB
italicize_pushiness v1 33 games, 23332 moves, e=0.977, loss: 41.0, ., 51.6% elo% vs. v0, avg. reward: -2.995, 1.420 sec/game, 0.5 min. total, 402.4 MB
italicize_pushiness v1 34 games, 24037 moves, e=0.976, loss: 45.0, ., 51.5% elo% vs. v0, avg. reward: -3.007, 1.477 sec/game, 0.5 min. total, 402.4 MB
italicize_pushiness v1 35 games, 24736 moves, e=0.976, loss: 46.0, ., 51.4% elo% vs. v0, avg. reward: -3.043, 1.495 sec/game, 0.6 min. total, 402.4 MB
italicize_pushiness v1 36 games, 25501 moves, e=0.975, loss: 46.7, ., 51.4% elo% vs. v0, avg. reward: -3.109, 1.513 sec/game, 0.6 min. total, 402.5 MB
italicize_pushiness v1 37 games, 26295 moves, e=0.974, loss: 46.4, ., 51.3% elo% vs. v0, avg. reward: -3.087, 1.515 sec/game, 0.6 min. total, 402.7 MB
italicize_pushiness v1 38 games, 26929 moves, e=0.973, loss: 47.1, ., 51.2% elo% vs. v0, avg. reward: -2.944, 1.509 sec/game, 0.6 min. total, 402.8 MB
italicize_pushiness v1 39 games, 27662 moves, e=0.973, loss: 50.9, ., 51.2% elo% vs. v0, avg. reward: -2.884, 1.495 sec/game, 0.7 min. total, 402.9 MB
italicize_pushiness v1 40 games, 28326 moves, e=0.972, loss: 50.2, ., 51.1% elo% vs. v0, avg. reward: -2.963, 1.485 sec/game, 0.7 min. total, 402.9 MB
italicize_pushiness v1 41 games, 28995 moves, e=0.971, loss: 54.2, ., 51.1% elo% vs. v0, avg. reward: -2.999, 1.477 sec/game, 0.7 min. total, 403.0 MB
italicize_pushiness v1 42 games, 29622 moves, e=0.971, loss: 56.2, ., 51.0% elo% vs. v0, avg. reward: -3.063, 1.478 sec/game, 0.7 min. total, 403.1 MB
italicize_pushiness v1 43 games, 30463 moves, e=0.970, loss: 61.0, +, 53.3% elo% vs. v0, avg. reward: -2.925, 1.495 sec/game, 0.8 min. total, 403.9 MB
italicize_pushiness v1 44 games, 31180 moves, e=0.969, loss: 57.2, ., 53.1% elo% vs. v0, avg. reward: -3.012, 1.498 sec/game, 0.8 min. total, 404.6 MB
italicize_pushiness v1 45 games, 32067 moves, e=0.968, loss: 52.8, +, 55.3% elo% vs. v0, avg. reward: -2.887, 1.524 sec/game, 0.8 min. total, 405.6 MB
italicize_pushiness v1 46 games, 32941 moves, e=0.967, loss: 55.8, ., 55.0% elo% vs. v0, avg. reward: -2.850, 1.538 sec/game, 0.9 min. total, 407.7 MB
italicize_pushiness v1 47 games, 33653 moves, e=0.967, loss: 60.6, ., 54.8% elo% vs. v0, avg. reward: -2.767, 1.547 sec/game, 0.9 min. total, 407.7 MB
italicize_pushiness v1 48 games, 34316 moves, e=0.966, loss: 65.5, +, 56.9% elo% vs. v0, avg. reward: -2.803, 1.531 sec/game, 0.9 min. total, 407.6 MB
italicize_pushiness v1 49 games, 34992 moves, e=0.965, loss: 61.5, +, 58.8% elo% vs. v0, avg. reward: -2.798, 1.546 sec/game, 0.9 min. total, 407.8 MB
italicize_pushiness v1 50 games, 35655 moves, e=0.965, loss: 63.3, +, 60.6% elo% vs. v0, avg. reward: -2.846, 1.533 sec/game, 0.9 min. total, 410.0 MB
italicize_pushiness v1 51 games, 36350 moves, e=0.964, loss: 65.6, +, 62.3% elo% vs. v0, avg. reward: -2.870, 1.508 sec/game, 1.0 min. total, 410.1 MB
italicize_pushiness v1 52 games, 37076 moves, e=0.963, loss: 66.8, +, 64.0% elo% vs. v0, avg. reward: -2.867, 1.520 sec/game, 1.0 min. total, 407.9 MB
italicize_pushiness v1 53 games, 37710 moves, e=0.963, loss: 71.1, +, 65.5% elo% vs. v0, avg. reward: -2.935, 1.502 sec/game, 1.0 min. total, 410.4 MB
italicize_pushiness v1 54 games, 38362 moves, e=0.962, loss: 73.7, +, 66.9% elo% vs. v0, avg. reward: -2.958, 1.504 sec/game, 1.0 min. total, 410.5 MB
italicize_pushiness v1 55 games, 39037 moves, e=0.961, loss: 72.1, +, 68.2% elo% vs. v0, avg. reward: -2.935, 1.491 sec/game, 1.1 min. total, 409.0 MB
italicize_pushiness v1 56 games, 39775 moves, e=0.961, loss: 68.8, ., 67.5% elo% vs. v0, avg. reward: -2.946, 1.490 sec/game, 1.1 min. total, 409.8 MB
italicize_pushiness v1 57 games, 40539 moves, e=0.960, loss: 72.9, +, 68.8% elo% vs. v0, avg. reward: -2.866, 1.490 sec/game, 1.1 min. total, 414.0 MB
italicize_pushiness v1 58 games, 41278 moves, e=0.959, loss: 75.1, +, 70.0% elo% vs. v0, avg. reward: -2.881, 1.506 sec/game, 1.1 min. total, 412.8 MB
italicize_pushiness v2 59 games, 41977 moves, e=0.958, loss: 81.7, -, 49.9% elo% vs. v1, avg. reward: -2.934, 1.493 sec/game, 1.2 min. total, 473.2 MB
italicize_pushiness v2 60 games, 42689 moves, e=0.958, loss: 84.1, -, 47.6% elo% vs. v1, avg. reward: -2.945, 1.504 sec/game, 1.2 min. total, 473.7 MB
italicize_pushiness v2 61 games, 43407 moves, e=0.957, loss: 81.7, -, 45.4% elo% vs. v1, avg. reward: -2.986, 1.514 sec/game, 1.2 min. total, 474.0 MB
italicize_pushiness v2 62 games, 44114 moves, e=0.956, loss: 79.5, -, 43.4% elo% vs. v1, avg. reward: -2.991, 1.520 sec/game, 1.2 min. total, 473.9 MB
italicize_pushiness v2 63 games, 44838 moves, e=0.956, loss: 73.8, -, 41.4% elo% vs. v1, avg. reward: -3.009, 1.520 sec/game, 1.3 min. total, 474.1 MB
italicize_pushiness v2 64 games, 45598 moves, e=0.955, loss: 81.5, -, 39.6% elo% vs. v1, avg. reward: -3.047, 1.523 sec/game, 1.3 min. total, 474.5 MB
italicize_pushiness v2 65 games, 46272 moves, e=0.954, loss: 79.9, -, 37.8% elo% vs. v1, avg. reward: -3.030, 1.499 sec/game, 1.3 min. total, 475.3 MB
italicize_pushiness v2 66 games, 46935 moves, e=0.954, loss: 83.0, -, 36.2% elo% vs. v1, avg. reward: -3.080, 1.477 sec/game, 1.3 min. total, 475.6 MB
italicize_pushiness v2 67 games, 47746 moves, e=0.953, loss: 80.4, -, 34.7% elo% vs. v1, avg. reward: -3.004, 1.494 sec/game, 1.4 min. total, 476.8 MB
italicize_pushiness v2 68 games, 48450 moves, e=0.952, loss: 84.1, -, 33.3% elo% vs. v1, avg. reward: -2.968, 1.485 sec/game, 1.4 min. total, 478.9 MB
italicize_pushiness v2 69 games, 49243 moves, e=0.951, loss: 93.8, -, 31.9% elo% vs. v1, avg. reward: -2.935, 1.498 sec/game, 1.4 min. total, 481.0 MB
italicize_pushiness v2 70 games, 49981 moves, e=0.951, loss: 84.7, -, 30.6% elo% vs. v1, avg. reward: -2.951, 1.511 sec/game, 1.5 min. total, 483.3 MB
italicize_pushiness v2 71 games, 50881 moves, e=0.950, loss: 90.4, -, 29.5% elo% vs. v1, avg. reward: -2.895, 1.536 sec/game, 1.5 min. total, 483.2 MB
italicize_pushiness v2 72 games, 51610 moves, e=0.949, loss: 91.3, -, 28.3% elo% vs. v1, avg. reward: -2.945, 1.535 sec/game, 1.5 min. total, 483.2 MB
italicize_pushiness v2 73 games, 52284 moves, e=0.948, loss: 95.9, -, 27.3% elo% vs. v1, avg. reward: -2.993, 1.536 sec/game, 1.5 min. total, 483.1 MB
italicize_pushiness v2 74 games, 53092 moves, e=0.947, loss: 91.4, -, 26.3% elo% vs. v1, avg. reward: -2.901, 1.548 sec/game, 1.6 min. total, 483.3 MB
italicize_pushiness v2 75 games, 53821 moves, e=0.947, loss: 101.6, +, 29.0% elo% vs. v1, avg. reward: -2.912, 1.561 sec/game, 1.6 min. total, 484.2 MB
italicize_pushiness v2 76 games, 54603 moves, e=0.946, loss: 106.2, +, 31.8% elo% vs. v1, avg. reward: -2.923, 1.565 sec/game, 1.6 min. total, 484.4 MB
italicize_pushiness v2 77 games, 55283 moves, e=0.945, loss: 99.2, -, 30.5% elo% vs. v1, avg. reward: -2.954, 1.553 sec/game, 1.6 min. total, 483.8 MB
italicize_pushiness v2 78 games, 55911 moves, e=0.945, loss: 105.9, ., 31.3% elo% vs. v1, avg. reward: -2.947, 1.539 sec/game, 1.7 min. total, 484.3 MB
italicize_pushiness v2 79 games, 56687 moves, e=0.944, loss: 99.6, +, 34.1% elo% vs. v1, avg. reward: -2.803, 1.557 sec/game, 1.7 min. total, 488.9 MB
italicize_pushiness v2 80 games, 57429 moves, e=0.943, loss: 106.8, +, 36.9% elo% vs. v1, avg. reward: -2.822, 1.560 sec/game, 1.7 min. total, 490.9 MB
italicize_pushiness v2 81 games, 58196 moves, e=0.942, loss: 108.9, +, 39.6% elo% vs. v1, avg. reward: -2.809, 1.564 sec/game, 1.7 min. total, 491.3 MB
italicize_pushiness v2 82 games, 58843 moves, e=0.942, loss: 110.7, +, 42.3% elo% vs. v1, avg. reward: -2.847, 1.562 sec/game, 1.8 min. total, 489.6 MB
italicize_pushiness v2 83 games, 59522 moves, e=0.941, loss: 104.0, +, 44.9% elo% vs. v1, avg. reward: -2.860, 1.555 sec/game, 1.8 min. total, 489.6 MB
italicize_pushiness v2 84 games, 60196 moves, e=0.940, loss: 109.5, +, 47.4% elo% vs. v1, avg. reward: -2.849, 1.542 sec/game, 1.8 min. total, 489.3 MB
italicize_pushiness v2 85 games, 60933 moves, e=0.940, loss: 105.4, +, 49.8% elo% vs. v1, avg. reward: -2.845, 1.552 sec/game, 1.8 min. total, 492.1 MB
italicize_pushiness v2 86 games, 61699 moves, e=0.939, loss: 116.4, +, 52.2% elo% vs. v1, avg. reward: -2.807, 1.564 sec/game, 1.9 min. total, 489.8 MB
