jaybird_flanked v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.0 MB
jaybird_flanked v1 1 games, 651 moves, e=0.999, loss: nan, +, 52.3% elo% vs. v0, avg. reward: 1.034, 0.223 sec/game, 0.0 min. total, 315.8 MB
jaybird_flanked v1 2 games, 1448 moves, e=0.999, loss: nan, ., 52.2% elo% vs. v0, avg. reward: -1.294, 0.240 sec/game, 0.0 min. total, 320.3 MB
jaybird_flanked v1 3 games, 2114 moves, e=0.998, loss: nan, -, 49.8% elo% vs. v0, avg. reward: -3.267, 0.222 sec/game, 0.0 min. total, 324.2 MB
jaybird_flanked v1 4 games, 2743 moves, e=0.997, loss: nan, -, 47.5% elo% vs. v0, avg. reward: -4.118, 0.212 sec/game, 0.0 min. total, 327.1 MB
jaybird_flanked v1 5 games, 3433 moves, e=0.997, loss: nan, +, 49.9% elo% vs. v0, avg. reward: -3.249, 0.204 sec/game, 0.0 min. total, 330.5 MB
jaybird_flanked v1 6 games, 4157 moves, e=0.996, loss: nan, -, 47.6% elo% vs. v0, avg. reward: -3.232, 0.202 sec/game, 0.0 min. total, 335.2 MB
jaybird_flanked v1 7 games, 4884 moves, e=0.995, loss: nan, -, 45.4% elo% vs. v0, avg. reward: -3.421, 0.205 sec/game, 0.0 min. total, 337.8 MB
jaybird_flanked v1 8 games, 5548 moves, e=0.995, loss: nan, ., 45.6% elo% vs. v0, avg. reward: -3.898, 0.204 sec/game, 0.0 min. total, 341.2 MB
jaybird_flanked v1 9 games, 6126 moves, e=0.994, loss: nan, -, 43.6% elo% vs. v0, avg. reward: -4.229, 0.201 sec/game, 0.0 min. total, 344.2 MB
jaybird_flanked v1 10 games, 6916 moves, e=0.993, loss: nan, +, 46.1% elo% vs. v0, avg. reward: -4.201, 0.204 sec/game, 0.0 min. total, 347.5 MB
jaybird_flanked v1 11 games, 7546 moves, e=0.993, loss: nan, -, 44.0% elo% vs. v0, avg. reward: -4.425, 0.203 sec/game, 0.0 min. total, 351.4 MB
