justness_pawing v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.0 MB
justness_pawing v1 1 games, 598 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -7.615, 0.219 sec/game, 0.0 min. total, 314.1 MB
justness_pawing v1 2 games, 1403 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -5.839, 0.228 sec/game, 0.0 min. total, 317.9 MB
justness_pawing v1 3 games, 2168 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -5.536, 0.231 sec/game, 0.0 min. total, 322.3 MB
justness_pawing v1 4 games, 2892 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -5.590, 0.230 sec/game, 0.0 min. total, 325.6 MB
justness_pawing v1 5 games, 3636 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -5.518, 0.227 sec/game, 0.0 min. total, 329.5 MB
justness_pawing v1 6 games, 4390 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -5.391, 0.228 sec/game, 0.0 min. total, 333.2 MB
justness_pawing v1 7 games, 5077 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -5.456, 0.225 sec/game, 0.0 min. total, 335.8 MB
justness_pawing v1 8 games, 5932 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -5.206, 0.229 sec/game, 0.0 min. total, 339.5 MB
justness_pawing v1 9 games, 6595 moves, e=0.993, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -5.378, 0.225 sec/game, 0.0 min. total, 342.7 MB
justness_pawing v1 10 games, 7325 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -5.374, 0.225 sec/game, 0.0 min. total, 346.7 MB
justness_pawing v1 11 games, 8065 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -5.381, 0.226 sec/game, 0.0 min. total, 350.0 MB
justness_pawing v1 12 games, 8810 moves, e=0.991, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -5.381, 0.226 sec/game, 0.0 min. total, 353.3 MB
justness_pawing v2 13 games, 9630 moves, e=0.990, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: -5.265, 0.228 sec/game, 0.0 min. total, 417.6 MB
justness_pawing v2 14 games, 10277 moves, e=0.990, loss: 69.1, ., 54.3% elo% vs. guard_bot, avg. reward: -5.370, 0.288 sec/game, 0.1 min. total, 445.4 MB
justness_pawing v2 15 games, 10900 moves, e=0.989, loss: 54.1, ., 54.1% elo% vs. guard_bot, avg. reward: -5.483, 0.359 sec/game, 0.1 min. total, 446.9 MB
justness_pawing v2 16 games, 11641 moves, e=0.988, loss: 39.7, ., 53.9% elo% vs. guard_bot, avg. reward: -5.444, 0.424 sec/game, 0.1 min. total, 447.0 MB
justness_pawing v2 17 games, 12366 moves, e=0.988, loss: 28.3, ., 53.7% elo% vs. guard_bot, avg. reward: -5.425, 0.492 sec/game, 0.1 min. total, 446.9 MB
justness_pawing v2 18 games, 12999 moves, e=0.987, loss: 22.5, ., 53.6% elo% vs. guard_bot, avg. reward: -5.496, 0.544 sec/game, 0.2 min. total, 447.1 MB
justness_pawing v2 19 games, 13747 moves, e=0.986, loss: 18.3, ., 53.4% elo% vs. guard_bot, avg. reward: -5.473, 0.592 sec/game, 0.2 min. total, 447.3 MB
justness_pawing v2 20 games, 14449 moves, e=0.986, loss: 17.1, ., 53.2% elo% vs. guard_bot, avg. reward: -5.479, 0.625 sec/game, 0.2 min. total, 447.5 MB
justness_pawing v2 21 games, 15124 moves, e=0.985, loss: 17.4, ., 53.1% elo% vs. guard_bot, avg. reward: -5.511, 0.686 sec/game, 0.2 min. total, 447.5 MB
justness_pawing v2 22 games, 15827 moves, e=0.984, loss: 17.5, ., 52.9% elo% vs. guard_bot, avg. reward: -5.510, 0.741 sec/game, 0.3 min. total, 447.7 MB
justness_pawing v2 23 games, 16533 moves, e=0.984, loss: 17.5, ., 52.8% elo% vs. guard_bot, avg. reward: -5.519, 0.809 sec/game, 0.3 min. total, 447.5 MB
