keenness_detonator v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 305.2 MB
keenness_detonator v1 1 games, 747 moves, e=0.999, loss: nan, -, 47.7% elo% vs. random_bot, avg. reward: -7.392, 0.378 sec/game, 0.0 min. total, 313.8 MB
keenness_detonator v1 2 games, 1512 moves, e=0.999, loss: nan, ., 47.8% elo% vs. random_bot, avg. reward: -7.306, 0.383 sec/game, 0.0 min. total, 315.9 MB
keenness_detonator v1 3 games, 2178 moves, e=0.998, loss: nan, -, 45.6% elo% vs. random_bot, avg. reward: -7.813, 0.363 sec/game, 0.0 min. total, 318.7 MB
keenness_detonator v1 4 games, 2830 moves, e=0.997, loss: nan, +, 48.1% elo% vs. random_bot, avg. reward: -8.189, 0.351 sec/game, 0.0 min. total, 321.5 MB
keenness_detonator v1 5 games, 3549 moves, e=0.996, loss: nan, +, 50.5% elo% vs. random_bot, avg. reward: -8.147, 0.352 sec/game, 0.0 min. total, 324.8 MB
keenness_detonator v1 6 games, 4267 moves, e=0.996, loss: nan, +, 52.8% elo% vs. random_bot, avg. reward: -8.195, 0.352 sec/game, 0.0 min. total, 327.7 MB
keenness_detonator v1 7 games, 4806 moves, e=0.995, loss: nan, +, 54.9% elo% vs. random_bot, avg. reward: -8.731, 0.340 sec/game, 0.0 min. total, 330.5 MB
keenness_detonator v1 8 games, 5472 moves, e=0.995, loss: nan, -, 52.4% elo% vs. random_bot, avg. reward: -8.808, 0.342 sec/game, 0.0 min. total, 333.8 MB
keenness_detonator v1 9 games, 6103 moves, e=0.994, loss: nan, ., 52.3% elo% vs. random_bot, avg. reward: -8.875, 0.338 sec/game, 0.1 min. total, 337.4 MB
keenness_detonator v1 10 games, 6887 moves, e=0.993, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -8.684, 0.341 sec/game, 0.1 min. total, 341.3 MB
keenness_detonator v1 11 games, 7613 moves, e=0.992, loss: nan, -, 52.0% elo% vs. random_bot, avg. reward: -8.649, 0.340 sec/game, 0.1 min. total, 344.8 MB
keenness_detonator v1 12 games, 8284 moves, e=0.992, loss: nan, +, 54.2% elo% vs. random_bot, avg. reward: -8.662, 0.337 sec/game, 0.1 min. total, 348.6 MB
keenness_detonator v1 13 games, 8867 moves, e=0.991, loss: nan, +, 56.3% elo% vs. random_bot, avg. reward: -8.822, 0.332 sec/game, 0.1 min. total, 351.2 MB
keenness_detonator v1 14 games, 9554 moves, e=0.991, loss: nan, ., 56.0% elo% vs. random_bot, avg. reward: -8.815, 0.332 sec/game, 0.1 min. total, 353.3 MB
keenness_detonator v1 15 games, 10157 moves, e=0.990, loss: 69.7, +, 58.0% elo% vs. random_bot, avg. reward: -8.927, 0.364 sec/game, 0.1 min. total, 379.7 MB
keenness_detonator v1 16 games, 10933 moves, e=0.989, loss: 52.0, +, 59.9% elo% vs. random_bot, avg. reward: -8.795, 0.453 sec/game, 0.1 min. total, 383.1 MB
keenness_detonator v1 17 games, 11566 moves, e=0.989, loss: 36.5, +, 61.6% elo% vs. random_bot, avg. reward: -8.856, 0.514 sec/game, 0.1 min. total, 384.8 MB
keenness_detonator v1 18 games, 12299 moves, e=0.988, loss: 24.4, +, 63.3% elo% vs. random_bot, avg. reward: -8.796, 0.585 sec/game, 0.2 min. total, 387.6 MB
keenness_detonator v1 19 games, 13006 moves, e=0.987, loss: 17.3, +, 64.8% elo% vs. random_bot, avg. reward: -8.778, 0.633 sec/game, 0.2 min. total, 386.4 MB
keenness_detonator v1 20 games, 13778 moves, e=0.986, loss: 14.1, +, 66.3% elo% vs. random_bot, avg. reward: -8.695, 0.691 sec/game, 0.2 min. total, 390.2 MB
keenness_detonator v1 21 games, 14504 moves, e=0.986, loss: 11.4, +, 67.7% elo% vs. random_bot, avg. reward: -8.670, 0.760 sec/game, 0.3 min. total, 389.1 MB
keenness_detonator v1 22 games, 15152 moves, e=0.985, loss: 10.4, +, 69.0% elo% vs. random_bot, avg. reward: -8.675, 0.844 sec/game, 0.3 min. total, 390.5 MB
keenness_detonator v1 23 games, 15883 moves, e=0.984, loss: 9.0, +, 70.2% elo% vs. random_bot, avg. reward: -8.636, 0.922 sec/game, 0.3 min. total, 390.7 MB
keenness_detonator v1 24 games, 16617 moves, e=0.984, loss: 8.8, +, 71.3% elo% vs. random_bot, avg. reward: -8.599, 0.993 sec/game, 0.4 min. total, 391.0 MB
keenness_detonator v1 25 games, 17270 moves, e=0.983, loss: 9.0, +, 72.4% elo% vs. random_bot, avg. reward: -8.608, 1.060 sec/game, 0.4 min. total, 390.8 MB
keenness_detonator v1 26 games, 17914 moves, e=0.982, loss: 9.1, +, 73.4% elo% vs. random_bot, avg. reward: -8.640, 1.131 sec/game, 0.4 min. total, 390.1 MB
keenness_detonator v1 27 games, 18735 moves, e=0.981, loss: 9.5, +, 74.3% elo% vs. random_bot, avg. reward: -8.567, 1.225 sec/game, 0.4 min. total, 388.7 MB
keenness_detonator v1 28 games, 19508 moves, e=0.981, loss: 9.2, +, 75.2% elo% vs. random_bot, avg. reward: -8.508, 1.296 sec/game, 0.5 min. total, 393.1 MB
keenness_detonator v1 29 games, 20361 moves, e=0.980, loss: 8.7, +, 76.1% elo% vs. random_bot, avg. reward: -8.419, 1.393 sec/game, 0.5 min. total, 392.2 MB
keenness_detonator v1 30 games, 21037 moves, e=0.979, loss: 8.8, +, 76.9% elo% vs. random_bot, avg. reward: -8.426, 1.461 sec/game, 0.5 min. total, 392.0 MB
keenness_detonator v1 31 games, 21681 moves, e=0.979, loss: 9.4, +, 77.6% elo% vs. random_bot, avg. reward: -8.455, 1.533 sec/game, 0.6 min. total, 392.2 MB
keenness_detonator v1 32 games, 22448 moves, e=0.978, loss: 9.6, +, 78.3% elo% vs. random_bot, avg. reward: -8.427, 1.619 sec/game, 0.6 min. total, 391.4 MB
keenness_detonator v1 33 games, 23087 moves, e=0.977, loss: 9.8, +, 79.0% elo% vs. random_bot, avg. reward: -8.441, 1.686 sec/game, 0.6 min. total, 395.2 MB
keenness_detonator v1 34 games, 23800 moves, e=0.976, loss: 9.2, +, 79.6% elo% vs. random_bot, avg. reward: -8.429, 1.755 sec/game, 0.7 min. total, 397.5 MB
keenness_detonator v1 35 games, 24549 moves, e=0.976, loss: 10.1, +, 80.2% elo% vs. random_bot, avg. reward: -8.395, 1.809 sec/game, 0.7 min. total, 395.9 MB
keenness_detonator v2 36 games, 25321 moves, e=0.975, loss: 9.7, ., 52.2% elo% vs. guard_bot, avg. reward: -8.367, 1.809 sec/game, 0.7 min. total, 462.0 MB
keenness_detonator v2 37 games, 26095 moves, e=0.974, loss: 10.5, +, 54.4% elo% vs. guard_bot, avg. reward: -8.337, 1.821 sec/game, 0.8 min. total, 463.5 MB
keenness_detonator v2 38 games, 26717 moves, e=0.974, loss: 10.6, +, 56.5% elo% vs. guard_bot, avg. reward: -8.373, 1.807 sec/game, 0.8 min. total, 464.2 MB
keenness_detonator v2 39 games, 27497 moves, e=0.973, loss: 10.4, +, 58.4% elo% vs. guard_bot, avg. reward: -8.346, 1.823 sec/game, 0.8 min. total, 464.4 MB
keenness_detonator v2 40 games, 28244 moves, e=0.972, loss: 10.8, ., 58.0% elo% vs. guard_bot, avg. reward: -8.321, 1.824 sec/game, 0.8 min. total, 466.3 MB
keenness_detonator v2 41 games, 29021 moves, e=0.971, loss: 12.1, +, 59.9% elo% vs. guard_bot, avg. reward: -8.294, 1.825 sec/game, 0.9 min. total, 465.9 MB
keenness_detonator v2 42 games, 29659 moves, e=0.971, loss: 12.5, +, 61.7% elo% vs. guard_bot, avg. reward: -8.323, 1.795 sec/game, 0.9 min. total, 466.2 MB
keenness_detonator v2 43 games, 30303 moves, e=0.970, loss: 12.6, +, 63.3% elo% vs. guard_bot, avg. reward: -8.345, 1.774 sec/game, 0.9 min. total, 464.4 MB
keenness_detonator v2 44 games, 30976 moves, e=0.969, loss: 12.7, +, 64.9% elo% vs. guard_bot, avg. reward: -8.343, 1.777 sec/game, 0.9 min. total, 464.7 MB
keenness_detonator v2 45 games, 31602 moves, e=0.969, loss: 12.1, +, 66.3% elo% vs. guard_bot, avg. reward: -8.365, 1.766 sec/game, 1.0 min. total, 467.2 MB
keenness_detonator v2 46 games, 32431 moves, e=0.968, loss: 13.2, ., 65.7% elo% vs. guard_bot, avg. reward: -8.322, 1.790 sec/game, 1.0 min. total, 468.6 MB
keenness_detonator v2 47 games, 33168 moves, e=0.967, loss: 13.4, +, 67.1% elo% vs. guard_bot, avg. reward: -8.308, 1.779 sec/game, 1.0 min. total, 469.6 MB
keenness_detonator v2 48 games, 33950 moves, e=0.966, loss: 14.3, +, 68.4% elo% vs. guard_bot, avg. reward: -8.286, 1.798 sec/game, 1.1 min. total, 470.6 MB
keenness_detonator v2 49 games, 34725 moves, e=0.966, loss: 14.1, +, 69.6% elo% vs. guard_bot, avg. reward: -8.258, 1.779 sec/game, 1.1 min. total, 472.1 MB
keenness_detonator v2 50 games, 35580 moves, e=0.965, loss: 13.9, +, 70.8% elo% vs. guard_bot, avg. reward: -8.215, 1.792 sec/game, 1.1 min. total, 472.0 MB
keenness_detonator v2 51 games, 36253 moves, e=0.964, loss: 14.6, +, 71.9% elo% vs. guard_bot, avg. reward: -8.227, 1.804 sec/game, 1.2 min. total, 472.1 MB
keenness_detonator v2 52 games, 37037 moves, e=0.963, loss: 14.7, +, 72.9% elo% vs. guard_bot, avg. reward: -8.201, 1.810 sec/game, 1.2 min. total, 468.9 MB
keenness_detonator v2 53 games, 37768 moves, e=0.963, loss: 14.4, +, 73.9% elo% vs. guard_bot, avg. reward: -8.193, 1.821 sec/game, 1.2 min. total, 471.0 MB
keenness_detonator v2 54 games, 38448 moves, e=0.962, loss: 13.9, +, 74.8% elo% vs. guard_bot, avg. reward: -8.205, 1.812 sec/game, 1.3 min. total, 472.1 MB
keenness_detonator v2 55 games, 39186 moves, e=0.961, loss: 13.7, +, 75.7% elo% vs. guard_bot, avg. reward: -8.190, 1.809 sec/game, 1.3 min. total, 472.3 MB
keenness_detonator v2 56 games, 39938 moves, e=0.960, loss: 13.6, +, 76.5% elo% vs. guard_bot, avg. reward: -8.178, 1.811 sec/game, 1.3 min. total, 472.3 MB
keenness_detonator v2 57 games, 40672 moves, e=0.960, loss: 13.5, +, 77.3% elo% vs. guard_bot, avg. reward: -8.170, 1.803 sec/game, 1.4 min. total, 469.9 MB
keenness_detonator v2 58 games, 41310 moves, e=0.959, loss: 13.3, +, 78.0% elo% vs. guard_bot, avg. reward: -8.193, 1.807 sec/game, 1.4 min. total, 473.8 MB
keenness_detonator v2 59 games, 42084 moves, e=0.958, loss: 12.5, +, 78.7% elo% vs. guard_bot, avg. reward: -8.181, 1.811 sec/game, 1.4 min. total, 471.7 MB
keenness_detonator v2 60 games, 42795 moves, e=0.958, loss: 13.0, +, 79.3% elo% vs. guard_bot, avg. reward: -8.184, 1.811 sec/game, 1.4 min. total, 475.0 MB
keenness_detonator v2 61 games, 43493 moves, e=0.957, loss: 13.3, +, 80.0% elo% vs. guard_bot, avg. reward: -8.189, 1.820 sec/game, 1.5 min. total, 473.9 MB
keenness_detonator v2 62 games, 44136 moves, e=0.956, loss: 13.3, +, 80.5% elo% vs. guard_bot, avg. reward: -8.211, 1.826 sec/game, 1.5 min. total, 476.4 MB
keenness_detonator v3 63 games, 44828 moves, e=0.956, loss: 13.2, -, 49.9% elo% vs. random_no_suicide, avg. reward: -8.223, 1.843 sec/game, 1.5 min. total, 477.9 MB
keenness_detonator v3 64 games, 45608 moves, e=0.955, loss: 14.4, +, 52.2% elo% vs. random_no_suicide, avg. reward: -8.201, 1.849 sec/game, 1.6 min. total, 474.4 MB
keenness_detonator v3 65 games, 46422 moves, e=0.954, loss: 14.6, -, 49.8% elo% vs. random_no_suicide, avg. reward: -8.176, 1.874 sec/game, 1.6 min. total, 476.6 MB
keenness_detonator v3 66 games, 47174 moves, e=0.953, loss: 16.5, +, 52.1% elo% vs. random_no_suicide, avg. reward: -8.167, 1.857 sec/game, 1.6 min. total, 475.8 MB
keenness_detonator v3 67 games, 47948 moves, e=0.953, loss: 15.2, -, 49.7% elo% vs. random_no_suicide, avg. reward: -8.155, 1.851 sec/game, 1.7 min. total, 477.8 MB
keenness_detonator v3 68 games, 48695 moves, e=0.952, loss: 16.3, -, 47.4% elo% vs. random_no_suicide, avg. reward: -8.146, 1.834 sec/game, 1.7 min. total, 477.8 MB
keenness_detonator v3 69 games, 49429 moves, e=0.951, loss: 15.4, -, 45.3% elo% vs. random_no_suicide, avg. reward: -8.143, 1.834 sec/game, 1.7 min. total, 477.9 MB
keenness_detonator v3 70 games, 50218 moves, e=0.950, loss: 14.9, -, 43.2% elo% vs. random_no_suicide, avg. reward: -8.119, 1.831 sec/game, 1.8 min. total, 479.3 MB
keenness_detonator v3 71 games, 50858 moves, e=0.950, loss: 13.7, -, 41.3% elo% vs. random_no_suicide, avg. reward: -8.129, 1.807 sec/game, 1.8 min. total, 481.6 MB
keenness_detonator v3 72 games, 51592 moves, e=0.949, loss: 14.1, -, 39.4% elo% vs. random_no_suicide, avg. reward: -8.128, 1.792 sec/game, 1.8 min. total, 479.8 MB
keenness_detonator v3 73 games, 52286 moves, e=0.948, loss: 13.9, +, 42.1% elo% vs. random_no_suicide, avg. reward: -8.133, 1.778 sec/game, 1.8 min. total, 480.0 MB
keenness_detonator v3 74 games, 52952 moves, e=0.948, loss: 14.4, -, 40.2% elo% vs. random_no_suicide, avg. reward: -8.146, 1.780 sec/game, 1.9 min. total, 483.7 MB
keenness_detonator v3 75 games, 53691 moves, e=0.947, loss: 15.3, -, 38.5% elo% vs. random_no_suicide, avg. reward: -8.142, 1.780 sec/game, 1.9 min. total, 480.0 MB
keenness_detonator v3 76 games, 54415 moves, e=0.946, loss: 14.7, -, 36.8% elo% vs. random_no_suicide, avg. reward: -8.132, 1.787 sec/game, 1.9 min. total, 483.3 MB
keenness_detonator v3 77 games, 55081 moves, e=0.945, loss: 14.8, -, 35.2% elo% vs. random_no_suicide, avg. reward: -8.144, 1.789 sec/game, 2.0 min. total, 479.9 MB
keenness_detonator v3 78 games, 55746 moves, e=0.945, loss: 15.3, +, 38.0% elo% vs. random_no_suicide, avg. reward: -8.157, 1.788 sec/game, 2.0 min. total, 481.6 MB
keenness_detonator v3 79 games, 56578 moves, e=0.944, loss: 15.5, -, 36.4% elo% vs. random_no_suicide, avg. reward: -8.131, 1.800 sec/game, 2.0 min. total, 485.7 MB
keenness_detonator v3 80 games, 57368 moves, e=0.943, loss: 16.0, -, 34.8% elo% vs. random_no_suicide, avg. reward: -8.116, 1.808 sec/game, 2.0 min. total, 482.3 MB
keenness_detonator v3 81 games, 58207 moves, e=0.942, loss: 17.3, -, 33.4% elo% vs. random_no_suicide, avg. reward: -8.098, 1.805 sec/game, 2.1 min. total, 482.4 MB
keenness_detonator v3 82 games, 58798 moves, e=0.942, loss: 17.0, -, 32.0% elo% vs. random_no_suicide, avg. reward: -8.126, 1.813 sec/game, 2.1 min. total, 484.2 MB
keenness_detonator v3 83 games, 59536 moves, e=0.941, loss: 16.7, -, 30.8% elo% vs. random_no_suicide, avg. reward: -8.119, 1.817 sec/game, 2.1 min. total, 482.5 MB
keenness_detonator v3 84 games, 60245 moves, e=0.940, loss: 16.2, -, 29.6% elo% vs. random_no_suicide, avg. reward: -8.122, 1.800 sec/game, 2.2 min. total, 482.4 MB
keenness_detonator v3 85 games, 60906 moves, e=0.940, loss: 16.7, ., 30.4% elo% vs. random_no_suicide, avg. reward: -8.135, 1.785 sec/game, 2.2 min. total, 482.4 MB
keenness_detonator v3 86 games, 61683 moves, e=0.939, loss: 17.6, -, 29.2% elo% vs. random_no_suicide, avg. reward: -8.125, 1.784 sec/game, 2.2 min. total, 482.2 MB
keenness_detonator v3 87 games, 62422 moves, e=0.938, loss: 18.0, -, 28.1% elo% vs. random_no_suicide, avg. reward: -8.120, 1.786 sec/game, 2.3 min. total, 485.8 MB
keenness_detonator v3 88 games, 63087 moves, e=0.938, loss: 18.0, +, 30.9% elo% vs. random_no_suicide, avg. reward: -8.126, 1.776 sec/game, 2.3 min. total, 482.4 MB
keenness_detonator v3 89 games, 63716 moves, e=0.937, loss: 17.6, +, 33.6% elo% vs. random_no_suicide, avg. reward: -8.142, 1.760 sec/game, 2.3 min. total, 482.3 MB
keenness_detonator v3 90 games, 64490 moves, e=0.936, loss: 18.1, +, 36.4% elo% vs. random_no_suicide, avg. reward: -8.128, 1.759 sec/game, 2.3 min. total, 482.3 MB
keenness_detonator v3 91 games, 65236 moves, e=0.935, loss: 18.3, -, 34.9% elo% vs. random_no_suicide, avg. reward: -8.118, 1.776 sec/game, 2.4 min. total, 482.3 MB
keenness_detonator v3 92 games, 65952 moves, e=0.935, loss: 17.4, -, 33.4% elo% vs. random_no_suicide, avg. reward: -8.121, 1.780 sec/game, 2.4 min. total, 486.4 MB
keenness_detonator v3 93 games, 66673 moves, e=0.934, loss: 16.7, -, 32.1% elo% vs. random_no_suicide, avg. reward: -8.124, 1.783 sec/game, 2.4 min. total, 485.8 MB
keenness_detonator v3 94 games, 67352 moves, e=0.933, loss: 17.5, -, 30.8% elo% vs. random_no_suicide, avg. reward: -8.134, 1.795 sec/game, 2.5 min. total, 484.5 MB
keenness_detonator v3 95 games, 68060 moves, e=0.933, loss: 17.9, -, 29.6% elo% vs. random_no_suicide, avg. reward: -8.132, 1.784 sec/game, 2.5 min. total, 486.4 MB
keenness_detonator v3 96 games, 68774 moves, e=0.932, loss: 17.5, -, 28.5% elo% vs. random_no_suicide, avg. reward: -8.128, 1.777 sec/game, 2.5 min. total, 482.6 MB
keenness_detonator v3 97 games, 69464 moves, e=0.931, loss: 16.8, -, 27.4% elo% vs. random_no_suicide, avg. reward: -8.129, 1.775 sec/game, 2.5 min. total, 483.4 MB
keenness_detonator v3 98 games, 70312 moves, e=0.930, loss: 16.9, -, 26.4% elo% vs. random_no_suicide, avg. reward: -8.110, 1.805 sec/game, 2.6 min. total, 486.6 MB
keenness_detonator v3 99 games, 71125 moves, e=0.930, loss: 16.2, -, 25.5% elo% vs. random_no_suicide, avg. reward: -8.095, 1.799 sec/game, 2.6 min. total, 486.8 MB
keenness_detonator v3 100 games, 71878 moves, e=0.929, loss: 16.4, -, 24.6% elo% vs. random_no_suicide, avg. reward: -8.089, 1.794 sec/game, 2.6 min. total, 487.9 MB
