kerosene_tinderbox v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 311.8 MB
kerosene_tinderbox v1 1 games, 616 moves, e=0.999, loss: nan, -, 47.7% elo% vs. v0, avg. reward: 2.140, 0.198 sec/game, 0.0 min. total, 315.4 MB
kerosene_tinderbox v1 2 games, 1412 moves, e=0.999, loss: nan, +, 50.1% elo% vs. v0, avg. reward: 6.506, 0.226 sec/game, 0.0 min. total, 319.9 MB
kerosene_tinderbox v1 3 games, 1990 moves, e=0.998, loss: nan, -, 47.8% elo% vs. v0, avg. reward: 5.563, 0.220 sec/game, 0.0 min. total, 323.0 MB
kerosene_tinderbox v1 4 games, 2795 moves, e=0.997, loss: nan, -, 45.6% elo% vs. v0, avg. reward: 6.099, 0.230 sec/game, 0.0 min. total, 326.4 MB
kerosene_tinderbox v1 5 games, 3441 moves, e=0.997, loss: nan, -, 43.5% elo% vs. v0, avg. reward: 6.591, 0.219 sec/game, 0.0 min. total, 329.7 MB
kerosene_tinderbox v1 6 games, 4228 moves, e=0.996, loss: nan, +, 46.1% elo% vs. v0, avg. reward: 6.472, 0.220 sec/game, 0.0 min. total, 332.9 MB
kerosene_tinderbox v1 7 games, 4909 moves, e=0.995, loss: nan, -, 44.0% elo% vs. v0, avg. reward: 6.693, 0.217 sec/game, 0.0 min. total, 336.3 MB
kerosene_tinderbox v1 8 games, 5636 moves, e=0.994, loss: nan, +, 46.6% elo% vs. v0, avg. reward: 6.496, 0.216 sec/game, 0.0 min. total, 339.4 MB
kerosene_tinderbox v1 9 games, 6407 moves, e=0.994, loss: nan, -, 44.4% elo% vs. v0, avg. reward: 7.187, 0.217 sec/game, 0.0 min. total, 343.3 MB
kerosene_tinderbox v1 10 games, 7135 moves, e=0.993, loss: nan, +, 47.0% elo% vs. v0, avg. reward: 7.040, 0.216 sec/game, 0.0 min. total, 346.7 MB
kerosene_tinderbox v1 11 games, 7898 moves, e=0.992, loss: nan, -, 44.8% elo% vs. v0, avg. reward: 6.900, 0.215 sec/game, 0.0 min. total, 350.5 MB
kerosene_tinderbox v1 12 games, 8667 moves, e=0.991, loss: nan, +, 47.3% elo% vs. v0, avg. reward: 6.899, 0.216 sec/game, 0.0 min. total, 353.8 MB
