lanky_repaying v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.2 MB
lanky_repaying v1 1 games, 648 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 1611.440, 0.290 sec/game, 0.0 min. total, 312.8 MB
lanky_repaying v1 2 games, 1289 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: 1121.445, 0.281 sec/game, 0.0 min. total, 312.5 MB
lanky_repaying v1 3 games, 2034 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: 1122.175, 0.291 sec/game, 0.0 min. total, 314.9 MB
lanky_repaying v1 4 games, 2617 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: 1170.640, 0.282 sec/game, 0.0 min. total, 316.5 MB
lanky_repaying v1 5 games, 3265 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: 1341.326, 0.280 sec/game, 0.0 min. total, 318.8 MB
lanky_repaying v1 6 games, 3901 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: 1199.238, 0.278 sec/game, 0.0 min. total, 321.0 MB
lanky_repaying v1 7 games, 4523 moves, e=0.996, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: 1355.202, 0.275 sec/game, 0.0 min. total, 323.7 MB
lanky_repaying v1 8 games, 5247 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: 1279.649, 0.278 sec/game, 0.0 min. total, 325.6 MB
lanky_repaying v1 9 games, 6021 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: 1235.713, 0.281 sec/game, 0.0 min. total, 328.5 MB
lanky_repaying v1 10 games, 6643 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: 1226.005, 0.280 sec/game, 0.0 min. total, 330.6 MB
lanky_repaying v1 11 games, 7288 moves, e=0.993, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: 1209.785, 0.279 sec/game, 0.1 min. total, 332.9 MB
lanky_repaying v1 12 games, 7918 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: 1163.516, 0.278 sec/game, 0.1 min. total, 335.0 MB
lanky_repaying v2 13 games, 8620 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: 1182.461, 0.277 sec/game, 0.1 min. total, 398.3 MB
lanky_repaying v2 14 games, 9301 moves, e=0.991, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: 1207.907, 0.277 sec/game, 0.1 min. total, 400.4 MB
lanky_repaying v2 15 games, 10019 moves, e=0.990, loss: nan, +, 58.5% elo% vs. guard_bot, avg. reward: 1408.365, 0.278 sec/game, 0.1 min. total, 401.9 MB
lanky_repaying v2 16 games, 10749 moves, e=0.989, loss: 6504583.7, +, 60.4% elo% vs. guard_bot, avg. reward: 1368.028, 0.358 sec/game, 0.1 min. total, 417.4 MB
lanky_repaying v2 17 games, 11438 moves, e=0.989, loss: 6782773.4, +, 62.1% elo% vs. guard_bot, avg. reward: 1369.001, 0.412 sec/game, 0.1 min. total, 418.3 MB
lanky_repaying v2 18 games, 12236 moves, e=0.988, loss: 6945443.9, +, 63.7% elo% vs. guard_bot, avg. reward: 1395.234, 0.464 sec/game, 0.1 min. total, 418.5 MB
lanky_repaying v2 19 games, 12892 moves, e=0.987, loss: 7126655.1, ., 63.1% elo% vs. guard_bot, avg. reward: 1385.898, 0.499 sec/game, 0.2 min. total, 418.6 MB
lanky_repaying v2 20 games, 13612 moves, e=0.987, loss: 7284302.8, +, 64.7% elo% vs. guard_bot, avg. reward: 1343.364, 0.540 sec/game, 0.2 min. total, 419.1 MB
lanky_repaying v2 21 games, 14349 moves, e=0.986, loss: 7174545.0, +, 66.2% elo% vs. guard_bot, avg. reward: 1341.975, 0.593 sec/game, 0.2 min. total, 419.2 MB
lanky_repaying v2 22 games, 14935 moves, e=0.985, loss: 7290643.2, +, 67.5% elo% vs. guard_bot, avg. reward: 1365.178, 0.626 sec/game, 0.2 min. total, 419.0 MB
lanky_repaying v2 23 games, 15583 moves, e=0.985, loss: 7349650.9, +, 68.8% elo% vs. guard_bot, avg. reward: 1332.100, 0.668 sec/game, 0.2 min. total, 419.6 MB
lanky_repaying v2 24 games, 16360 moves, e=0.984, loss: 7529526.1, +, 70.1% elo% vs. guard_bot, avg. reward: 1313.661, 0.723 sec/game, 0.3 min. total, 420.1 MB
lanky_repaying v3 25 games, 17054 moves, e=0.983, loss: 7574958.4, -, 49.9% elo% vs. random_no_suicide, avg. reward: 1313.893, 0.775 sec/game, 0.3 min. total, 424.9 MB
lanky_repaying v3 26 games, 17765 moves, e=0.982, loss: 7631829.8, -, 47.6% elo% vs. random_no_suicide, avg. reward: 1316.471, 0.825 sec/game, 0.3 min. total, 427.4 MB
