limpness_gamma v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.5 MB
limpness_gamma v1 1 games, 602 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -0.032, 0.280 sec/game, 0.0 min. total, 313.1 MB
limpness_gamma v1 2 games, 1320 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -0.059, 0.300 sec/game, 0.0 min. total, 314.9 MB
limpness_gamma v1 3 games, 1937 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -0.046, 0.292 sec/game, 0.0 min. total, 315.7 MB
limpness_gamma v1 4 games, 2643 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -0.052, 0.296 sec/game, 0.0 min. total, 317.0 MB
limpness_gamma v1 5 games, 3372 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -0.045, 0.298 sec/game, 0.0 min. total, 319.8 MB
limpness_gamma v1 6 games, 4009 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -0.040, 0.292 sec/game, 0.0 min. total, 321.8 MB
limpness_gamma v1 7 games, 4666 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -0.042, 0.290 sec/game, 0.0 min. total, 323.8 MB
limpness_gamma v1 8 games, 5409 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -0.039, 0.299 sec/game, 0.0 min. total, 325.9 MB
limpness_gamma v1 9 games, 6272 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -0.054, 0.308 sec/game, 0.0 min. total, 328.0 MB
limpness_gamma v1 10 games, 6970 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -0.052, 0.307 sec/game, 0.1 min. total, 330.8 MB
limpness_gamma v1 11 games, 7708 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -0.051, 0.312 sec/game, 0.1 min. total, 332.9 MB
limpness_gamma v1 12 games, 8417 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -0.048, 0.311 sec/game, 0.1 min. total, 335.8 MB
limpness_gamma v2 13 games, 9175 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: -0.051, 0.313 sec/game, 0.1 min. total, 399.6 MB
limpness_gamma v2 14 games, 9877 moves, e=0.990, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: -0.048, 0.312 sec/game, 0.1 min. total, 401.2 MB
limpness_gamma v2 15 games, 10556 moves, e=0.990, loss: 0.2, +, 58.5% elo% vs. guard_bot, avg. reward: -0.044, 0.390 sec/game, 0.1 min. total, 416.5 MB
limpness_gamma v2 16 games, 11322 moves, e=0.989, loss: 0.2, +, 60.4% elo% vs. guard_bot, avg. reward: -0.046, 0.455 sec/game, 0.1 min. total, 417.6 MB
limpness_gamma v2 17 games, 11833 moves, e=0.988, loss: 0.2, +, 62.1% elo% vs. guard_bot, avg. reward: -0.042, 0.490 sec/game, 0.1 min. total, 418.2 MB
limpness_gamma v2 18 games, 12517 moves, e=0.988, loss: 0.2, +, 63.7% elo% vs. guard_bot, avg. reward: -0.044, 0.531 sec/game, 0.2 min. total, 417.8 MB
limpness_gamma v2 19 games, 13241 moves, e=0.987, loss: 0.2, ., 63.1% elo% vs. guard_bot, avg. reward: -0.044, 0.578 sec/game, 0.2 min. total, 418.4 MB
limpness_gamma v2 20 games, 13985 moves, e=0.986, loss: 0.2, ., 62.6% elo% vs. guard_bot, avg. reward: -0.045, 0.621 sec/game, 0.2 min. total, 418.7 MB
limpness_gamma v2 21 games, 14688 moves, e=0.985, loss: 0.2, +, 64.2% elo% vs. guard_bot, avg. reward: -0.044, 0.669 sec/game, 0.2 min. total, 418.9 MB
limpness_gamma v2 22 games, 15392 moves, e=0.985, loss: 0.2, +, 65.7% elo% vs. guard_bot, avg. reward: -0.045, 0.725 sec/game, 0.3 min. total, 419.2 MB
limpness_gamma v2 23 games, 16122 moves, e=0.984, loss: 0.2, +, 67.1% elo% vs. guard_bot, avg. reward: -0.044, 0.774 sec/game, 0.3 min. total, 418.9 MB
limpness_gamma v2 24 games, 16935 moves, e=0.983, loss: 0.2, +, 68.4% elo% vs. guard_bot, avg. reward: -0.045, 0.847 sec/game, 0.3 min. total, 420.1 MB
limpness_gamma v2 25 games, 17643 moves, e=0.983, loss: 0.2, ., 67.7% elo% vs. guard_bot, avg. reward: -0.045, 0.895 sec/game, 0.3 min. total, 421.1 MB
limpness_gamma v2 26 games, 18412 moves, e=0.982, loss: 0.2, ., 67.0% elo% vs. guard_bot, avg. reward: -0.045, 0.956 sec/game, 0.3 min. total, 422.4 MB
limpness_gamma v2 27 games, 19087 moves, e=0.981, loss: 0.2, ., 66.3% elo% vs. guard_bot, avg. reward: -0.045, 1.013 sec/game, 0.4 min. total, 425.3 MB
limpness_gamma v2 28 games, 19845 moves, e=0.980, loss: 0.2, +, 67.6% elo% vs. guard_bot, avg. reward: -0.046, 1.073 sec/game, 0.4 min. total, 427.4 MB
limpness_gamma v2 29 games, 20659 moves, e=0.980, loss: 0.2, +, 68.9% elo% vs. guard_bot, avg. reward: -0.045, 1.137 sec/game, 0.4 min. total, 427.6 MB
limpness_gamma v2 30 games, 21445 moves, e=0.979, loss: 0.2, +, 70.1% elo% vs. guard_bot, avg. reward: -0.047, 1.196 sec/game, 0.5 min. total, 427.7 MB
limpness_gamma v3 31 games, 22295 moves, e=0.978, loss: 0.2, -, 49.9% elo% vs. random_no_suicide, avg. reward: -0.050, 1.255 sec/game, 0.5 min. total, 427.9 MB
limpness_gamma v3 32 games, 22962 moves, e=0.977, loss: 0.2, -, 47.6% elo% vs. random_no_suicide, avg. reward: -0.049, 1.296 sec/game, 0.5 min. total, 427.5 MB
limpness_gamma v3 33 games, 23597 moves, e=0.977, loss: 0.2, -, 45.4% elo% vs. random_no_suicide, avg. reward: -0.050, 1.334 sec/game, 0.5 min. total, 427.7 MB
limpness_gamma v3 34 games, 24409 moves, e=0.976, loss: 0.2, -, 43.4% elo% vs. random_no_suicide, avg. reward: -0.052, 1.386 sec/game, 0.5 min. total, 427.8 MB
limpness_gamma v3 35 games, 25065 moves, e=0.975, loss: 0.2, -, 41.4% elo% vs. random_no_suicide, avg. reward: -0.054, 1.369 sec/game, 0.6 min. total, 428.4 MB
limpness_gamma v3 36 games, 25769 moves, e=0.974, loss: 0.2, -, 39.6% elo% vs. random_no_suicide, avg. reward: -0.053, 1.364 sec/game, 0.6 min. total, 429.9 MB
limpness_gamma v3 37 games, 26525 moves, e=0.974, loss: 0.2, -, 37.8% elo% vs. random_no_suicide, avg. reward: -0.052, 1.377 sec/game, 0.6 min. total, 432.2 MB
limpness_gamma v3 38 games, 27099 moves, e=0.973, loss: 0.2, -, 36.2% elo% vs. random_no_suicide, avg. reward: -0.049, 1.361 sec/game, 0.6 min. total, 433.4 MB
limpness_gamma v3 39 games, 27841 moves, e=0.972, loss: 0.2, -, 34.7% elo% vs. random_no_suicide, avg. reward: -0.050, 1.363 sec/game, 0.6 min. total, 434.5 MB
limpness_gamma v3 40 games, 28557 moves, e=0.972, loss: 0.2, -, 33.3% elo% vs. random_no_suicide, avg. reward: -0.049, 1.356 sec/game, 0.7 min. total, 434.1 MB
limpness_gamma v3 41 games, 29249 moves, e=0.971, loss: 0.2, -, 31.9% elo% vs. random_no_suicide, avg. reward: -0.050, 1.355 sec/game, 0.7 min. total, 434.2 MB
limpness_gamma v3 42 games, 30049 moves, e=0.970, loss: 0.2, -, 30.6% elo% vs. random_no_suicide, avg. reward: -0.051, 1.350 sec/game, 0.7 min. total, 434.7 MB
limpness_gamma v3 43 games, 30696 moves, e=0.970, loss: 0.2, -, 29.5% elo% vs. random_no_suicide, avg. reward: -0.051, 1.344 sec/game, 0.7 min. total, 434.4 MB
limpness_gamma v3 44 games, 31424 moves, e=0.969, loss: 0.2, -, 28.3% elo% vs. random_no_suicide, avg. reward: -0.053, 1.323 sec/game, 0.7 min. total, 435.0 MB
limpness_gamma v3 45 games, 32235 moves, e=0.968, loss: 0.2, -, 27.3% elo% vs. random_no_suicide, avg. reward: -0.052, 1.328 sec/game, 0.8 min. total, 435.0 MB
limpness_gamma v3 46 games, 33068 moves, e=0.967, loss: 0.2, -, 26.3% elo% vs. random_no_suicide, avg. reward: -0.052, 1.340 sec/game, 0.8 min. total, 435.3 MB
limpness_gamma v3 47 games, 33756 moves, e=0.967, loss: 0.2, -, 25.4% elo% vs. random_no_suicide, avg. reward: -0.051, 1.327 sec/game, 0.8 min. total, 435.7 MB
limpness_gamma v3 48 games, 34514 moves, e=0.966, loss: 0.2, -, 24.5% elo% vs. random_no_suicide, avg. reward: -0.051, 1.317 sec/game, 0.8 min. total, 437.6 MB
