magnetize_flanked v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.4 MB
magnetize_flanked v1 1 games, 623 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -9.921, 0.229 sec/game, 0.0 min. total, 311.5 MB
magnetize_flanked v1 2 games, 1299 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -9.410, 0.217 sec/game, 0.0 min. total, 314.7 MB
magnetize_flanked v1 3 games, 2026 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -9.096, 0.222 sec/game, 0.0 min. total, 317.4 MB
magnetize_flanked v1 4 games, 2688 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -8.986, 0.219 sec/game, 0.0 min. total, 321.2 MB
magnetize_flanked v1 5 games, 3394 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -8.878, 0.218 sec/game, 0.0 min. total, 323.9 MB
magnetize_flanked v1 6 games, 4182 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -8.692, 0.221 sec/game, 0.0 min. total, 327.3 MB
magnetize_flanked v1 7 games, 4939 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -8.566, 0.224 sec/game, 0.0 min. total, 330.5 MB
magnetize_flanked v1 8 games, 5618 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -8.586, 0.227 sec/game, 0.0 min. total, 334.5 MB
magnetize_flanked v1 9 games, 6423 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -8.471, 0.232 sec/game, 0.0 min. total, 338.2 MB
magnetize_flanked v1 10 games, 7171 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -8.447, 0.232 sec/game, 0.0 min. total, 341.3 MB
magnetize_flanked v1 11 games, 7822 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -8.486, 0.230 sec/game, 0.0 min. total, 343.4 MB
magnetize_flanked v1 12 games, 8470 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -8.560, 0.228 sec/game, 0.0 min. total, 346.9 MB
magnetize_flanked v2 13 games, 9260 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: -8.485, 0.226 sec/game, 0.0 min. total, 413.7 MB
magnetize_flanked v2 14 games, 9948 moves, e=0.990, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: -8.492, 0.224 sec/game, 0.1 min. total, 416.1 MB
