majestic_scorch v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 306.4 MB
majestic_scorch v1 1 games, 646 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 0.054, 0.199 sec/game, 0.0 min. total, 312.5 MB
majestic_scorch v1 2 games, 1241 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: 0.073, 0.188 sec/game, 0.0 min. total, 315.1 MB
majestic_scorch v1 3 games, 1918 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: 0.063, 0.195 sec/game, 0.0 min. total, 318.1 MB
majestic_scorch v1 4 games, 2563 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: 0.047, 0.195 sec/game, 0.0 min. total, 320.9 MB
majestic_scorch v1 5 games, 3266 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: 0.049, 0.196 sec/game, 0.0 min. total, 324.5 MB
majestic_scorch v1 6 games, 3901 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: 0.046, 0.194 sec/game, 0.0 min. total, 327.6 MB
majestic_scorch v1 7 games, 4718 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: 0.053, 0.200 sec/game, 0.0 min. total, 331.4 MB
majestic_scorch v1 8 games, 5399 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: 0.056, 0.200 sec/game, 0.0 min. total, 334.0 MB
majestic_scorch v1 9 games, 6023 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: 0.050, 0.198 sec/game, 0.0 min. total, 337.2 MB
majestic_scorch v1 10 games, 6750 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: 0.046, 0.200 sec/game, 0.0 min. total, 340.1 MB
majestic_scorch v1 11 games, 7331 moves, e=0.993, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: 0.042, 0.199 sec/game, 0.0 min. total, 343.2 MB
majestic_scorch v1 12 games, 8018 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: 0.041, 0.202 sec/game, 0.0 min. total, 345.4 MB
majestic_scorch v2 13 games, 8655 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: 0.041, 0.203 sec/game, 0.0 min. total, 411.3 MB
majestic_scorch v2 14 games, 9355 moves, e=0.991, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: 0.041, 0.205 sec/game, 0.0 min. total, 414.5 MB
majestic_scorch v2 15 games, 10079 moves, e=0.990, loss: nan, +, 58.5% elo% vs. guard_bot, avg. reward: 0.038, 0.207 sec/game, 0.1 min. total, 418.3 MB
majestic_scorch v2 16 games, 10771 moves, e=0.989, loss: 0.1, +, 60.4% elo% vs. guard_bot, avg. reward: 0.036, 0.323 sec/game, 0.1 min. total, 443.7 MB
majestic_scorch v2 17 games, 11481 moves, e=0.989, loss: 0.1, +, 62.1% elo% vs. guard_bot, avg. reward: 0.039, 0.393 sec/game, 0.1 min. total, 444.4 MB
majestic_scorch v2 18 games, 12111 moves, e=0.988, loss: 0.1, +, 63.7% elo% vs. guard_bot, avg. reward: 0.037, 0.453 sec/game, 0.1 min. total, 444.7 MB
majestic_scorch v2 19 games, 12891 moves, e=0.987, loss: 0.1, ., 63.1% elo% vs. guard_bot, avg. reward: 0.036, 0.521 sec/game, 0.2 min. total, 445.0 MB
majestic_scorch v2 20 games, 13674 moves, e=0.986, loss: 0.0, +, 64.7% elo% vs. guard_bot, avg. reward: 0.037, 0.583 sec/game, 0.2 min. total, 444.9 MB
majestic_scorch v2 21 games, 14374 moves, e=0.986, loss: 0.0, +, 66.2% elo% vs. guard_bot, avg. reward: 0.035, 0.660 sec/game, 0.2 min. total, 445.4 MB
majestic_scorch v2 22 games, 15137 moves, e=0.985, loss: 0.0, +, 67.5% elo% vs. guard_bot, avg. reward: 0.036, 0.730 sec/game, 0.2 min. total, 445.3 MB
majestic_scorch v2 23 games, 15850 moves, e=0.984, loss: 0.0, +, 68.8% elo% vs. guard_bot, avg. reward: 0.034, 0.782 sec/game, 0.3 min. total, 449.5 MB
majestic_scorch v2 24 games, 16541 moves, e=0.984, loss: 0.0, +, 70.1% elo% vs. guard_bot, avg. reward: 0.033, 0.845 sec/game, 0.3 min. total, 450.5 MB
majestic_scorch v3 25 games, 17222 moves, e=0.983, loss: 0.0, -, 49.9% elo% vs. random_no_suicide, avg. reward: 0.032, 0.896 sec/game, 0.3 min. total, 454.1 MB
majestic_scorch v3 26 games, 17898 moves, e=0.982, loss: 0.0, -, 47.6% elo% vs. random_no_suicide, avg. reward: 0.032, 0.948 sec/game, 0.3 min. total, 457.0 MB
majestic_scorch v3 27 games, 18580 moves, e=0.982, loss: 0.0, -, 45.4% elo% vs. random_no_suicide, avg. reward: 0.031, 1.010 sec/game, 0.4 min. total, 459.2 MB
