manhood_java v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.3 MB
manhood_java v1 1 games, 762 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -491.331, 0.332 sec/game, 0.0 min. total, 312.2 MB
manhood_java v1 2 games, 1594 moves, e=0.998, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -491.575, 0.341 sec/game, 0.0 min. total, 314.1 MB
manhood_java v1 3 games, 2268 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -491.472, 0.329 sec/game, 0.0 min. total, 315.7 MB
manhood_java v1 4 games, 2953 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -491.796, 0.324 sec/game, 0.0 min. total, 316.4 MB
manhood_java v1 5 games, 3615 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -491.924, 0.317 sec/game, 0.0 min. total, 318.2 MB
manhood_java v1 6 games, 4396 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -491.979, 0.321 sec/game, 0.0 min. total, 320.1 MB
manhood_java v1 7 games, 5081 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -491.980, 0.318 sec/game, 0.0 min. total, 322.3 MB
manhood_java v1 8 games, 5884 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -492.040, 0.323 sec/game, 0.0 min. total, 324.0 MB
manhood_java v1 9 games, 6563 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -491.995, 0.330 sec/game, 0.0 min. total, 325.2 MB
manhood_java v1 10 games, 7238 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -491.995, 0.329 sec/game, 0.1 min. total, 326.4 MB
manhood_java v1 11 games, 7894 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -491.983, 0.325 sec/game, 0.1 min. total, 327.3 MB
manhood_java v1 12 games, 8758 moves, e=0.991, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -492.008, 0.331 sec/game, 0.1 min. total, 329.9 MB
manhood_java v2 13 games, 9478 moves, e=0.991, loss: nan, ., 52.2% elo% vs. guard_bot, avg. reward: -491.943, 0.331 sec/game, 0.1 min. total, 395.4 MB
manhood_java v2 14 games, 10203 moves, e=0.990, loss: 24093.0, +, 54.4% elo% vs. guard_bot, avg. reward: -491.902, 0.365 sec/game, 0.1 min. total, 411.9 MB
manhood_java v2 15 games, 10833 moves, e=0.989, loss: 23344.2, +, 56.5% elo% vs. guard_bot, avg. reward: -491.864, 0.423 sec/game, 0.1 min. total, 414.6 MB
manhood_java v2 16 games, 11589 moves, e=0.989, loss: 19096.6, ., 56.2% elo% vs. guard_bot, avg. reward: -491.870, 0.493 sec/game, 0.1 min. total, 416.8 MB
manhood_java v2 17 games, 12311 moves, e=0.988, loss: 15267.8, -, 53.6% elo% vs. guard_bot, avg. reward: -491.900, 0.550 sec/game, 0.2 min. total, 419.2 MB
manhood_java v2 18 games, 12980 moves, e=0.987, loss: 13015.4, -, 51.1% elo% vs. guard_bot, avg. reward: -491.900, 0.590 sec/game, 0.2 min. total, 421.1 MB
manhood_java v2 19 games, 13688 moves, e=0.986, loss: 9701.1, -, 48.8% elo% vs. guard_bot, avg. reward: -491.883, 0.632 sec/game, 0.2 min. total, 421.4 MB
manhood_java v2 20 games, 14404 moves, e=0.986, loss: 6249.2, -, 46.5% elo% vs. guard_bot, avg. reward: -491.872, 0.674 sec/game, 0.2 min. total, 421.5 MB
manhood_java v2 21 games, 15008 moves, e=0.985, loss: 4234.8, -, 44.4% elo% vs. guard_bot, avg. reward: -491.866, 0.719 sec/game, 0.2 min. total, 421.1 MB
manhood_java v2 22 games, 15609 moves, e=0.985, loss: 3081.5, -, 42.4% elo% vs. guard_bot, avg. reward: -491.822, 0.759 sec/game, 0.3 min. total, 421.5 MB
manhood_java v2 23 games, 16249 moves, e=0.984, loss: 2103.7, -, 40.5% elo% vs. guard_bot, avg. reward: -491.842, 0.807 sec/game, 0.3 min. total, 421.7 MB
manhood_java v2 24 games, 16857 moves, e=0.983, loss: 1477.3, -, 38.7% elo% vs. guard_bot, avg. reward: -491.815, 0.856 sec/game, 0.3 min. total, 421.7 MB
manhood_java v2 25 games, 17596 moves, e=0.983, loss: 1014.8, -, 37.1% elo% vs. guard_bot, avg. reward: -491.802, 0.918 sec/game, 0.3 min. total, 421.8 MB
manhood_java v2 26 games, 18333 moves, e=0.982, loss: 774.6, -, 35.5% elo% vs. guard_bot, avg. reward: -491.815, 0.985 sec/game, 0.4 min. total, 422.3 MB
manhood_java v2 27 games, 18942 moves, e=0.981, loss: 663.3, -, 34.0% elo% vs. guard_bot, avg. reward: -491.824, 1.023 sec/game, 0.4 min. total, 421.9 MB
manhood_java v2 28 games, 19617 moves, e=0.981, loss: 617.5, -, 32.6% elo% vs. guard_bot, avg. reward: -491.830, 1.078 sec/game, 0.4 min. total, 422.6 MB
manhood_java v2 29 games, 20269 moves, e=0.980, loss: 545.0, -, 31.3% elo% vs. guard_bot, avg. reward: -491.814, 1.122 sec/game, 0.4 min. total, 423.3 MB
manhood_java v2 30 games, 20868 moves, e=0.979, loss: 516.7, -, 30.1% elo% vs. guard_bot, avg. reward: -491.796, 1.168 sec/game, 0.4 min. total, 423.3 MB
manhood_java v2 31 games, 21439 moves, e=0.979, loss: 492.0, -, 28.9% elo% vs. guard_bot, avg. reward: -491.837, 1.209 sec/game, 0.5 min. total, 423.6 MB
manhood_java v2 32 games, 22113 moves, e=0.978, loss: 478.8, -, 27.8% elo% vs. guard_bot, avg. reward: -491.845, 1.251 sec/game, 0.5 min. total, 423.7 MB
manhood_java v2 33 games, 22800 moves, e=0.977, loss: 428.8, -, 26.8% elo% vs. guard_bot, avg. reward: -491.831, 1.308 sec/game, 0.5 min. total, 424.6 MB
manhood_java v2 34 games, 23399 moves, e=0.977, loss: 461.2, -, 25.9% elo% vs. guard_bot, avg. reward: -491.793, 1.323 sec/game, 0.5 min. total, 424.5 MB
manhood_java v2 35 games, 23955 moves, e=0.976, loss: 478.6, -, 25.0% elo% vs. guard_bot, avg. reward: -491.787, 1.324 sec/game, 0.5 min. total, 425.5 MB
manhood_java v2 36 games, 24544 moves, e=0.976, loss: 483.2, -, 24.1% elo% vs. guard_bot, avg. reward: -491.781, 1.300 sec/game, 0.6 min. total, 425.8 MB
manhood_java v2 37 games, 25215 moves, e=0.975, loss: 461.6, -, 23.3% elo% vs. guard_bot, avg. reward: -491.781, 1.291 sec/game, 0.6 min. total, 427.0 MB
manhood_java v2 38 games, 25841 moves, e=0.974, loss: 446.3, -, 22.5% elo% vs. guard_bot, avg. reward: -491.770, 1.291 sec/game, 0.6 min. total, 427.6 MB
manhood_java v2 39 games, 26449 moves, e=0.974, loss: 435.4, -, 21.8% elo% vs. guard_bot, avg. reward: -491.747, 1.290 sec/game, 0.6 min. total, 429.5 MB
manhood_java v2 40 games, 27027 moves, e=0.973, loss: 434.3, -, 21.1% elo% vs. guard_bot, avg. reward: -491.742, 1.285 sec/game, 0.7 min. total, 431.4 MB
manhood_java v2 41 games, 27625 moves, e=0.973, loss: 450.2, -, 20.5% elo% vs. guard_bot, avg. reward: -491.713, 1.280 sec/game, 0.7 min. total, 432.5 MB
manhood_java v2 42 games, 28265 moves, e=0.972, loss: 487.8, -, 19.9% elo% vs. guard_bot, avg. reward: -491.713, 1.297 sec/game, 0.7 min. total, 432.1 MB
manhood_java v2 43 games, 28878 moves, e=0.971, loss: 452.4, -, 19.3% elo% vs. guard_bot, avg. reward: -491.720, 1.299 sec/game, 0.7 min. total, 432.1 MB
manhood_java v2 44 games, 29422 moves, e=0.971, loss: 425.4, -, 18.8% elo% vs. guard_bot, avg. reward: -491.714, 1.290 sec/game, 0.7 min. total, 432.1 MB
manhood_java v2 45 games, 29895 moves, e=0.970, loss: 429.1, -, 18.3% elo% vs. guard_bot, avg. reward: -491.665, 1.265 sec/game, 0.8 min. total, 432.1 MB
manhood_java v2 46 games, 30591 moves, e=0.970, loss: 441.3, -, 17.8% elo% vs. guard_bot, avg. reward: -491.660, 1.248 sec/game, 0.8 min. total, 432.3 MB
manhood_java v2 47 games, 31026 moves, e=0.969, loss: 456.0, -, 17.3% elo% vs. guard_bot, avg. reward: -491.621, 1.245 sec/game, 0.8 min. total, 432.3 MB
manhood_java v2 48 games, 31678 moves, e=0.969, loss: 461.0, -, 16.8% elo% vs. guard_bot, avg. reward: -491.634, 1.236 sec/game, 0.8 min. total, 431.8 MB
manhood_java v2 49 games, 32315 moves, e=0.968, loss: 428.3, -, 16.4% elo% vs. guard_bot, avg. reward: -491.623, 1.237 sec/game, 0.8 min. total, 432.3 MB
manhood_java v2 50 games, 32893 moves, e=0.967, loss: 445.5, -, 16.0% elo% vs. guard_bot, avg. reward: -491.630, 1.228 sec/game, 0.9 min. total, 432.3 MB
manhood_java v2 51 games, 33619 moves, e=0.967, loss: 413.5, -, 15.6% elo% vs. guard_bot, avg. reward: -491.640, 1.249 sec/game, 0.9 min. total, 432.3 MB
manhood_java v2 52 games, 34088 moves, e=0.966, loss: 415.6, -, 15.2% elo% vs. guard_bot, avg. reward: -491.622, 1.238 sec/game, 0.9 min. total, 432.3 MB
manhood_java v2 53 games, 34586 moves, e=0.966, loss: 405.9, -, 14.9% elo% vs. guard_bot, avg. reward: -491.622, 1.219 sec/game, 0.9 min. total, 432.3 MB
manhood_java v2 54 games, 35224 moves, e=0.965, loss: 393.4, -, 14.5% elo% vs. guard_bot, avg. reward: -491.605, 1.235 sec/game, 0.9 min. total, 432.6 MB
manhood_java v2 55 games, 35804 moves, e=0.965, loss: 390.5, -, 14.2% elo% vs. guard_bot, avg. reward: -491.607, 1.238 sec/game, 1.0 min. total, 432.0 MB
manhood_java v2 56 games, 36373 moves, e=0.964, loss: 396.4, -, 13.9% elo% vs. guard_bot, avg. reward: -491.589, 1.253 sec/game, 1.0 min. total, 432.5 MB
manhood_java v2 57 games, 36895 moves, e=0.963, loss: 396.2, -, 13.6% elo% vs. guard_bot, avg. reward: -491.594, 1.246 sec/game, 1.0 min. total, 432.5 MB
manhood_java v2 58 games, 37464 moves, e=0.963, loss: 404.1, -, 13.3% elo% vs. guard_bot, avg. reward: -491.588, 1.237 sec/game, 1.0 min. total, 432.7 MB
manhood_java v2 59 games, 38055 moves, e=0.962, loss: 399.3, -, 13.0% elo% vs. guard_bot, avg. reward: -491.579, 1.231 sec/game, 1.0 min. total, 432.7 MB
manhood_java v2 60 games, 38567 moves, e=0.962, loss: 428.0, -, 12.7% elo% vs. guard_bot, avg. reward: -491.565, 1.219 sec/game, 1.1 min. total, 432.9 MB
manhood_java v2 61 games, 39146 moves, e=0.961, loss: 422.6, -, 12.5% elo% vs. guard_bot, avg. reward: -491.558, 1.220 sec/game, 1.1 min. total, 433.4 MB
manhood_java v2 62 games, 39691 moves, e=0.961, loss: 422.2, -, 12.2% elo% vs. guard_bot, avg. reward: -491.547, 1.214 sec/game, 1.1 min. total, 433.6 MB
manhood_java v2 63 games, 40242 moves, e=0.960, loss: 413.8, -, 12.0% elo% vs. guard_bot, avg. reward: -491.543, 1.204 sec/game, 1.1 min. total, 434.4 MB
manhood_java v2 64 games, 40776 moves, e=0.960, loss: 405.1, -, 11.8% elo% vs. guard_bot, avg. reward: -491.538, 1.204 sec/game, 1.1 min. total, 436.2 MB
manhood_java v2 65 games, 41338 moves, e=0.959, loss: 389.6, -, 11.5% elo% vs. guard_bot, avg. reward: -491.535, 1.216 sec/game, 1.2 min. total, 436.4 MB
manhood_java v2 66 games, 41991 moves, e=0.958, loss: 404.6, -, 11.3% elo% vs. guard_bot, avg. reward: -491.551, 1.226 sec/game, 1.2 min. total, 435.8 MB
manhood_java v2 67 games, 42565 moves, e=0.958, loss: 410.1, -, 11.1% elo% vs. guard_bot, avg. reward: -491.546, 1.232 sec/game, 1.2 min. total, 435.8 MB
manhood_java v2 68 games, 42978 moves, e=0.957, loss: 428.3, -, 10.9% elo% vs. guard_bot, avg. reward: -491.521, 1.210 sec/game, 1.2 min. total, 436.2 MB
manhood_java v2 69 games, 43536 moves, e=0.957, loss: 416.6, -, 10.7% elo% vs. guard_bot, avg. reward: -491.532, 1.211 sec/game, 1.2 min. total, 436.3 MB
manhood_java v2 70 games, 44042 moves, e=0.956, loss: 419.5, -, 10.5% elo% vs. guard_bot, avg. reward: -491.521, 1.209 sec/game, 1.3 min. total, 436.3 MB
manhood_java v2 71 games, 44598 moves, e=0.956, loss: 414.8, -, 10.3% elo% vs. guard_bot, avg. reward: -491.519, 1.189 sec/game, 1.3 min. total, 436.5 MB
manhood_java v2 72 games, 45123 moves, e=0.955, loss: 404.4, -, 10.2% elo% vs. guard_bot, avg. reward: -491.521, 1.193 sec/game, 1.3 min. total, 436.6 MB
manhood_java v2 73 games, 45640 moves, e=0.955, loss: 421.7, -, 10.0% elo% vs. guard_bot, avg. reward: -491.507, 1.196 sec/game, 1.3 min. total, 436.7 MB
manhood_java v2 74 games, 46234 moves, e=0.954, loss: 405.8, -, 9.8% elo% vs. guard_bot, avg. reward: -491.493, 1.194 sec/game, 1.3 min. total, 436.4 MB
manhood_java v2 75 games, 46885 moves, e=0.954, loss: 392.8, -, 9.7% elo% vs. guard_bot, avg. reward: -491.496, 1.198 sec/game, 1.4 min. total, 436.5 MB
manhood_java v2 76 games, 47519 moves, e=0.953, loss: 385.0, -, 9.5% elo% vs. guard_bot, avg. reward: -491.492, 1.195 sec/game, 1.4 min. total, 436.5 MB
manhood_java v2 77 games, 48032 moves, e=0.952, loss: 392.4, -, 9.4% elo% vs. guard_bot, avg. reward: -491.485, 1.193 sec/game, 1.4 min. total, 436.6 MB
manhood_java v2 78 games, 48556 moves, e=0.952, loss: 367.4, -, 9.2% elo% vs. guard_bot, avg. reward: -491.469, 1.191 sec/game, 1.4 min. total, 436.7 MB
manhood_java v2 79 games, 49051 moves, e=0.951, loss: 401.0, -, 9.1% elo% vs. guard_bot, avg. reward: -491.464, 1.187 sec/game, 1.4 min. total, 436.2 MB
manhood_java v2 80 games, 49676 moves, e=0.951, loss: 396.6, -, 9.0% elo% vs. guard_bot, avg. reward: -491.462, 1.212 sec/game, 1.5 min. total, 436.8 MB
