many_mutilated v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.2 MB
many_mutilated v1 1 games, 710 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -9.804, 0.221 sec/game, 0.0 min. total, 314.1 MB
many_mutilated v1 2 games, 1465 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -9.533, 0.211 sec/game, 0.0 min. total, 317.5 MB
many_mutilated v1 3 games, 2267 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -9.271, 0.216 sec/game, 0.0 min. total, 320.7 MB
many_mutilated v1 4 games, 2988 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -9.275, 0.209 sec/game, 0.0 min. total, 323.1 MB
many_mutilated v1 5 games, 3717 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -9.375, 0.207 sec/game, 0.0 min. total, 326.6 MB
many_mutilated v1 6 games, 4399 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -9.522, 0.204 sec/game, 0.0 min. total, 330.2 MB
many_mutilated v1 7 games, 5142 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -9.515, 0.205 sec/game, 0.0 min. total, 333.7 MB
many_mutilated v1 8 games, 5802 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -9.636, 0.204 sec/game, 0.0 min. total, 336.9 MB
many_mutilated v1 9 games, 6548 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -9.589, 0.204 sec/game, 0.0 min. total, 339.8 MB
many_mutilated v1 10 games, 7267 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -9.623, 0.203 sec/game, 0.0 min. total, 342.7 MB
many_mutilated v1 11 games, 7985 moves, e=0.992, loss: nan, ., 67.3% elo% vs. random_bot, avg. reward: -9.641, 0.204 sec/game, 0.0 min. total, 345.4 MB
many_mutilated v1 12 games, 8696 moves, e=0.991, loss: nan, +, 68.6% elo% vs. random_bot, avg. reward: -9.637, 0.204 sec/game, 0.0 min. total, 347.6 MB
many_mutilated v1 13 games, 9305 moves, e=0.991, loss: nan, +, 69.8% elo% vs. random_bot, avg. reward: -9.810, 0.201 sec/game, 0.0 min. total, 350.4 MB
many_mutilated v1 14 games, 9939 moves, e=0.990, loss: nan, +, 71.0% elo% vs. random_bot, avg. reward: -9.917, 0.199 sec/game, 0.0 min. total, 353.9 MB
many_mutilated v2 15 games, 10631 moves, e=0.989, loss: 66.3, ., 52.2% elo% vs. guard_bot, avg. reward: -9.928, 0.278 sec/game, 0.1 min. total, 443.0 MB
many_mutilated v2 16 games, 11393 moves, e=0.989, loss: 45.8, ., 52.1% elo% vs. guard_bot, avg. reward: -9.888, 0.345 sec/game, 0.1 min. total, 445.8 MB
many_mutilated v2 17 games, 12049 moves, e=0.988, loss: 32.7, ., 52.0% elo% vs. guard_bot, avg. reward: -9.927, 0.391 sec/game, 0.1 min. total, 447.7 MB
many_mutilated v2 18 games, 12698 moves, e=0.987, loss: 23.0, ., 51.9% elo% vs. guard_bot, avg. reward: -9.982, 0.437 sec/game, 0.1 min. total, 448.0 MB
many_mutilated v2 19 games, 13367 moves, e=0.987, loss: 17.7, +, 54.1% elo% vs. guard_bot, avg. reward: -10.028, 0.474 sec/game, 0.2 min. total, 448.3 MB
many_mutilated v2 20 games, 14167 moves, e=0.986, loss: 14.9, ., 53.9% elo% vs. guard_bot, avg. reward: -9.958, 0.523 sec/game, 0.2 min. total, 448.0 MB
many_mutilated v2 21 games, 14915 moves, e=0.985, loss: 12.9, ., 53.7% elo% vs. guard_bot, avg. reward: -9.922, 0.581 sec/game, 0.2 min. total, 448.4 MB
many_mutilated v2 22 games, 15606 moves, e=0.985, loss: 11.0, ., 53.6% elo% vs. guard_bot, avg. reward: -9.948, 0.630 sec/game, 0.2 min. total, 448.3 MB
many_mutilated v2 23 games, 16206 moves, e=0.984, loss: 10.5, +, 55.7% elo% vs. guard_bot, avg. reward: -10.029, 0.674 sec/game, 0.2 min. total, 448.5 MB
many_mutilated v2 24 games, 16894 moves, e=0.983, loss: 10.0, +, 57.7% elo% vs. guard_bot, avg. reward: -10.030, 0.725 sec/game, 0.3 min. total, 448.7 MB
many_mutilated v2 25 games, 17570 moves, e=0.983, loss: 9.5, +, 59.6% elo% vs. guard_bot, avg. reward: -10.047, 0.783 sec/game, 0.3 min. total, 448.8 MB
many_mutilated v2 26 games, 18333 moves, e=0.982, loss: 9.1, +, 61.4% elo% vs. guard_bot, avg. reward: -10.006, 0.841 sec/game, 0.3 min. total, 449.1 MB
many_mutilated v2 27 games, 19095 moves, e=0.981, loss: 8.7, +, 63.0% elo% vs. guard_bot, avg. reward: -9.982, 0.899 sec/game, 0.3 min. total, 449.6 MB
many_mutilated v2 28 games, 19916 moves, e=0.980, loss: 8.3, +, 64.6% elo% vs. guard_bot, avg. reward: -9.917, 0.960 sec/game, 0.3 min. total, 450.2 MB
many_mutilated v2 29 games, 20621 moves, e=0.980, loss: 8.1, +, 66.1% elo% vs. guard_bot, avg. reward: -9.914, 1.018 sec/game, 0.4 min. total, 448.8 MB
many_mutilated v2 30 games, 21331 moves, e=0.979, loss: 7.9, +, 67.5% elo% vs. guard_bot, avg. reward: -9.910, 1.066 sec/game, 0.4 min. total, 454.6 MB
many_mutilated v2 31 games, 22014 moves, e=0.978, loss: 8.2, +, 68.8% elo% vs. guard_bot, avg. reward: -9.928, 1.114 sec/game, 0.4 min. total, 457.1 MB
many_mutilated v2 32 games, 22902 moves, e=0.977, loss: 8.7, +, 70.0% elo% vs. guard_bot, avg. reward: -9.861, 1.186 sec/game, 0.4 min. total, 459.4 MB
many_mutilated v2 33 games, 23672 moves, e=0.977, loss: 8.0, +, 71.1% elo% vs. guard_bot, avg. reward: -9.840, 1.253 sec/game, 0.5 min. total, 459.4 MB
many_mutilated v3 34 games, 24368 moves, e=0.976, loss: 8.3, -, 49.9% elo% vs. random_no_suicide, avg. reward: -9.843, 1.311 sec/game, 0.5 min. total, 459.4 MB
many_mutilated v3 35 games, 25134 moves, e=0.975, loss: 7.6, -, 47.6% elo% vs. random_no_suicide, avg. reward: -9.817, 1.311 sec/game, 0.5 min. total, 459.3 MB
many_mutilated v3 36 games, 25896 moves, e=0.974, loss: 8.1, -, 45.4% elo% vs. random_no_suicide, avg. reward: -9.801, 1.312 sec/game, 0.5 min. total, 459.5 MB
many_mutilated v3 37 games, 26531 moves, e=0.974, loss: 8.1, -, 43.4% elo% vs. random_no_suicide, avg. reward: -9.834, 1.314 sec/game, 0.5 min. total, 459.8 MB
many_mutilated v3 38 games, 27207 moves, e=0.973, loss: 8.3, -, 41.4% elo% vs. random_no_suicide, avg. reward: -9.852, 1.311 sec/game, 0.6 min. total, 459.4 MB
many_mutilated v3 39 games, 27834 moves, e=0.972, loss: 7.9, -, 39.6% elo% vs. random_no_suicide, avg. reward: -9.886, 1.313 sec/game, 0.6 min. total, 459.9 MB
many_mutilated v3 40 games, 28442 moves, e=0.972, loss: 7.6, -, 37.8% elo% vs. random_no_suicide, avg. reward: -9.924, 1.297 sec/game, 0.6 min. total, 460.9 MB
many_mutilated v3 41 games, 29260 moves, e=0.971, loss: 7.1, -, 36.2% elo% vs. random_no_suicide, avg. reward: -9.886, 1.298 sec/game, 0.6 min. total, 462.7 MB
many_mutilated v3 42 games, 29986 moves, e=0.970, loss: 7.7, -, 34.7% elo% vs. random_no_suicide, avg. reward: -9.867, 1.306 sec/game, 0.7 min. total, 461.8 MB
many_mutilated v3 43 games, 30690 moves, e=0.970, loss: 8.4, -, 33.3% elo% vs. random_no_suicide, avg. reward: -9.870, 1.310 sec/game, 0.7 min. total, 464.0 MB
many_mutilated v3 44 games, 31424 moves, e=0.969, loss: 7.8, -, 31.9% elo% vs. random_no_suicide, avg. reward: -9.863, 1.317 sec/game, 0.7 min. total, 464.4 MB
many_mutilated v3 45 games, 32075 moves, e=0.968, loss: 7.7, +, 34.7% elo% vs. random_no_suicide, avg. reward: -9.891, 1.309 sec/game, 0.7 min. total, 464.2 MB
many_mutilated v3 46 games, 32826 moves, e=0.968, loss: 6.9, -, 33.3% elo% vs. random_no_suicide, avg. reward: -9.874, 1.311 sec/game, 0.7 min. total, 464.2 MB
many_mutilated v3 47 games, 33615 moves, e=0.967, loss: 6.9, -, 31.9% elo% vs. random_no_suicide, avg. reward: -9.855, 1.312 sec/game, 0.8 min. total, 464.0 MB
many_mutilated v3 48 games, 34356 moves, e=0.966, loss: 7.0, -, 30.6% elo% vs. random_no_suicide, avg. reward: -9.841, 1.311 sec/game, 0.8 min. total, 464.9 MB
many_mutilated v3 49 games, 35046 moves, e=0.965, loss: 6.4, +, 33.4% elo% vs. random_no_suicide, avg. reward: -9.849, 1.301 sec/game, 0.8 min. total, 460.3 MB
many_mutilated v3 50 games, 35701 moves, e=0.965, loss: 6.5, -, 32.1% elo% vs. random_no_suicide, avg. reward: -9.867, 1.302 sec/game, 0.8 min. total, 464.8 MB
many_mutilated v3 51 games, 36416 moves, e=0.964, loss: 6.6, -, 30.8% elo% vs. random_no_suicide, avg. reward: -9.859, 1.313 sec/game, 0.8 min. total, 466.1 MB
many_mutilated v3 52 games, 37205 moves, e=0.963, loss: 7.1, -, 29.6% elo% vs. random_no_suicide, avg. reward: -9.836, 1.300 sec/game, 0.9 min. total, 467.0 MB
many_mutilated v3 53 games, 37874 moves, e=0.963, loss: 7.9, -, 28.5% elo% vs. random_no_suicide, avg. reward: -9.850, 1.283 sec/game, 0.9 min. total, 467.3 MB
many_mutilated v3 54 games, 38628 moves, e=0.962, loss: 7.8, -, 27.4% elo% vs. random_no_suicide, avg. reward: -9.838, 1.287 sec/game, 0.9 min. total, 467.6 MB
many_mutilated v3 55 games, 39283 moves, e=0.961, loss: 8.0, -, 26.4% elo% vs. random_no_suicide, avg. reward: -9.851, 1.277 sec/game, 0.9 min. total, 467.6 MB
