marrow_each v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 319.3 MB
marrow_each v1 1 games, 778 moves, e=0.999, loss: nan, -, 47.7% elo% vs. v0, avg. reward: -8.683, 0.274 sec/game, 0.0 min. total, 324.3 MB
marrow_each v1 2 games, 1461 moves, e=0.999, loss: nan, +, 50.1% elo% vs. v0, avg. reward: -9.554, 0.241 sec/game, 0.0 min. total, 328.1 MB
marrow_each v1 3 games, 2068 moves, e=0.998, loss: nan, -, 47.8% elo% vs. v0, avg. reward: -10.194, 0.223 sec/game, 0.0 min. total, 331.7 MB
marrow_each v1 4 games, 2803 moves, e=0.997, loss: nan, +, 50.2% elo% vs. v0, avg. reward: -10.087, 0.225 sec/game, 0.0 min. total, 336.1 MB
marrow_each v1 5 games, 3617 moves, e=0.996, loss: nan, +, 52.5% elo% vs. v0, avg. reward: -9.721, 0.254 sec/game, 0.0 min. total, 340.8 MB
marrow_each v1 6 games, 4381 moves, e=0.996, loss: nan, ., 52.4% elo% vs. v0, avg. reward: -9.618, 0.252 sec/game, 0.0 min. total, 346.1 MB
marrow_each v1 7 games, 5195 moves, e=0.995, loss: nan, +, 54.6% elo% vs. v0, avg. reward: -9.489, 0.251 sec/game, 0.0 min. total, 350.6 MB
marrow_each v1 8 games, 5854 moves, e=0.994, loss: nan, -, 52.1% elo% vs. v0, avg. reward: -9.620, 0.246 sec/game, 0.0 min. total, 354.6 MB
marrow_each v1 9 games, 6494 moves, e=0.994, loss: nan, ., 52.0% elo% vs. v0, avg. reward: -9.762, 0.242 sec/game, 0.0 min. total, 358.7 MB
marrow_each v1 10 games, 7183 moves, e=0.993, loss: nan, -, 49.6% elo% vs. v0, avg. reward: -9.852, 0.239 sec/game, 0.0 min. total, 362.9 MB
marrow_each v1 11 games, 7910 moves, e=0.992, loss: nan, -, 47.3% elo% vs. v0, avg. reward: -9.790, 0.240 sec/game, 0.0 min. total, 366.7 MB
marrow_each v1 12 games, 8684 moves, e=0.991, loss: nan, +, 49.7% elo% vs. v0, avg. reward: -9.717, 0.242 sec/game, 0.0 min. total, 371.1 MB
marrow_each v1 13 games, 9426 moves, e=0.991, loss: nan, ., 49.7% elo% vs. v0, avg. reward: -9.677, 0.242 sec/game, 0.1 min. total, 374.5 MB
marrow_each v1 14 games, 10123 moves, e=0.990, loss: 62.1, -, 47.4% elo% vs. v0, avg. reward: -9.698, 0.318 sec/game, 0.1 min. total, 404.7 MB
marrow_each v1 15 games, 10840 moves, e=0.989, loss: 50.2, -, 45.3% elo% vs. v0, avg. reward: -9.702, 0.432 sec/game, 0.1 min. total, 404.8 MB
marrow_each v1 16 games, 11565 moves, e=0.989, loss: 32.9, -, 43.2% elo% vs. v0, avg. reward: -9.693, 0.555 sec/game, 0.1 min. total, 405.2 MB
marrow_each v1 17 games, 12212 moves, e=0.988, loss: 22.6, -, 41.3% elo% vs. v0, avg. reward: -9.754, 0.644 sec/game, 0.2 min. total, 405.6 MB
marrow_each v1 18 games, 12934 moves, e=0.987, loss: 15.5, -, 39.4% elo% vs. v0, avg. reward: -9.747, 0.742 sec/game, 0.2 min. total, 405.9 MB
marrow_each v1 19 games, 13603 moves, e=0.987, loss: 12.0, -, 37.7% elo% vs. v0, avg. reward: -9.793, 0.807 sec/game, 0.3 min. total, 406.8 MB
marrow_each v1 20 games, 14206 moves, e=0.986, loss: 10.1, -, 36.1% elo% vs. v0, avg. reward: -9.886, 0.851 sec/game, 0.3 min. total, 407.1 MB
