moocher_shakable v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.0 MB
moocher_shakable v1 1 games, 778 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -9.140, 0.235 sec/game, 0.0 min. total, 317.5 MB
moocher_shakable v1 2 games, 1477 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -9.694, 0.218 sec/game, 0.0 min. total, 320.1 MB
moocher_shakable v1 3 games, 2187 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -9.790, 0.213 sec/game, 0.0 min. total, 323.7 MB
moocher_shakable v1 4 games, 2905 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -9.798, 0.212 sec/game, 0.0 min. total, 327.3 MB
moocher_shakable v1 5 games, 3712 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -9.589, 0.214 sec/game, 0.0 min. total, 330.3 MB
moocher_shakable v1 6 games, 4446 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -9.586, 0.214 sec/game, 0.0 min. total, 333.1 MB
moocher_shakable v1 7 games, 5092 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -9.737, 0.214 sec/game, 0.0 min. total, 336.6 MB
moocher_shakable v1 8 games, 5723 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -9.912, 0.211 sec/game, 0.0 min. total, 339.8 MB
moocher_shakable v1 9 games, 6387 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -9.975, 0.211 sec/game, 0.0 min. total, 342.6 MB
moocher_shakable v1 10 games, 7109 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -9.940, 0.212 sec/game, 0.0 min. total, 346.7 MB
moocher_shakable v1 11 games, 7716 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -10.071, 0.210 sec/game, 0.0 min. total, 350.1 MB
moocher_shakable v1 12 games, 8410 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -10.089, 0.211 sec/game, 0.0 min. total, 353.5 MB
moocher_shakable v2 13 games, 9064 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: -10.167, 0.210 sec/game, 0.0 min. total, 419.8 MB
moocher_shakable v2 14 games, 9762 moves, e=0.990, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: -10.158, 0.209 sec/game, 0.0 min. total, 423.3 MB
moocher_shakable v2 15 games, 10474 moves, e=0.990, loss: 61.7, +, 58.5% elo% vs. guard_bot, avg. reward: -10.132, 0.317 sec/game, 0.1 min. total, 448.5 MB
moocher_shakable v2 16 games, 11195 moves, e=0.989, loss: 42.3, ., 58.1% elo% vs. guard_bot, avg. reward: -10.094, 0.441 sec/game, 0.1 min. total, 452.2 MB
moocher_shakable v2 17 games, 11907 moves, e=0.988, loss: 27.5, +, 60.0% elo% vs. guard_bot, avg. reward: -10.080, 0.540 sec/game, 0.2 min. total, 452.3 MB
moocher_shakable v2 18 games, 12660 moves, e=0.987, loss: 19.6, ., 59.6% elo% vs. guard_bot, avg. reward: -10.049, 0.611 sec/game, 0.2 min. total, 454.4 MB
moocher_shakable v2 19 games, 13310 moves, e=0.987, loss: 14.1, ., 59.1% elo% vs. guard_bot, avg. reward: -10.111, 0.674 sec/game, 0.2 min. total, 454.5 MB
