nemeses_unhappy v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.6 MB
nemeses_unhappy v1 1 games, 660 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -12.250, 0.430 sec/game, 0.0 min. total, 313.0 MB
nemeses_unhappy v1 2 games, 1204 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -13.166, 0.411 sec/game, 0.0 min. total, 315.8 MB
nemeses_unhappy v1 3 games, 1950 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -12.642, 0.429 sec/game, 0.0 min. total, 318.6 MB
nemeses_unhappy v1 4 games, 2647 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -12.523, 0.454 sec/game, 0.0 min. total, 322.2 MB
nemeses_unhappy v1 5 games, 3276 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -12.545, 0.450 sec/game, 0.0 min. total, 325.6 MB
nemeses_unhappy v1 6 games, 3921 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -12.619, 0.447 sec/game, 0.0 min. total, 328.4 MB
nemeses_unhappy v1 7 games, 4732 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -12.226, 0.459 sec/game, 0.1 min. total, 331.5 MB
nemeses_unhappy v1 8 games, 5388 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -12.168, 0.455 sec/game, 0.1 min. total, 334.6 MB
nemeses_unhappy v1 9 games, 6073 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -12.133, 0.454 sec/game, 0.1 min. total, 338.1 MB
nemeses_unhappy v1 10 games, 6762 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -12.124, 0.454 sec/game, 0.1 min. total, 341.5 MB
nemeses_unhappy v1 11 games, 7453 moves, e=0.993, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -12.092, 0.453 sec/game, 0.1 min. total, 344.0 MB
nemeses_unhappy v1 12 games, 8334 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -11.957, 0.461 sec/game, 0.1 min. total, 347.6 MB
nemeses_unhappy v1 13 games, 8992 moves, e=0.991, loss: nan, +, 71.6% elo% vs. random_bot, avg. reward: -12.018, 0.458 sec/game, 0.1 min. total, 350.9 MB
nemeses_unhappy v1 14 games, 9651 moves, e=0.990, loss: nan, +, 72.7% elo% vs. random_bot, avg. reward: -12.055, 0.457 sec/game, 0.1 min. total, 353.8 MB
nemeses_unhappy v1 15 games, 10351 moves, e=0.990, loss: 74.1, +, 73.6% elo% vs. random_bot, avg. reward: -12.058, 0.511 sec/game, 0.1 min. total, 379.2 MB
nemeses_unhappy v1 16 games, 11038 moves, e=0.989, loss: 52.8, +, 74.6% elo% vs. random_bot, avg. reward: -12.068, 0.603 sec/game, 0.2 min. total, 381.9 MB
nemeses_unhappy v1 17 games, 11811 moves, e=0.988, loss: 33.7, +, 75.5% elo% vs. random_bot, avg. reward: -11.992, 0.687 sec/game, 0.2 min. total, 382.1 MB
nemeses_unhappy v1 18 games, 12503 moves, e=0.988, loss: 23.4, +, 76.3% elo% vs. random_bot, avg. reward: -11.996, 0.756 sec/game, 0.2 min. total, 386.9 MB
nemeses_unhappy v1 19 games, 13132 moves, e=0.987, loss: 17.1, +, 77.1% elo% vs. random_bot, avg. reward: -12.034, 0.808 sec/game, 0.3 min. total, 387.1 MB
nemeses_unhappy v1 20 games, 13833 moves, e=0.986, loss: 13.0, +, 77.8% elo% vs. random_bot, avg. reward: -12.050, 0.880 sec/game, 0.3 min. total, 386.5 MB
nemeses_unhappy v1 21 games, 14422 moves, e=0.986, loss: 11.2, +, 78.5% elo% vs. random_bot, avg. reward: -12.132, 0.931 sec/game, 0.3 min. total, 386.6 MB
nemeses_unhappy v1 22 games, 15061 moves, e=0.985, loss: 9.7, +, 79.2% elo% vs. random_bot, avg. reward: -12.165, 0.997 sec/game, 0.3 min. total, 386.7 MB
nemeses_unhappy v1 23 games, 15770 moves, e=0.984, loss: 8.6, +, 79.8% elo% vs. random_bot, avg. reward: -12.133, 1.074 sec/game, 0.4 min. total, 386.6 MB
nemeses_unhappy v1 24 games, 16483 moves, e=0.984, loss: 8.5, +, 80.4% elo% vs. random_bot, avg. reward: -12.118, 1.137 sec/game, 0.4 min. total, 386.6 MB
nemeses_unhappy v2 25 games, 17211 moves, e=0.983, loss: 8.1, +, 54.5% elo% vs. guard_bot, avg. reward: -12.100, 1.205 sec/game, 0.4 min. total, 445.7 MB
nemeses_unhappy v2 26 games, 17990 moves, e=0.982, loss: 8.0, ., 54.3% elo% vs. guard_bot, avg. reward: -12.034, 1.282 sec/game, 0.5 min. total, 447.1 MB
nemeses_unhappy v2 27 games, 18803 moves, e=0.981, loss: 7.6, +, 56.4% elo% vs. guard_bot, avg. reward: -11.983, 1.355 sec/game, 0.5 min. total, 447.9 MB
nemeses_unhappy v2 28 games, 19612 moves, e=0.981, loss: 6.9, ., 56.1% elo% vs. guard_bot, avg. reward: -11.943, 1.439 sec/game, 0.5 min. total, 449.6 MB
nemeses_unhappy v2 29 games, 20401 moves, e=0.980, loss: 7.6, ., 55.8% elo% vs. guard_bot, avg. reward: -11.924, 1.510 sec/game, 0.6 min. total, 455.4 MB
nemeses_unhappy v2 30 games, 21092 moves, e=0.979, loss: 7.2, ., 55.5% elo% vs. guard_bot, avg. reward: -11.931, 1.566 sec/game, 0.6 min. total, 454.0 MB
nemeses_unhappy v2 31 games, 21824 moves, e=0.978, loss: 7.3, +, 57.5% elo% vs. guard_bot, avg. reward: -11.915, 1.638 sec/game, 0.6 min. total, 457.1 MB
nemeses_unhappy v2 32 games, 22568 moves, e=0.978, loss: 6.9, ., 57.2% elo% vs. guard_bot, avg. reward: -11.895, 1.704 sec/game, 0.7 min. total, 457.5 MB
nemeses_unhappy v2 33 games, 23361 moves, e=0.977, loss: 6.6, +, 59.1% elo% vs. guard_bot, avg. reward: -11.838, 1.778 sec/game, 0.7 min. total, 457.4 MB
nemeses_unhappy v2 34 games, 24096 moves, e=0.976, loss: 6.4, ., 58.7% elo% vs. guard_bot, avg. reward: -11.827, 1.849 sec/game, 0.7 min. total, 457.4 MB
nemeses_unhappy v2 35 games, 24838 moves, e=0.975, loss: 6.9, +, 60.5% elo% vs. guard_bot, avg. reward: -11.802, 1.878 sec/game, 0.8 min. total, 456.2 MB
nemeses_unhappy v2 36 games, 25549 moves, e=0.975, loss: 7.5, +, 62.3% elo% vs. guard_bot, avg. reward: -11.806, 1.858 sec/game, 0.8 min. total, 457.7 MB
nemeses_unhappy v2 37 games, 26231 moves, e=0.974, loss: 6.8, ., 61.7% elo% vs. guard_bot, avg. reward: -11.795, 1.838 sec/game, 0.8 min. total, 458.5 MB
nemeses_unhappy v2 38 games, 26926 moves, e=0.973, loss: 6.5, ., 61.2% elo% vs. guard_bot, avg. reward: -11.811, 1.834 sec/game, 0.8 min. total, 458.2 MB
nemeses_unhappy v2 39 games, 27596 moves, e=0.973, loss: 6.4, +, 62.9% elo% vs. guard_bot, avg. reward: -11.812, 1.826 sec/game, 0.9 min. total, 458.8 MB
nemeses_unhappy v2 40 games, 28203 moves, e=0.972, loss: 6.8, +, 64.5% elo% vs. guard_bot, avg. reward: -11.836, 1.791 sec/game, 0.9 min. total, 458.6 MB
nemeses_unhappy v2 41 games, 28931 moves, e=0.971, loss: 6.6, +, 66.0% elo% vs. guard_bot, avg. reward: -11.821, 1.811 sec/game, 0.9 min. total, 460.7 MB
nemeses_unhappy v2 42 games, 29574 moves, e=0.971, loss: 6.5, +, 67.4% elo% vs. guard_bot, avg. reward: -11.829, 1.803 sec/game, 0.9 min. total, 461.7 MB
nemeses_unhappy v2 43 games, 30376 moves, e=0.970, loss: 6.2, +, 68.7% elo% vs. guard_bot, avg. reward: -11.806, 1.798 sec/game, 1.0 min. total, 462.2 MB
nemeses_unhappy v2 44 games, 31073 moves, e=0.969, loss: 5.9, +, 69.9% elo% vs. guard_bot, avg. reward: -11.813, 1.790 sec/game, 1.0 min. total, 461.9 MB
nemeses_unhappy v2 45 games, 31705 moves, e=0.969, loss: 5.7, +, 71.1% elo% vs. guard_bot, avg. reward: -11.824, 1.779 sec/game, 1.0 min. total, 461.8 MB
nemeses_unhappy v2 46 games, 32539 moves, e=0.968, loss: 5.6, +, 72.1% elo% vs. guard_bot, avg. reward: -11.812, 1.791 sec/game, 1.1 min. total, 464.0 MB
nemeses_unhappy v2 47 games, 33375 moves, e=0.967, loss: 5.5, +, 73.2% elo% vs. guard_bot, avg. reward: -11.782, 1.791 sec/game, 1.1 min. total, 465.4 MB
nemeses_unhappy v2 48 games, 33998 moves, e=0.966, loss: 5.5, +, 74.1% elo% vs. guard_bot, avg. reward: -11.811, 1.764 sec/game, 1.1 min. total, 464.1 MB
nemeses_unhappy v2 49 games, 34737 moves, e=0.966, loss: 5.4, +, 75.0% elo% vs. guard_bot, avg. reward: -11.810, 1.765 sec/game, 1.2 min. total, 464.2 MB
nemeses_unhappy v2 50 games, 35394 moves, e=0.965, loss: 5.1, ., 74.1% elo% vs. guard_bot, avg. reward: -11.815, 1.765 sec/game, 1.2 min. total, 464.3 MB
nemeses_unhappy v2 51 games, 36178 moves, e=0.964, loss: 5.1, +, 75.0% elo% vs. guard_bot, avg. reward: -11.793, 1.765 sec/game, 1.2 min. total, 465.6 MB
nemeses_unhappy v2 52 games, 36857 moves, e=0.964, loss: 5.2, ., 74.2% elo% vs. guard_bot, avg. reward: -11.810, 1.751 sec/game, 1.2 min. total, 466.4 MB
nemeses_unhappy v2 53 games, 37613 moves, e=0.963, loss: 5.2, +, 75.1% elo% vs. guard_bot, avg. reward: -11.803, 1.750 sec/game, 1.3 min. total, 466.0 MB
nemeses_unhappy v2 54 games, 38431 moves, e=0.962, loss: 5.0, ., 74.2% elo% vs. guard_bot, avg. reward: -11.777, 1.765 sec/game, 1.3 min. total, 466.1 MB
nemeses_unhappy v2 55 games, 39094 moves, e=0.961, loss: 5.0, +, 75.1% elo% vs. guard_bot, avg. reward: -11.772, 1.752 sec/game, 1.3 min. total, 467.3 MB
nemeses_unhappy v2 56 games, 39774 moves, e=0.961, loss: 4.9, ., 74.2% elo% vs. guard_bot, avg. reward: -11.770, 1.759 sec/game, 1.4 min. total, 469.0 MB
nemeses_unhappy v2 57 games, 40419 moves, e=0.960, loss: 4.6, ., 73.4% elo% vs. guard_bot, avg. reward: -11.778, 1.759 sec/game, 1.4 min. total, 468.8 MB
nemeses_unhappy v2 58 games, 41063 moves, e=0.959, loss: 4.4, +, 74.3% elo% vs. guard_bot, avg. reward: -11.788, 1.746 sec/game, 1.4 min. total, 468.1 MB
nemeses_unhappy v2 59 games, 41868 moves, e=0.959, loss: 4.3, +, 75.2% elo% vs. guard_bot, avg. reward: -11.765, 1.783 sec/game, 1.5 min. total, 471.5 MB
nemeses_unhappy v2 60 games, 42532 moves, e=0.958, loss: 4.5, ., 74.3% elo% vs. guard_bot, avg. reward: -11.777, 1.787 sec/game, 1.5 min. total, 471.2 MB
nemeses_unhappy v2 61 games, 43243 moves, e=0.957, loss: 4.9, ., 73.5% elo% vs. guard_bot, avg. reward: -11.761, 1.777 sec/game, 1.5 min. total, 471.2 MB
nemeses_unhappy v2 62 games, 43880 moves, e=0.957, loss: 4.9, +, 74.4% elo% vs. guard_bot, avg. reward: -11.779, 1.779 sec/game, 1.5 min. total, 469.8 MB
nemeses_unhappy v2 63 games, 44627 moves, e=0.956, loss: 4.8, +, 75.3% elo% vs. guard_bot, avg. reward: -11.767, 1.781 sec/game, 1.6 min. total, 471.4 MB
nemeses_unhappy v2 64 games, 45484 moves, e=0.955, loss: 4.8, +, 76.1% elo% vs. guard_bot, avg. reward: -11.742, 1.820 sec/game, 1.6 min. total, 468.3 MB
nemeses_unhappy v2 65 games, 46212 moves, e=0.954, loss: 4.9, +, 76.9% elo% vs. guard_bot, avg. reward: -11.739, 1.834 sec/game, 1.6 min. total, 472.3 MB
nemeses_unhappy v2 66 games, 46962 moves, e=0.954, loss: 4.7, +, 77.7% elo% vs. guard_bot, avg. reward: -11.735, 1.806 sec/game, 1.7 min. total, 469.1 MB
nemeses_unhappy v2 67 games, 47752 moves, e=0.953, loss: 4.7, +, 78.4% elo% vs. guard_bot, avg. reward: -11.722, 1.819 sec/game, 1.7 min. total, 472.0 MB
nemeses_unhappy v2 68 games, 48467 moves, e=0.952, loss: 4.6, +, 79.0% elo% vs. guard_bot, avg. reward: -11.716, 1.824 sec/game, 1.7 min. total, 474.3 MB
nemeses_unhappy v2 69 games, 49125 moves, e=0.951, loss: 4.8, +, 79.7% elo% vs. guard_bot, avg. reward: -11.722, 1.811 sec/game, 1.8 min. total, 471.2 MB
nemeses_unhappy v2 70 games, 49745 moves, e=0.951, loss: 4.7, +, 80.3% elo% vs. guard_bot, avg. reward: -11.738, 1.812 sec/game, 1.8 min. total, 475.5 MB
nemeses_unhappy v3 71 games, 50491 moves, e=0.950, loss: 4.4, -, 49.9% elo% vs. random_no_suicide, avg. reward: -11.730, 1.816 sec/game, 1.8 min. total, 475.2 MB
nemeses_unhappy v3 72 games, 51235 moves, e=0.949, loss: 4.2, -, 47.6% elo% vs. random_no_suicide, avg. reward: -11.717, 1.830 sec/game, 1.9 min. total, 474.2 MB
nemeses_unhappy v3 73 games, 52083 moves, e=0.948, loss: 4.0, -, 45.4% elo% vs. random_no_suicide, avg. reward: -11.703, 1.836 sec/game, 1.9 min. total, 474.1 MB
nemeses_unhappy v3 74 games, 52819 moves, e=0.948, loss: 3.9, -, 43.4% elo% vs. random_no_suicide, avg. reward: -11.695, 1.825 sec/game, 1.9 min. total, 475.7 MB
nemeses_unhappy v3 75 games, 53546 moves, e=0.947, loss: 4.0, +, 45.9% elo% vs. random_no_suicide, avg. reward: -11.682, 1.841 sec/game, 2.0 min. total, 473.0 MB
nemeses_unhappy v3 76 games, 54439 moves, e=0.946, loss: 3.9, -, 43.8% elo% vs. random_no_suicide, avg. reward: -11.659, 1.870 sec/game, 2.0 min. total, 475.1 MB
nemeses_unhappy v3 77 games, 55133 moves, e=0.945, loss: 4.1, ., 44.1% elo% vs. random_no_suicide, avg. reward: -11.658, 1.873 sec/game, 2.0 min. total, 473.4 MB
nemeses_unhappy v3 78 games, 55960 moves, e=0.945, loss: 4.2, -, 42.1% elo% vs. random_no_suicide, avg. reward: -11.639, 1.904 sec/game, 2.1 min. total, 476.9 MB
nemeses_unhappy v3 79 games, 56817 moves, e=0.944, loss: 4.3, -, 40.2% elo% vs. random_no_suicide, avg. reward: -11.615, 1.888 sec/game, 2.1 min. total, 479.1 MB
nemeses_unhappy v3 80 games, 57645 moves, e=0.943, loss: 4.1, -, 38.5% elo% vs. random_no_suicide, avg. reward: -11.600, 1.918 sec/game, 2.1 min. total, 477.2 MB
nemeses_unhappy v3 81 games, 58458 moves, e=0.942, loss: 4.1, -, 36.8% elo% vs. random_no_suicide, avg. reward: -11.593, 1.932 sec/game, 2.2 min. total, 479.2 MB
nemeses_unhappy v3 82 games, 59315 moves, e=0.941, loss: 3.9, -, 35.2% elo% vs. random_no_suicide, avg. reward: -11.574, 1.962 sec/game, 2.2 min. total, 480.4 MB
nemeses_unhappy v3 83 games, 60032 moves, e=0.941, loss: 4.2, -, 33.8% elo% vs. random_no_suicide, avg. reward: -11.575, 1.960 sec/game, 2.2 min. total, 479.2 MB
nemeses_unhappy v3 84 games, 60756 moves, e=0.940, loss: 4.2, +, 36.6% elo% vs. random_no_suicide, avg. reward: -11.575, 1.922 sec/game, 2.3 min. total, 477.4 MB
nemeses_unhappy v3 85 games, 61459 moves, e=0.939, loss: 4.2, +, 39.3% elo% vs. random_no_suicide, avg. reward: -11.588, 1.922 sec/game, 2.3 min. total, 477.3 MB
nemeses_unhappy v3 86 games, 62302 moves, e=0.938, loss: 4.3, -, 37.6% elo% vs. random_no_suicide, avg. reward: -11.574, 1.938 sec/game, 2.3 min. total, 479.6 MB
nemeses_unhappy v3 87 games, 63131 moves, e=0.938, loss: 4.4, -, 36.0% elo% vs. random_no_suicide, avg. reward: -11.551, 1.937 sec/game, 2.4 min. total, 477.7 MB
nemeses_unhappy v3 88 games, 63843 moves, e=0.937, loss: 4.6, -, 34.5% elo% vs. random_no_suicide, avg. reward: -11.553, 1.934 sec/game, 2.4 min. total, 481.4 MB
nemeses_unhappy v3 89 games, 64473 moves, e=0.936, loss: 4.4, -, 33.1% elo% vs. random_no_suicide, avg. reward: -11.569, 1.945 sec/game, 2.4 min. total, 481.7 MB
nemeses_unhappy v3 90 games, 65241 moves, e=0.935, loss: 4.3, ., 33.8% elo% vs. random_no_suicide, avg. reward: -11.564, 1.965 sec/game, 2.4 min. total, 484.4 MB
nemeses_unhappy v3 91 games, 65990 moves, e=0.935, loss: 4.4, -, 32.4% elo% vs. random_no_suicide, avg. reward: -11.554, 1.968 sec/game, 2.5 min. total, 484.0 MB
nemeses_unhappy v3 92 games, 66736 moves, e=0.934, loss: 4.3, -, 31.1% elo% vs. random_no_suicide, avg. reward: -11.543, 1.974 sec/game, 2.5 min. total, 484.5 MB
nemeses_unhappy v3 93 games, 67473 moves, e=0.933, loss: 4.5, -, 29.9% elo% vs. random_no_suicide, avg. reward: -11.535, 1.976 sec/game, 2.5 min. total, 483.0 MB
nemeses_unhappy v3 94 games, 68271 moves, e=0.932, loss: 4.4, -, 28.7% elo% vs. random_no_suicide, avg. reward: -11.531, 1.983 sec/game, 2.6 min. total, 484.1 MB
nemeses_unhappy v3 95 games, 69025 moves, e=0.932, loss: 4.5, ., 29.5% elo% vs. random_no_suicide, avg. reward: -11.521, 1.994 sec/game, 2.6 min. total, 480.6 MB
nemeses_unhappy v3 96 games, 69723 moves, e=0.931, loss: 4.5, +, 32.3% elo% vs. random_no_suicide, avg. reward: -11.525, 1.967 sec/game, 2.6 min. total, 480.8 MB
