nutcase_devalue v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.5 MB
nutcase_devalue v1 1 games, 714 moves, e=1.000, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -8.633, 0.222 sec/game, 0.0 min. total, 316.2 MB
nutcase_devalue v1 2 games, 1403 moves, e=1.000, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -8.641, 0.213 sec/game, 0.0 min. total, 319.6 MB
nutcase_devalue v1 3 games, 2064 moves, e=1.000, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -8.898, 0.216 sec/game, 0.0 min. total, 322.3 MB
nutcase_devalue v1 4 games, 2769 moves, e=1.000, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -8.864, 0.214 sec/game, 0.0 min. total, 325.1 MB
nutcase_devalue v1 5 games, 3376 moves, e=1.000, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -9.160, 0.208 sec/game, 0.0 min. total, 327.9 MB
nutcase_devalue v1 6 games, 3972 moves, e=1.000, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -9.348, 0.205 sec/game, 0.0 min. total, 330.6 MB
nutcase_devalue v1 7 games, 4738 moves, e=1.000, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -9.186, 0.203 sec/game, 0.0 min. total, 333.6 MB
nutcase_devalue v1 8 games, 5386 moves, e=0.999, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -9.221, 0.200 sec/game, 0.0 min. total, 336.1 MB
nutcase_devalue v1 9 games, 5979 moves, e=0.999, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -9.378, 0.195 sec/game, 0.0 min. total, 338.4 MB
nutcase_devalue v1 10 games, 6707 moves, e=0.999, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -9.270, 0.195 sec/game, 0.0 min. total, 341.2 MB
nutcase_devalue v1 11 games, 7376 moves, e=0.999, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -9.265, 0.193 sec/game, 0.0 min. total, 343.5 MB
nutcase_devalue v1 12 games, 8011 moves, e=0.999, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -9.335, 0.191 sec/game, 0.0 min. total, 345.6 MB
nutcase_devalue v2 13 games, 8642 moves, e=0.999, loss: nan, ., 52.2% elo% vs. guard_bot, avg. reward: -9.340, 0.190 sec/game, 0.0 min. total, 407.5 MB
nutcase_devalue v2 14 games, 9252 moves, e=0.999, loss: nan, ., 52.1% elo% vs. guard_bot, avg. reward: -9.400, 0.188 sec/game, 0.0 min. total, 409.5 MB
nutcase_devalue v2 15 games, 9935 moves, e=0.999, loss: nan, ., 52.0% elo% vs. guard_bot, avg. reward: -9.374, 0.187 sec/game, 0.0 min. total, 412.7 MB
nutcase_devalue v2 16 games, 10685 moves, e=0.999, loss: 43.8, ., 51.9% elo% vs. guard_bot, avg. reward: -9.304, 0.263 sec/game, 0.1 min. total, 442.1 MB
nutcase_devalue v2 17 games, 11388 moves, e=0.999, loss: 29.6, ., 51.8% elo% vs. guard_bot, avg. reward: -9.276, 0.314 sec/game, 0.1 min. total, 445.1 MB
nutcase_devalue v2 18 games, 12061 moves, e=0.999, loss: 17.2, ., 51.7% elo% vs. guard_bot, avg. reward: -9.265, 0.369 sec/game, 0.1 min. total, 447.7 MB
nutcase_devalue v2 19 games, 12813 moves, e=0.999, loss: 9.9, ., 51.7% elo% vs. guard_bot, avg. reward: -9.220, 0.424 sec/game, 0.1 min. total, 449.6 MB
nutcase_devalue v2 20 games, 13521 moves, e=0.999, loss: 6.6, +, 53.9% elo% vs. guard_bot, avg. reward: -9.191, 0.460 sec/game, 0.2 min. total, 447.3 MB
nutcase_devalue v2 21 games, 14215 moves, e=0.999, loss: 4.4, +, 56.0% elo% vs. guard_bot, avg. reward: -9.190, 0.516 sec/game, 0.2 min. total, 449.0 MB
nutcase_devalue v2 22 games, 14923 moves, e=0.999, loss: 3.3, +, 58.0% elo% vs. guard_bot, avg. reward: -9.155, 0.562 sec/game, 0.2 min. total, 447.7 MB
nutcase_devalue v2 23 games, 15593 moves, e=0.998, loss: 2.6, +, 59.8% elo% vs. guard_bot, avg. reward: -9.168, 0.608 sec/game, 0.2 min. total, 449.0 MB
nutcase_devalue v2 24 games, 16325 moves, e=0.998, loss: 2.3, +, 61.6% elo% vs. guard_bot, avg. reward: -9.138, 0.664 sec/game, 0.2 min. total, 450.3 MB
nutcase_devalue v2 25 games, 16974 moves, e=0.998, loss: 2.3, +, 63.3% elo% vs. guard_bot, avg. reward: -9.163, 0.710 sec/game, 0.3 min. total, 449.8 MB
nutcase_devalue v2 26 games, 17615 moves, e=0.998, loss: 2.2, ., 62.7% elo% vs. guard_bot, avg. reward: -9.189, 0.757 sec/game, 0.3 min. total, 453.3 MB
nutcase_devalue v2 27 games, 18299 moves, e=0.998, loss: 2.0, ., 62.1% elo% vs. guard_bot, avg. reward: -9.185, 0.804 sec/game, 0.3 min. total, 455.4 MB
nutcase_devalue v2 28 games, 18931 moves, e=0.998, loss: 1.8, ., 61.6% elo% vs. guard_bot, avg. reward: -9.215, 0.851 sec/game, 0.3 min. total, 456.7 MB
nutcase_devalue v2 29 games, 19686 moves, e=0.998, loss: 1.9, ., 61.1% elo% vs. guard_bot, avg. reward: -9.175, 0.912 sec/game, 0.3 min. total, 458.7 MB
nutcase_devalue v2 30 games, 20384 moves, e=0.998, loss: 2.2, +, 62.8% elo% vs. guard_bot, avg. reward: -9.163, 0.968 sec/game, 0.4 min. total, 456.3 MB
nutcase_devalue v2 31 games, 21033 moves, e=0.998, loss: 2.3, ., 62.2% elo% vs. guard_bot, avg. reward: -9.180, 1.016 sec/game, 0.4 min. total, 462.2 MB
nutcase_devalue v2 32 games, 21756 moves, e=0.998, loss: 2.7, +, 63.9% elo% vs. guard_bot, avg. reward: -9.163, 1.064 sec/game, 0.4 min. total, 459.4 MB
nutcase_devalue v2 33 games, 22490 moves, e=0.998, loss: 2.7, +, 65.4% elo% vs. guard_bot, avg. reward: -9.134, 1.128 sec/game, 0.4 min. total, 461.0 MB
