opossum_flyable v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 303.9 MB
opossum_flyable v1 1 games, 727 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -8.536, 0.245 sec/game, 0.0 min. total, 317.4 MB
opossum_flyable v1 2 games, 1331 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -9.392, 0.215 sec/game, 0.0 min. total, 320.3 MB
opossum_flyable v1 3 games, 2068 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -8.967, 0.227 sec/game, 0.0 min. total, 324.3 MB
opossum_flyable v1 4 games, 2759 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -8.933, 0.220 sec/game, 0.0 min. total, 327.6 MB
opossum_flyable v1 5 games, 3351 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -9.246, 0.211 sec/game, 0.0 min. total, 328.7 MB
opossum_flyable v1 6 games, 3992 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -9.304, 0.208 sec/game, 0.0 min. total, 330.3 MB
opossum_flyable v1 7 games, 4696 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -9.194, 0.208 sec/game, 0.0 min. total, 332.8 MB
opossum_flyable v1 8 games, 5387 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -9.189, 0.209 sec/game, 0.0 min. total, 336.6 MB
opossum_flyable v1 9 games, 6170 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -9.013, 0.211 sec/game, 0.0 min. total, 338.5 MB
opossum_flyable v1 10 games, 6981 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -8.863, 0.214 sec/game, 0.0 min. total, 342.9 MB
opossum_flyable v1 11 games, 7739 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -8.801, 0.216 sec/game, 0.0 min. total, 345.6 MB
opossum_flyable v1 12 games, 8495 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -8.748, 0.218 sec/game, 0.0 min. total, 349.6 MB
opossum_flyable v2 13 games, 9170 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: -8.777, 0.215 sec/game, 0.0 min. total, 413.4 MB
opossum_flyable v2 14 games, 9885 moves, e=0.990, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: -8.759, 0.214 sec/game, 0.0 min. total, 416.3 MB
opossum_flyable v2 15 games, 10587 moves, e=0.990, loss: 43.4, +, 58.5% elo% vs. guard_bot, avg. reward: -8.759, 0.284 sec/game, 0.1 min. total, 441.9 MB
opossum_flyable v2 16 games, 11334 moves, e=0.989, loss: 27.5, +, 60.4% elo% vs. guard_bot, avg. reward: -8.733, 0.349 sec/game, 0.1 min. total, 441.0 MB
opossum_flyable v2 17 games, 11995 moves, e=0.988, loss: 17.7, ., 59.9% elo% vs. guard_bot, avg. reward: -8.766, 0.393 sec/game, 0.1 min. total, 445.5 MB
opossum_flyable v2 18 games, 12769 moves, e=0.987, loss: 10.5, +, 61.7% elo% vs. guard_bot, avg. reward: -8.715, 0.444 sec/game, 0.1 min. total, 446.1 MB
opossum_flyable v2 19 games, 13451 moves, e=0.987, loss: 6.8, +, 63.3% elo% vs. guard_bot, avg. reward: -8.714, 0.491 sec/game, 0.2 min. total, 446.2 MB
opossum_flyable v2 20 games, 14359 moves, e=0.986, loss: 4.4, +, 64.9% elo% vs. guard_bot, avg. reward: -8.615, 0.546 sec/game, 0.2 min. total, 443.8 MB
opossum_flyable v2 21 games, 15117 moves, e=0.985, loss: 3.4, +, 66.3% elo% vs. guard_bot, avg. reward: -8.592, 0.600 sec/game, 0.2 min. total, 447.3 MB
opossum_flyable v2 22 games, 15945 moves, e=0.984, loss: 2.8, +, 67.7% elo% vs. guard_bot, avg. reward: -8.536, 0.659 sec/game, 0.2 min. total, 449.5 MB
opossum_flyable v2 23 games, 16660 moves, e=0.984, loss: 2.7, +, 69.0% elo% vs. guard_bot, avg. reward: -8.546, 0.713 sec/game, 0.2 min. total, 449.4 MB
opossum_flyable v2 24 games, 17363 moves, e=0.983, loss: 2.7, +, 70.2% elo% vs. guard_bot, avg. reward: -8.539, 0.761 sec/game, 0.3 min. total, 448.9 MB
opossum_flyable v3 25 games, 18056 moves, e=0.982, loss: 2.1, -, 49.9% elo% vs. random_no_suicide, avg. reward: -8.560, 0.819 sec/game, 0.3 min. total, 459.0 MB
opossum_flyable v3 26 games, 18697 moves, e=0.981, loss: 2.1, -, 47.6% elo% vs. random_no_suicide, avg. reward: -8.601, 0.865 sec/game, 0.3 min. total, 459.1 MB
opossum_flyable v3 27 games, 19565 moves, e=0.981, loss: 2.3, -, 45.4% elo% vs. random_no_suicide, avg. reward: -8.548, 0.923 sec/game, 0.3 min. total, 455.8 MB
opossum_flyable v3 28 games, 20191 moves, e=0.980, loss: 2.0, ., 45.6% elo% vs. random_no_suicide, avg. reward: -8.603, 0.968 sec/game, 0.4 min. total, 454.8 MB
opossum_flyable v3 29 games, 20914 moves, e=0.979, loss: 1.9, -, 43.6% elo% vs. random_no_suicide, avg. reward: -8.610, 1.024 sec/game, 0.4 min. total, 459.5 MB
opossum_flyable v3 30 games, 21522 moves, e=0.979, loss: 2.0, +, 46.1% elo% vs. random_no_suicide, avg. reward: -8.655, 1.068 sec/game, 0.4 min. total, 456.5 MB
opossum_flyable v3 31 games, 22151 moves, e=0.978, loss: 1.9, -, 44.0% elo% vs. random_no_suicide, avg. reward: -8.698, 1.114 sec/game, 0.4 min. total, 459.6 MB
opossum_flyable v3 32 games, 22835 moves, e=0.977, loss: 1.9, -, 42.0% elo% vs. random_no_suicide, avg. reward: -8.706, 1.161 sec/game, 0.4 min. total, 462.0 MB
opossum_flyable v3 33 games, 23548 moves, e=0.977, loss: 1.9, -, 40.2% elo% vs. random_no_suicide, avg. reward: -8.704, 1.209 sec/game, 0.4 min. total, 463.8 MB
opossum_flyable v3 34 games, 24160 moves, e=0.976, loss: 1.9, -, 38.4% elo% vs. random_no_suicide, avg. reward: -8.751, 1.256 sec/game, 0.5 min. total, 460.9 MB
opossum_flyable v3 35 games, 24892 moves, e=0.975, loss: 2.0, -, 36.7% elo% vs. random_no_suicide, avg. reward: -8.746, 1.259 sec/game, 0.5 min. total, 461.0 MB
opossum_flyable v3 36 games, 25570 moves, e=0.975, loss: 1.8, -, 35.2% elo% vs. random_no_suicide, avg. reward: -8.748, 1.252 sec/game, 0.5 min. total, 460.9 MB
opossum_flyable v3 37 games, 26239 moves, e=0.974, loss: 2.0, -, 33.7% elo% vs. random_no_suicide, avg. reward: -8.769, 1.254 sec/game, 0.5 min. total, 461.4 MB
opossum_flyable v3 38 games, 26885 moves, e=0.973, loss: 2.0, -, 32.3% elo% vs. random_no_suicide, avg. reward: -8.791, 1.254 sec/game, 0.6 min. total, 464.7 MB
opossum_flyable v3 39 games, 27598 moves, e=0.973, loss: 1.6, -, 31.1% elo% vs. random_no_suicide, avg. reward: -8.785, 1.246 sec/game, 0.6 min. total, 464.9 MB
opossum_flyable v3 40 games, 28300 moves, e=0.972, loss: 1.6, -, 29.8% elo% vs. random_no_suicide, avg. reward: -8.791, 1.234 sec/game, 0.6 min. total, 465.9 MB
opossum_flyable v3 41 games, 29111 moves, e=0.971, loss: 1.6, -, 28.7% elo% vs. random_no_suicide, avg. reward: -8.756, 1.256 sec/game, 0.6 min. total, 468.6 MB
opossum_flyable v3 42 games, 29769 moves, e=0.971, loss: 1.9, -, 27.6% elo% vs. random_no_suicide, avg. reward: -8.764, 1.254 sec/game, 0.6 min. total, 469.4 MB
opossum_flyable v3 43 games, 30469 moves, e=0.970, loss: 2.1, -, 26.6% elo% vs. random_no_suicide, avg. reward: -8.761, 1.255 sec/game, 0.7 min. total, 470.2 MB
opossum_flyable v3 44 games, 31154 moves, e=0.969, loss: 2.2, -, 25.7% elo% vs. random_no_suicide, avg. reward: -8.768, 1.261 sec/game, 0.7 min. total, 470.8 MB
opossum_flyable v3 45 games, 31975 moves, e=0.968, loss: 2.1, -, 24.8% elo% vs. random_no_suicide, avg. reward: -8.740, 1.271 sec/game, 0.7 min. total, 471.1 MB
opossum_flyable v3 46 games, 32689 moves, e=0.968, loss: 2.3, -, 23.9% elo% vs. random_no_suicide, avg. reward: -8.737, 1.293 sec/game, 0.7 min. total, 467.0 MB
opossum_flyable v3 47 games, 33424 moves, e=0.967, loss: 2.1, -, 23.2% elo% vs. random_no_suicide, avg. reward: -8.734, 1.305 sec/game, 0.8 min. total, 467.9 MB
opossum_flyable v3 48 games, 34064 moves, e=0.966, loss: 2.4, -, 22.4% elo% vs. random_no_suicide, avg. reward: -8.759, 1.316 sec/game, 0.8 min. total, 473.7 MB
opossum_flyable v3 49 games, 34741 moves, e=0.966, loss: 2.4, -, 21.7% elo% vs. random_no_suicide, avg. reward: -8.767, 1.320 sec/game, 0.8 min. total, 473.5 MB
opossum_flyable v3 50 games, 35404 moves, e=0.965, loss: 2.0, -, 21.0% elo% vs. random_no_suicide, avg. reward: -8.778, 1.335 sec/game, 0.8 min. total, 473.5 MB
opossum_flyable v3 51 games, 36147 moves, e=0.964, loss: 2.2, -, 20.4% elo% vs. random_no_suicide, avg. reward: -8.771, 1.354 sec/game, 0.9 min. total, 473.4 MB
opossum_flyable v3 52 games, 36898 moves, e=0.963, loss: 2.2, -, 19.8% elo% vs. random_no_suicide, avg. reward: -8.756, 1.375 sec/game, 0.9 min. total, 473.4 MB
opossum_flyable v3 53 games, 37715 moves, e=0.963, loss: 2.3, -, 19.2% elo% vs. random_no_suicide, avg. reward: -8.727, 1.403 sec/game, 0.9 min. total, 473.8 MB
opossum_flyable v3 54 games, 38462 moves, e=0.962, loss: 2.0, -, 18.7% elo% vs. random_no_suicide, avg. reward: -8.712, 1.430 sec/game, 0.9 min. total, 469.7 MB
opossum_flyable v3 55 games, 39136 moves, e=0.961, loss: 2.0, -, 18.2% elo% vs. random_no_suicide, avg. reward: -8.723, 1.435 sec/game, 1.0 min. total, 474.7 MB
opossum_flyable v3 56 games, 39885 moves, e=0.961, loss: 2.2, -, 17.7% elo% vs. random_no_suicide, avg. reward: -8.713, 1.454 sec/game, 1.0 min. total, 475.4 MB
opossum_flyable v3 57 games, 40581 moves, e=0.960, loss: 2.2, ., 18.5% elo% vs. random_no_suicide, avg. reward: -8.716, 1.466 sec/game, 1.0 min. total, 471.1 MB
opossum_flyable v3 58 games, 41287 moves, e=0.959, loss: 2.2, -, 18.0% elo% vs. random_no_suicide, avg. reward: -8.719, 1.460 sec/game, 1.0 min. total, 473.2 MB
opossum_flyable v3 59 games, 41939 moves, e=0.958, loss: 2.1, -, 17.5% elo% vs. random_no_suicide, avg. reward: -8.736, 1.460 sec/game, 1.1 min. total, 471.7 MB
opossum_flyable v3 60 games, 42556 moves, e=0.958, loss: 2.3, -, 17.1% elo% vs. random_no_suicide, avg. reward: -8.757, 1.454 sec/game, 1.1 min. total, 471.9 MB
