oversight_living v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 312.8 MB
oversight_living v1 1 games, 828 moves, e=0.999, loss: nan, +, 52.3% elo% vs. v0, avg. reward: -8.679, 0.218 sec/game, 0.0 min. total, 315.6 MB
oversight_living v1 2 games, 1567 moves, e=0.998, loss: nan, ., 52.2% elo% vs. v0, avg. reward: -9.034, 0.201 sec/game, 0.0 min. total, 318.2 MB
oversight_living v1 3 games, 2197 moves, e=0.998, loss: nan, +, 54.4% elo% vs. v0, avg. reward: -9.692, 0.193 sec/game, 0.0 min. total, 320.2 MB
oversight_living v1 4 games, 2874 moves, e=0.997, loss: nan, -, 51.9% elo% vs. v0, avg. reward: -9.877, 0.191 sec/game, 0.0 min. total, 322.5 MB
oversight_living v1 5 games, 3550 moves, e=0.996, loss: nan, +, 54.1% elo% vs. v0, avg. reward: -10.043, 0.189 sec/game, 0.0 min. total, 324.9 MB
oversight_living v1 6 games, 4227 moves, e=0.996, loss: nan, +, 56.2% elo% vs. v0, avg. reward: -10.099, 0.186 sec/game, 0.0 min. total, 327.0 MB
oversight_living v1 7 games, 4915 moves, e=0.995, loss: nan, -, 53.6% elo% vs. v0, avg. reward: -10.109, 0.187 sec/game, 0.0 min. total, 329.7 MB
oversight_living v1 8 games, 5561 moves, e=0.994, loss: nan, -, 51.2% elo% vs. v0, avg. reward: -10.185, 0.187 sec/game, 0.0 min. total, 332.5 MB
oversight_living v1 9 games, 6275 moves, e=0.994, loss: nan, +, 53.4% elo% vs. v0, avg. reward: -10.164, 0.189 sec/game, 0.0 min. total, 335.4 MB
oversight_living v1 10 games, 6987 moves, e=0.993, loss: nan, -, 51.0% elo% vs. v0, avg. reward: -10.150, 0.189 sec/game, 0.0 min. total, 338.9 MB
oversight_living v1 11 games, 7696 moves, e=0.992, loss: nan, +, 53.2% elo% vs. v0, avg. reward: -10.127, 0.190 sec/game, 0.0 min. total, 342.1 MB
oversight_living v1 12 games, 8392 moves, e=0.992, loss: nan, +, 55.3% elo% vs. v0, avg. reward: -10.114, 0.189 sec/game, 0.0 min. total, 345.1 MB
oversight_living v1 13 games, 9100 moves, e=0.991, loss: nan, -, 52.8% elo% vs. v0, avg. reward: -10.077, 0.191 sec/game, 0.0 min. total, 348.1 MB
oversight_living v1 14 games, 9794 moves, e=0.990, loss: nan, +, 55.0% elo% vs. v0, avg. reward: -10.059, 0.191 sec/game, 0.0 min. total, 351.5 MB
oversight_living v1 15 games, 10393 moves, e=0.990, loss: 70.9, +, 57.0% elo% vs. v0, avg. reward: -10.175, 0.252 sec/game, 0.1 min. total, 380.4 MB
oversight_living v1 16 games, 11060 moves, e=0.989, loss: 52.7, +, 58.9% elo% vs. v0, avg. reward: -10.187, 0.316 sec/game, 0.1 min. total, 383.5 MB
oversight_living v1 17 games, 11755 moves, e=0.988, loss: 36.9, +, 60.8% elo% vs. v0, avg. reward: -10.194, 0.373 sec/game, 0.1 min. total, 385.1 MB
oversight_living v1 18 games, 12501 moves, e=0.988, loss: 23.7, +, 62.5% elo% vs. v0, avg. reward: -10.138, 0.433 sec/game, 0.1 min. total, 390.5 MB
