penpal_curve v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.7 MB
penpal_curve v1 1 games, 801 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -7.579, 0.207 sec/game, 0.0 min. total, 312.9 MB
penpal_curve v1 2 games, 1505 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -8.223, 0.188 sec/game, 0.0 min. total, 317.3 MB
penpal_curve v1 3 games, 2027 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -9.482, 0.182 sec/game, 0.0 min. total, 319.6 MB
penpal_curve v1 4 games, 2702 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -9.338, 0.177 sec/game, 0.0 min. total, 322.8 MB
penpal_curve v1 5 games, 3311 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -9.529, 0.174 sec/game, 0.0 min. total, 326.3 MB
penpal_curve v1 6 games, 4022 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -9.418, 0.174 sec/game, 0.0 min. total, 328.9 MB
penpal_curve v1 7 games, 4679 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -9.403, 0.172 sec/game, 0.0 min. total, 331.9 MB
penpal_curve v1 8 games, 5420 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -9.279, 0.175 sec/game, 0.0 min. total, 335.6 MB
penpal_curve v1 9 games, 6205 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -9.121, 0.180 sec/game, 0.0 min. total, 338.2 MB
penpal_curve v1 10 games, 6919 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -9.069, 0.180 sec/game, 0.0 min. total, 340.6 MB
penpal_curve v1 11 games, 7634 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -9.047, 0.180 sec/game, 0.0 min. total, 344.4 MB
penpal_curve v1 12 games, 8255 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -9.135, 0.179 sec/game, 0.0 min. total, 348.2 MB
penpal_curve v2 13 games, 8832 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: -9.271, 0.176 sec/game, 0.0 min. total, 416.2 MB
penpal_curve v2 14 games, 9515 moves, e=0.991, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: -9.250, 0.175 sec/game, 0.0 min. total, 419.2 MB
penpal_curve v2 15 games, 10169 moves, e=0.990, loss: 54.7, +, 58.5% elo% vs. guard_bot, avg. reward: -9.264, 0.227 sec/game, 0.1 min. total, 434.6 MB
