prepaid_shoptalk v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 306.2 MB
prepaid_shoptalk v1 1 games, 686 moves, e=0.999, loss: nan, -, 47.7% elo% vs. random_bot, avg. reward: -10.041, 0.218 sec/game, 0.0 min. total, 310.7 MB
prepaid_shoptalk v1 2 games, 1312 moves, e=0.999, loss: nan, -, 45.5% elo% vs. random_bot, avg. reward: -10.670, 0.205 sec/game, 0.0 min. total, 312.7 MB
prepaid_shoptalk v1 3 games, 2128 moves, e=0.998, loss: nan, -, 43.4% elo% vs. random_bot, avg. reward: -9.952, 0.215 sec/game, 0.0 min. total, 315.4 MB
prepaid_shoptalk v1 4 games, 2885 moves, e=0.997, loss: nan, -, 41.5% elo% vs. random_bot, avg. reward: -9.701, 0.220 sec/game, 0.0 min. total, 318.5 MB
prepaid_shoptalk v1 5 games, 3570 moves, e=0.996, loss: nan, -, 39.6% elo% vs. random_bot, avg. reward: -9.858, 0.222 sec/game, 0.0 min. total, 321.0 MB
prepaid_shoptalk v1 6 games, 4262 moves, e=0.996, loss: nan, -, 37.9% elo% vs. random_bot, avg. reward: -9.895, 0.220 sec/game, 0.0 min. total, 322.7 MB
prepaid_shoptalk v1 7 games, 4928 moves, e=0.995, loss: nan, -, 36.3% elo% vs. random_bot, avg. reward: -9.983, 0.219 sec/game, 0.0 min. total, 325.8 MB
prepaid_shoptalk v1 8 games, 5555 moves, e=0.995, loss: nan, -, 34.8% elo% vs. random_bot, avg. reward: -10.130, 0.216 sec/game, 0.0 min. total, 328.4 MB
prepaid_shoptalk v1 9 games, 6192 moves, e=0.994, loss: nan, -, 33.3% elo% vs. random_bot, avg. reward: -10.211, 0.214 sec/game, 0.0 min. total, 331.0 MB
prepaid_shoptalk v1 10 games, 6860 moves, e=0.993, loss: nan, -, 32.0% elo% vs. random_bot, avg. reward: -10.225, 0.213 sec/game, 0.0 min. total, 333.0 MB
prepaid_shoptalk v1 11 games, 7499 moves, e=0.993, loss: nan, ., 32.7% elo% vs. random_bot, avg. reward: -10.311, 0.212 sec/game, 0.0 min. total, 335.3 MB
prepaid_shoptalk v1 12 games, 8174 moves, e=0.992, loss: nan, -, 31.4% elo% vs. random_bot, avg. reward: -10.325, 0.213 sec/game, 0.0 min. total, 338.6 MB
prepaid_shoptalk v1 13 games, 8825 moves, e=0.991, loss: nan, -, 30.2% elo% vs. random_bot, avg. reward: -10.389, 0.213 sec/game, 0.0 min. total, 341.1 MB
prepaid_shoptalk v1 14 games, 9413 moves, e=0.991, loss: nan, -, 29.0% elo% vs. random_bot, avg. reward: -10.506, 0.211 sec/game, 0.0 min. total, 343.7 MB
prepaid_shoptalk v1 15 games, 9984 moves, e=0.990, loss: nan, -, 27.9% elo% vs. random_bot, avg. reward: -10.651, 0.209 sec/game, 0.1 min. total, 345.7 MB
prepaid_shoptalk v1 16 games, 10770 moves, e=0.989, loss: 59.5, +, 30.7% elo% vs. random_bot, avg. reward: -10.537, 0.326 sec/game, 0.1 min. total, 374.8 MB
prepaid_shoptalk v1 17 games, 11537 moves, e=0.989, loss: 39.0, +, 33.4% elo% vs. random_bot, avg. reward: -10.437, 0.405 sec/game, 0.1 min. total, 377.5 MB
prepaid_shoptalk v1 18 games, 12313 moves, e=0.988, loss: 25.6, +, 36.2% elo% vs. random_bot, avg. reward: -10.355, 0.473 sec/game, 0.1 min. total, 379.3 MB
prepaid_shoptalk v1 19 games, 13009 moves, e=0.987, loss: 18.3, +, 39.0% elo% vs. random_bot, avg. reward: -10.335, 0.521 sec/game, 0.2 min. total, 381.4 MB
prepaid_shoptalk v1 20 games, 13765 moves, e=0.986, loss: 13.3, +, 41.7% elo% vs. random_bot, avg. reward: -10.281, 0.576 sec/game, 0.2 min. total, 384.1 MB
prepaid_shoptalk v1 21 games, 14459 moves, e=0.986, loss: 11.5, +, 44.3% elo% vs. random_bot, avg. reward: -10.280, 0.635 sec/game, 0.2 min. total, 386.3 MB
prepaid_shoptalk v1 22 games, 15201 moves, e=0.985, loss: 10.0, +, 46.9% elo% vs. random_bot, avg. reward: -10.234, 0.728 sec/game, 0.2 min. total, 387.9 MB
prepaid_shoptalk v1 23 games, 15910 moves, e=0.984, loss: 8.6, +, 49.3% elo% vs. random_bot, avg. reward: -10.216, 0.799 sec/game, 0.3 min. total, 387.9 MB
