preseason_shawl v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 302.3 MB
preseason_shawl v1 1 games, 651 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -10.768, 0.257 sec/game, 0.0 min. total, 313.2 MB
preseason_shawl v1 2 games, 1383 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -10.206, 0.270 sec/game, 0.0 min. total, 315.0 MB
preseason_shawl v1 3 games, 2177 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -9.745, 0.289 sec/game, 0.0 min. total, 317.7 MB
preseason_shawl v1 4 games, 2777 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -10.319, 0.270 sec/game, 0.0 min. total, 319.1 MB
preseason_shawl v1 5 games, 3391 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -10.523, 0.262 sec/game, 0.0 min. total, 321.4 MB
preseason_shawl v1 6 games, 4233 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -10.169, 0.269 sec/game, 0.0 min. total, 323.7 MB
preseason_shawl v1 7 games, 4955 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -10.091, 0.272 sec/game, 0.0 min. total, 325.0 MB
preseason_shawl v1 8 games, 5574 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -10.244, 0.266 sec/game, 0.0 min. total, 327.4 MB
preseason_shawl v1 9 games, 6233 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -10.314, 0.269 sec/game, 0.0 min. total, 329.4 MB
preseason_shawl v1 10 games, 6988 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -10.219, 0.269 sec/game, 0.0 min. total, 331.2 MB
preseason_shawl v1 11 games, 7799 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -10.070, 0.274 sec/game, 0.1 min. total, 332.9 MB
preseason_shawl v1 12 games, 8465 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -10.121, 0.274 sec/game, 0.1 min. total, 334.4 MB
preseason_shawl v2 13 games, 9249 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: -10.023, 0.274 sec/game, 0.1 min. total, 398.5 MB
preseason_shawl v2 14 games, 10074 moves, e=0.990, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: -9.882, 0.278 sec/game, 0.1 min. total, 401.4 MB
preseason_shawl v2 15 games, 10869 moves, e=0.989, loss: 61.8, +, 58.5% elo% vs. guard_bot, avg. reward: -9.793, 0.371 sec/game, 0.1 min. total, 419.3 MB
preseason_shawl v2 16 games, 11639 moves, e=0.988, loss: 41.9, +, 60.4% elo% vs. guard_bot, avg. reward: -9.741, 0.436 sec/game, 0.1 min. total, 420.2 MB
preseason_shawl v2 17 games, 12306 moves, e=0.988, loss: 27.4, ., 59.9% elo% vs. guard_bot, avg. reward: -9.786, 0.487 sec/game, 0.1 min. total, 420.7 MB
preseason_shawl v2 18 games, 12955 moves, e=0.987, loss: 19.8, +, 61.7% elo% vs. guard_bot, avg. reward: -9.840, 0.520 sec/game, 0.2 min. total, 420.8 MB
preseason_shawl v2 19 games, 13605 moves, e=0.987, loss: 15.8, +, 63.3% elo% vs. guard_bot, avg. reward: -9.892, 0.554 sec/game, 0.2 min. total, 420.3 MB
preseason_shawl v2 20 games, 14270 moves, e=0.986, loss: 12.4, +, 64.9% elo% vs. guard_bot, avg. reward: -9.947, 0.582 sec/game, 0.2 min. total, 420.7 MB
preseason_shawl v2 21 games, 14960 moves, e=0.985, loss: 10.9, ., 64.2% elo% vs. guard_bot, avg. reward: -9.956, 0.625 sec/game, 0.2 min. total, 420.8 MB
preseason_shawl v2 22 games, 15583 moves, e=0.985, loss: 10.4, +, 65.7% elo% vs. guard_bot, avg. reward: -10.011, 0.666 sec/game, 0.2 min. total, 420.7 MB
preseason_shawl v2 23 games, 16180 moves, e=0.984, loss: 9.8, ., 65.1% elo% vs. guard_bot, avg. reward: -10.101, 0.703 sec/game, 0.2 min. total, 421.7 MB
preseason_shawl v2 24 games, 16872 moves, e=0.983, loss: 9.7, ., 64.5% elo% vs. guard_bot, avg. reward: -10.097, 0.751 sec/game, 0.3 min. total, 422.3 MB
preseason_shawl v2 25 games, 17653 moves, e=0.983, loss: 9.2, ., 63.8% elo% vs. guard_bot, avg. reward: -10.051, 0.806 sec/game, 0.3 min. total, 422.8 MB
preseason_shawl v2 26 games, 18355 moves, e=0.982, loss: 9.0, +, 65.4% elo% vs. guard_bot, avg. reward: -10.054, 0.856 sec/game, 0.3 min. total, 423.7 MB
preseason_shawl v2 27 games, 18997 moves, e=0.981, loss: 9.1, +, 66.8% elo% vs. guard_bot, avg. reward: -10.089, 0.896 sec/game, 0.3 min. total, 424.9 MB
preseason_shawl v2 28 games, 19701 moves, e=0.980, loss: 9.8, +, 68.1% elo% vs. guard_bot, avg. reward: -10.084, 0.945 sec/game, 0.4 min. total, 426.6 MB
preseason_shawl v2 29 games, 20375 moves, e=0.980, loss: 9.5, ., 67.4% elo% vs. guard_bot, avg. reward: -10.103, 0.995 sec/game, 0.4 min. total, 428.1 MB
preseason_shawl v2 30 games, 21197 moves, e=0.979, loss: 8.2, ., 66.7% elo% vs. guard_bot, avg. reward: -10.044, 1.050 sec/game, 0.4 min. total, 429.7 MB
preseason_shawl v2 31 games, 21903 moves, e=0.978, loss: 7.7, ., 66.0% elo% vs. guard_bot, avg. reward: -10.039, 1.098 sec/game, 0.4 min. total, 431.0 MB
preseason_shawl v2 32 games, 22693 moves, e=0.978, loss: 8.0, ., 65.3% elo% vs. guard_bot, avg. reward: -9.996, 1.162 sec/game, 0.4 min. total, 431.1 MB
preseason_shawl v2 33 games, 23466 moves, e=0.977, loss: 7.4, +, 66.8% elo% vs. guard_bot, avg. reward: -9.966, 1.213 sec/game, 0.5 min. total, 430.9 MB
preseason_shawl v2 34 games, 24263 moves, e=0.976, loss: 8.0, ., 66.1% elo% vs. guard_bot, avg. reward: -9.927, 1.270 sec/game, 0.5 min. total, 431.3 MB
preseason_shawl v2 35 games, 24982 moves, e=0.975, loss: 8.3, +, 67.5% elo% vs. guard_bot, avg. reward: -9.920, 1.274 sec/game, 0.5 min. total, 432.0 MB
preseason_shawl v2 36 games, 25680 moves, e=0.975, loss: 8.7, ., 66.8% elo% vs. guard_bot, avg. reward: -9.930, 1.275 sec/game, 0.5 min. total, 432.0 MB
preseason_shawl v2 37 games, 26490 moves, e=0.974, loss: 7.7, +, 68.1% elo% vs. guard_bot, avg. reward: -9.889, 1.299 sec/game, 0.6 min. total, 431.9 MB
preseason_shawl v2 38 games, 27216 moves, e=0.973, loss: 8.3, +, 69.4% elo% vs. guard_bot, avg. reward: -9.888, 1.315 sec/game, 0.6 min. total, 432.7 MB
preseason_shawl v2 39 games, 27997 moves, e=0.972, loss: 8.9, +, 70.6% elo% vs. guard_bot, avg. reward: -9.861, 1.325 sec/game, 0.6 min. total, 433.4 MB
preseason_shawl v3 40 games, 28667 moves, e=0.972, loss: 8.3, -, 49.9% elo% vs. random_no_suicide, avg. reward: -9.878, 1.329 sec/game, 0.6 min. total, 435.2 MB
preseason_shawl v3 41 games, 29379 moves, e=0.971, loss: 8.4, -, 47.6% elo% vs. random_no_suicide, avg. reward: -9.874, 1.338 sec/game, 0.7 min. total, 436.6 MB
preseason_shawl v3 42 games, 30171 moves, e=0.970, loss: 7.9, -, 45.4% elo% vs. random_no_suicide, avg. reward: -9.846, 1.350 sec/game, 0.7 min. total, 438.2 MB
preseason_shawl v3 43 games, 30903 moves, e=0.969, loss: 8.3, -, 43.4% elo% vs. random_no_suicide, avg. reward: -9.842, 1.366 sec/game, 0.7 min. total, 439.3 MB
preseason_shawl v3 44 games, 31755 moves, e=0.969, loss: 7.7, -, 41.4% elo% vs. random_no_suicide, avg. reward: -9.801, 1.384 sec/game, 0.7 min. total, 439.3 MB
preseason_shawl v3 45 games, 32481 moves, e=0.968, loss: 8.1, -, 39.6% elo% vs. random_no_suicide, avg. reward: -9.798, 1.373 sec/game, 0.7 min. total, 439.8 MB
preseason_shawl v3 46 games, 33093 moves, e=0.967, loss: 8.1, -, 37.8% elo% vs. random_no_suicide, avg. reward: -9.829, 1.365 sec/game, 0.8 min. total, 440.0 MB
preseason_shawl v3 47 games, 33882 moves, e=0.966, loss: 7.6, -, 36.2% elo% vs. random_no_suicide, avg. reward: -9.806, 1.377 sec/game, 0.8 min. total, 440.0 MB
preseason_shawl v3 48 games, 34667 moves, e=0.966, loss: 7.7, -, 34.7% elo% vs. random_no_suicide, avg. reward: -9.792, 1.384 sec/game, 0.8 min. total, 439.6 MB
preseason_shawl v3 49 games, 35365 moves, e=0.965, loss: 7.6, -, 33.3% elo% vs. random_no_suicide, avg. reward: -9.795, 1.385 sec/game, 0.8 min. total, 440.0 MB
preseason_shawl v3 50 games, 36054 moves, e=0.964, loss: 7.5, -, 31.9% elo% vs. random_no_suicide, avg. reward: -9.806, 1.377 sec/game, 0.9 min. total, 440.0 MB
preseason_shawl v3 51 games, 36927 moves, e=0.963, loss: 7.5, -, 30.6% elo% vs. random_no_suicide, avg. reward: -9.767, 1.393 sec/game, 0.9 min. total, 440.3 MB
preseason_shawl v3 52 games, 37718 moves, e=0.963, loss: 7.7, -, 29.5% elo% vs. random_no_suicide, avg. reward: -9.750, 1.382 sec/game, 0.9 min. total, 440.5 MB
preseason_shawl v3 53 games, 38435 moves, e=0.962, loss: 7.6, -, 28.3% elo% vs. random_no_suicide, avg. reward: -9.750, 1.387 sec/game, 0.9 min. total, 442.5 MB
preseason_shawl v3 54 games, 39219 moves, e=0.961, loss: 7.2, -, 27.3% elo% vs. random_no_suicide, avg. reward: -9.733, 1.381 sec/game, 0.9 min. total, 443.1 MB
preseason_shawl v3 55 games, 39923 moves, e=0.960, loss: 7.3, -, 26.3% elo% vs. random_no_suicide, avg. reward: -9.734, 1.350 sec/game, 1.0 min. total, 443.6 MB
preseason_shawl v3 56 games, 40534 moves, e=0.960, loss: 7.4, -, 25.4% elo% vs. random_no_suicide, avg. reward: -9.771, 1.334 sec/game, 1.0 min. total, 443.8 MB
preseason_shawl v3 57 games, 41240 moves, e=0.959, loss: 7.0, -, 24.5% elo% vs. random_no_suicide, avg. reward: -9.779, 1.313 sec/game, 1.0 min. total, 443.6 MB
preseason_shawl v3 58 games, 41967 moves, e=0.958, loss: 6.7, -, 23.7% elo% vs. random_no_suicide, avg. reward: -9.772, 1.302 sec/game, 1.0 min. total, 443.5 MB
preseason_shawl v3 59 games, 42644 moves, e=0.958, loss: 6.4, -, 22.9% elo% vs. random_no_suicide, avg. reward: -9.778, 1.303 sec/game, 1.1 min. total, 443.8 MB
preseason_shawl v3 60 games, 43352 moves, e=0.957, loss: 6.4, -, 22.2% elo% vs. random_no_suicide, avg. reward: -9.779, 1.301 sec/game, 1.1 min. total, 444.0 MB
preseason_shawl v3 61 games, 44121 moves, e=0.956, loss: 6.0, -, 21.5% elo% vs. random_no_suicide, avg. reward: -9.761, 1.305 sec/game, 1.1 min. total, 444.0 MB
preseason_shawl v3 62 games, 44932 moves, e=0.956, loss: 6.2, -, 20.8% elo% vs. random_no_suicide, avg. reward: -9.745, 1.315 sec/game, 1.1 min. total, 444.0 MB
preseason_shawl v3 63 games, 45543 moves, e=0.955, loss: 6.3, -, 20.2% elo% vs. random_no_suicide, avg. reward: -9.771, 1.293 sec/game, 1.1 min. total, 445.0 MB
preseason_shawl v3 64 games, 46263 moves, e=0.954, loss: 5.7, -, 19.6% elo% vs. random_no_suicide, avg. reward: -9.768, 1.284 sec/game, 1.2 min. total, 447.3 MB
preseason_shawl v3 65 games, 46963 moves, e=0.954, loss: 5.8, -, 19.0% elo% vs. random_no_suicide, avg. reward: -9.767, 1.297 sec/game, 1.2 min. total, 447.1 MB
preseason_shawl v3 66 games, 47747 moves, e=0.953, loss: 5.8, -, 18.5% elo% vs. random_no_suicide, avg. reward: -9.758, 1.319 sec/game, 1.2 min. total, 447.6 MB
preseason_shawl v3 67 games, 48488 moves, e=0.952, loss: 5.9, -, 18.0% elo% vs. random_no_suicide, avg. reward: -9.751, 1.312 sec/game, 1.2 min. total, 447.4 MB
preseason_shawl v3 68 games, 49200 moves, e=0.951, loss: 6.4, -, 17.5% elo% vs. random_no_suicide, avg. reward: -9.749, 1.312 sec/game, 1.2 min. total, 447.4 MB
preseason_shawl v3 69 games, 49894 moves, e=0.951, loss: 6.1, -, 17.0% elo% vs. random_no_suicide, avg. reward: -9.752, 1.321 sec/game, 1.3 min. total, 447.5 MB
preseason_shawl v3 70 games, 50528 moves, e=0.950, loss: 5.8, -, 16.6% elo% vs. random_no_suicide, avg. reward: -9.771, 1.324 sec/game, 1.3 min. total, 447.4 MB
preseason_shawl v3 71 games, 51218 moves, e=0.949, loss: 5.8, -, 16.2% elo% vs. random_no_suicide, avg. reward: -9.776, 1.311 sec/game, 1.3 min. total, 447.5 MB
preseason_shawl v3 72 games, 52036 moves, e=0.948, loss: 5.8, -, 15.8% elo% vs. random_no_suicide, avg. reward: -9.762, 1.315 sec/game, 1.3 min. total, 447.8 MB
preseason_shawl v3 73 games, 52729 moves, e=0.948, loss: 5.7, -, 15.4% elo% vs. random_no_suicide, avg. reward: -9.764, 1.304 sec/game, 1.4 min. total, 447.8 MB
preseason_shawl v3 74 games, 53490 moves, e=0.947, loss: 5.6, -, 15.0% elo% vs. random_no_suicide, avg. reward: -9.756, 1.306 sec/game, 1.4 min. total, 447.8 MB
preseason_shawl v3 75 games, 54272 moves, e=0.946, loss: 5.6, -, 14.7% elo% vs. random_no_suicide, avg. reward: -9.747, 1.325 sec/game, 1.4 min. total, 448.0 MB
preseason_shawl v3 76 games, 55150 moves, e=0.945, loss: 6.2, -, 14.3% elo% vs. random_no_suicide, avg. reward: -9.717, 1.341 sec/game, 1.4 min. total, 449.1 MB
preseason_shawl v3 77 games, 55882 moves, e=0.945, loss: 6.2, -, 14.0% elo% vs. random_no_suicide, avg. reward: -9.712, 1.341 sec/game, 1.5 min. total, 448.6 MB
preseason_shawl v3 78 games, 56465 moves, e=0.944, loss: 6.3, -, 13.7% elo% vs. random_no_suicide, avg. reward: -9.748, 1.338 sec/game, 1.5 min. total, 448.6 MB
preseason_shawl v3 79 games, 57132 moves, e=0.943, loss: 6.2, -, 13.4% elo% vs. random_no_suicide, avg. reward: -9.756, 1.327 sec/game, 1.5 min. total, 449.0 MB
preseason_shawl v3 80 games, 57860 moves, e=0.943, loss: 6.2, -, 13.1% elo% vs. random_no_suicide, avg. reward: -9.750, 1.343 sec/game, 1.5 min. total, 448.5 MB
preseason_shawl v3 81 games, 58515 moves, e=0.942, loss: 6.0, -, 12.9% elo% vs. random_no_suicide, avg. reward: -9.762, 1.329 sec/game, 1.5 min. total, 449.0 MB
preseason_shawl v3 82 games, 59215 moves, e=0.941, loss: 6.0, -, 12.6% elo% vs. random_no_suicide, avg. reward: -9.769, 1.312 sec/game, 1.6 min. total, 449.0 MB
preseason_shawl v3 83 games, 59972 moves, e=0.941, loss: 6.2, -, 12.3% elo% vs. random_no_suicide, avg. reward: -9.759, 1.333 sec/game, 1.6 min. total, 448.6 MB
preseason_shawl v3 84 games, 60692 moves, e=0.940, loss: 5.6, -, 12.1% elo% vs. random_no_suicide, avg. reward: -9.759, 1.336 sec/game, 1.6 min. total, 448.6 MB
preseason_shawl v3 85 games, 61328 moves, e=0.939, loss: 5.4, -, 11.9% elo% vs. random_no_suicide, avg. reward: -9.774, 1.325 sec/game, 1.6 min. total, 449.4 MB
preseason_shawl v3 86 games, 62071 moves, e=0.939, loss: 5.4, -, 11.6% elo% vs. random_no_suicide, avg. reward: -9.768, 1.314 sec/game, 1.6 min. total, 450.4 MB
preseason_shawl v3 87 games, 62791 moves, e=0.938, loss: 5.8, -, 11.4% elo% vs. random_no_suicide, avg. reward: -9.768, 1.321 sec/game, 1.7 min. total, 449.8 MB
preseason_shawl v3 88 games, 63533 moves, e=0.937, loss: 5.8, -, 11.2% elo% vs. random_no_suicide, avg. reward: -9.762, 1.322 sec/game, 1.7 min. total, 450.7 MB
preseason_shawl v3 89 games, 64289 moves, e=0.936, loss: 5.4, -, 11.0% elo% vs. random_no_suicide, avg. reward: -9.758, 1.315 sec/game, 1.7 min. total, 450.0 MB
preseason_shawl v3 90 games, 64971 moves, e=0.936, loss: 5.3, -, 10.8% elo% vs. random_no_suicide, avg. reward: -9.765, 1.311 sec/game, 1.7 min. total, 450.3 MB
preseason_shawl v3 91 games, 65813 moves, e=0.935, loss: 5.4, -, 10.6% elo% vs. random_no_suicide, avg. reward: -9.748, 1.322 sec/game, 1.8 min. total, 450.3 MB
preseason_shawl v3 92 games, 66563 moves, e=0.934, loss: 5.6, -, 10.4% elo% vs. random_no_suicide, avg. reward: -9.744, 1.321 sec/game, 1.8 min. total, 451.0 MB
preseason_shawl v3 93 games, 67292 moves, e=0.933, loss: 5.9, -, 10.3% elo% vs. random_no_suicide, avg. reward: -9.744, 1.322 sec/game, 1.8 min. total, 450.6 MB
preseason_shawl v3 94 games, 67906 moves, e=0.933, loss: 6.0, -, 10.1% elo% vs. random_no_suicide, avg. reward: -9.761, 1.312 sec/game, 1.8 min. total, 451.3 MB
preseason_shawl v3 95 games, 68593 moves, e=0.932, loss: 6.2, -, 9.9% elo% vs. random_no_suicide, avg. reward: -9.764, 1.294 sec/game, 1.8 min. total, 451.8 MB
preseason_shawl v3 96 games, 69211 moves, e=0.931, loss: 6.1, -, 9.8% elo% vs. random_no_suicide, avg. reward: -9.778, 1.281 sec/game, 1.9 min. total, 453.5 MB
preseason_shawl v3 97 games, 70056 moves, e=0.931, loss: 5.8, -, 9.6% elo% vs. random_no_suicide, avg. reward: -9.760, 1.303 sec/game, 1.9 min. total, 453.6 MB
preseason_shawl v3 98 games, 70749 moves, e=0.930, loss: 6.1, -, 9.4% elo% vs. random_no_suicide, avg. reward: -9.765, 1.305 sec/game, 1.9 min. total, 453.3 MB
preseason_shawl v3 99 games, 71500 moves, e=0.929, loss: 6.3, -, 9.3% elo% vs. random_no_suicide, avg. reward: -9.760, 1.316 sec/game, 1.9 min. total, 453.6 MB
preseason_shawl v3 100 games, 72193 moves, e=0.929, loss: 5.9, -, 9.2% elo% vs. random_no_suicide, avg. reward: -9.768, 1.311 sec/game, 2.0 min. total, 453.6 MB
preseason_shawl v4 101 games, 72891 moves, e=0.928, loss: 6.3, -, 47.7% elo% vs. random_no_suicide, avg. reward: -9.764, 1.315 sec/game, 2.0 min. total, 453.9 MB
preseason_shawl v4 102 games, 73622 moves, e=0.927, loss: 5.7, -, 45.5% elo% vs. random_no_suicide, avg. reward: -9.758, 1.325 sec/game, 2.0 min. total, 453.9 MB
preseason_shawl v4 103 games, 74407 moves, e=0.926, loss: 6.0, -, 43.4% elo% vs. random_no_suicide, avg. reward: -9.758, 1.331 sec/game, 2.0 min. total, 454.1 MB
preseason_shawl v4 104 games, 75188 moves, e=0.926, loss: 6.3, -, 41.5% elo% vs. random_no_suicide, avg. reward: -9.728, 1.332 sec/game, 2.0 min. total, 454.6 MB
preseason_shawl v4 105 games, 75852 moves, e=0.925, loss: 5.9, -, 39.6% elo% vs. random_no_suicide, avg. reward: -9.723, 1.333 sec/game, 2.1 min. total, 454.7 MB
preseason_shawl v4 106 games, 76552 moves, e=0.924, loss: 5.8, -, 37.9% elo% vs. random_no_suicide, avg. reward: -9.738, 1.335 sec/game, 2.1 min. total, 455.3 MB
