presuming_occupancy v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.6 MB
presuming_occupancy v1 1 games, 655 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -16.806, 0.426 sec/game, 0.0 min. total, 312.1 MB
presuming_occupancy v1 2 games, 1370 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -16.862, 0.441 sec/game, 0.0 min. total, 315.8 MB
presuming_occupancy v1 3 games, 2164 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -17.126, 0.455 sec/game, 0.0 min. total, 319.1 MB
presuming_occupancy v1 4 games, 2924 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -17.237, 0.466 sec/game, 0.0 min. total, 322.2 MB
presuming_occupancy v1 5 games, 3584 moves, e=0.996, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -16.889, 0.457 sec/game, 0.0 min. total, 326.1 MB
presuming_occupancy v1 6 games, 4267 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -16.757, 0.453 sec/game, 0.0 min. total, 328.9 MB
presuming_occupancy v1 7 games, 4984 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -16.835, 0.452 sec/game, 0.1 min. total, 333.1 MB
presuming_occupancy v1 8 games, 5671 moves, e=0.994, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -16.720, 0.448 sec/game, 0.1 min. total, 335.4 MB
presuming_occupancy v1 9 games, 6507 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -16.627, 0.455 sec/game, 0.1 min. total, 339.9 MB
presuming_occupancy v1 10 games, 7229 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -16.596, 0.466 sec/game, 0.1 min. total, 342.4 MB
presuming_occupancy v1 11 games, 7970 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -16.555, 0.467 sec/game, 0.1 min. total, 346.0 MB
presuming_occupancy v1 12 games, 8614 moves, e=0.991, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -16.594, 0.462 sec/game, 0.1 min. total, 348.6 MB
presuming_occupancy v1 13 games, 9433 moves, e=0.991, loss: nan, +, 71.6% elo% vs. random_bot, avg. reward: -16.621, 0.476 sec/game, 0.1 min. total, 352.1 MB
presuming_occupancy v1 14 games, 10070 moves, e=0.990, loss: nan, +, 72.7% elo% vs. random_bot, avg. reward: -16.572, 0.471 sec/game, 0.1 min. total, 355.1 MB
presuming_occupancy v1 15 games, 10759 moves, e=0.989, loss: 75.9, +, 73.6% elo% vs. random_bot, avg. reward: -16.605, 0.586 sec/game, 0.1 min. total, 381.8 MB
presuming_occupancy v1 16 games, 11427 moves, e=0.989, loss: 56.9, +, 74.6% elo% vs. random_bot, avg. reward: -16.594, 0.662 sec/game, 0.2 min. total, 384.9 MB
presuming_occupancy v1 17 games, 12144 moves, e=0.988, loss: 42.3, +, 75.5% elo% vs. random_bot, avg. reward: -16.442, 0.719 sec/game, 0.2 min. total, 387.1 MB
presuming_occupancy v1 18 games, 12675 moves, e=0.987, loss: 32.8, +, 76.3% elo% vs. random_bot, avg. reward: -16.616, 0.763 sec/game, 0.2 min. total, 386.7 MB
