primal_author v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 304.1 MB
primal_author v1 1 games, 690 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: -10.587, 0.212 sec/game, 0.0 min. total, 316.7 MB
primal_author v1 2 games, 1352 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: -10.890, 0.202 sec/game, 0.0 min. total, 319.3 MB
primal_author v1 3 games, 2082 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: -10.536, 0.213 sec/game, 0.0 min. total, 323.5 MB
primal_author v1 4 games, 2720 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: -10.687, 0.207 sec/game, 0.0 min. total, 326.5 MB
primal_author v1 5 games, 3366 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: -10.788, 0.205 sec/game, 0.0 min. total, 329.2 MB
primal_author v1 6 games, 4114 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: -10.570, 0.208 sec/game, 0.0 min. total, 332.6 MB
primal_author v1 7 games, 4819 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: -10.524, 0.209 sec/game, 0.0 min. total, 336.1 MB
primal_author v1 8 games, 5553 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: -10.422, 0.210 sec/game, 0.0 min. total, 338.9 MB
primal_author v1 9 games, 6274 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: -10.367, 0.211 sec/game, 0.0 min. total, 342.3 MB
primal_author v1 10 games, 6945 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: -10.412, 0.210 sec/game, 0.0 min. total, 345.5 MB
primal_author v1 11 games, 7604 moves, e=0.992, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: -10.465, 0.211 sec/game, 0.0 min. total, 348.3 MB
primal_author v1 12 games, 8317 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: -10.424, 0.213 sec/game, 0.0 min. total, 351.0 MB
primal_author v2 13 games, 8990 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: -10.450, 0.211 sec/game, 0.0 min. total, 413.3 MB
primal_author v2 14 games, 9656 moves, e=0.990, loss: nan, +, 56.6% elo% vs. guard_bot, avg. reward: -10.475, 0.208 sec/game, 0.0 min. total, 416.6 MB
primal_author v2 15 games, 10287 moves, e=0.990, loss: 72.3, +, 58.5% elo% vs. guard_bot, avg. reward: -10.536, 0.250 sec/game, 0.1 min. total, 443.1 MB
primal_author v2 16 games, 10898 moves, e=0.989, loss: 54.8, +, 60.4% elo% vs. guard_bot, avg. reward: -10.596, 0.304 sec/game, 0.1 min. total, 444.2 MB
