pulsate_salute v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 318.1 MB
pulsate_salute v1 1 games, 604 moves, e=0.999, loss: nan, +, 52.3% elo% vs. v0, avg. reward: -11.820, 0.234 sec/game, 0.0 min. total, 319.8 MB
pulsate_salute v1 2 games, 1208 moves, e=0.999, loss: nan, +, 54.5% elo% vs. v0, avg. reward: -11.907, 0.226 sec/game, 0.0 min. total, 323.3 MB
pulsate_salute v1 3 games, 1866 moves, e=0.998, loss: nan, +, 56.6% elo% vs. v0, avg. reward: -11.538, 0.218 sec/game, 0.0 min. total, 327.7 MB
pulsate_salute v1 4 games, 2668 moves, e=0.997, loss: nan, +, 58.5% elo% vs. v0, avg. reward: -10.862, 0.228 sec/game, 0.0 min. total, 332.2 MB
pulsate_salute v1 5 games, 3400 moves, e=0.997, loss: nan, +, 60.4% elo% vs. v0, avg. reward: -10.649, 0.228 sec/game, 0.0 min. total, 337.2 MB
pulsate_salute v1 6 games, 4085 moves, e=0.996, loss: nan, -, 57.7% elo% vs. v0, avg. reward: -10.646, 0.226 sec/game, 0.0 min. total, 341.0 MB
pulsate_salute v1 7 games, 4864 moves, e=0.995, loss: nan, -, 55.1% elo% vs. v0, avg. reward: -10.439, 0.229 sec/game, 0.0 min. total, 345.5 MB
pulsate_salute v1 8 games, 5504 moves, e=0.995, loss: nan, -, 52.5% elo% vs. v0, avg. reward: -10.527, 0.232 sec/game, 0.0 min. total, 350.4 MB
pulsate_salute v1 9 games, 6257 moves, e=0.994, loss: nan, ., 52.4% elo% vs. v0, avg. reward: -10.436, 0.232 sec/game, 0.0 min. total, 354.3 MB
pulsate_salute v1 10 games, 7071 moves, e=0.993, loss: nan, +, 54.6% elo% vs. v0, avg. reward: -10.252, 0.234 sec/game, 0.0 min. total, 358.7 MB
pulsate_salute v1 11 games, 7753 moves, e=0.992, loss: nan, -, 52.1% elo% vs. v0, avg. reward: -10.297, 0.233 sec/game, 0.0 min. total, 364.3 MB
pulsate_salute v1 12 games, 8530 moves, e=0.992, loss: nan, +, 54.3% elo% vs. v0, avg. reward: -10.206, 0.234 sec/game, 0.0 min. total, 368.5 MB
