pushchair_marxism v0 0 games, 0 moves, e=1.000, loss: nan,  , 50.0% elo% vs. , avg. reward: nan, nan sec/game, 0.0 min. total, 310.4 MB
pushchair_marxism v1 1 games, 785 moves, e=0.999, loss: nan, +, 52.3% elo% vs. random_bot, avg. reward: 42.180, 0.231 sec/game, 0.0 min. total, 319.2 MB
pushchair_marxism v1 2 games, 1475 moves, e=0.999, loss: nan, +, 54.5% elo% vs. random_bot, avg. reward: 30.235, 0.203 sec/game, 0.0 min. total, 322.1 MB
pushchair_marxism v1 3 games, 2060 moves, e=0.998, loss: nan, +, 56.6% elo% vs. random_bot, avg. reward: 27.388, 0.189 sec/game, 0.0 min. total, 325.1 MB
pushchair_marxism v1 4 games, 2658 moves, e=0.997, loss: nan, +, 58.5% elo% vs. random_bot, avg. reward: 25.837, 0.182 sec/game, 0.0 min. total, 328.3 MB
pushchair_marxism v1 5 games, 3296 moves, e=0.997, loss: nan, +, 60.4% elo% vs. random_bot, avg. reward: 30.987, 0.180 sec/game, 0.0 min. total, 331.6 MB
pushchair_marxism v1 6 games, 3976 moves, e=0.996, loss: nan, +, 62.1% elo% vs. random_bot, avg. reward: 31.450, 0.183 sec/game, 0.0 min. total, 334.7 MB
pushchair_marxism v1 7 games, 4584 moves, e=0.995, loss: nan, +, 63.7% elo% vs. random_bot, avg. reward: 32.349, 0.181 sec/game, 0.0 min. total, 336.9 MB
pushchair_marxism v1 8 games, 5319 moves, e=0.995, loss: nan, +, 65.2% elo% vs. random_bot, avg. reward: 30.510, 0.183 sec/game, 0.0 min. total, 340.8 MB
pushchair_marxism v1 9 games, 5939 moves, e=0.994, loss: nan, +, 66.7% elo% vs. random_bot, avg. reward: 34.840, 0.182 sec/game, 0.0 min. total, 344.5 MB
pushchair_marxism v1 10 games, 6742 moves, e=0.993, loss: nan, +, 68.0% elo% vs. random_bot, avg. reward: 30.509, 0.186 sec/game, 0.0 min. total, 347.7 MB
pushchair_marxism v1 11 games, 7425 moves, e=0.993, loss: nan, +, 69.3% elo% vs. random_bot, avg. reward: 32.133, 0.185 sec/game, 0.0 min. total, 350.2 MB
pushchair_marxism v1 12 games, 8159 moves, e=0.992, loss: nan, +, 70.5% elo% vs. random_bot, avg. reward: 30.927, 0.188 sec/game, 0.0 min. total, 354.1 MB
pushchair_marxism v2 13 games, 8855 moves, e=0.991, loss: nan, +, 54.5% elo% vs. guard_bot, avg. reward: 29.971, 0.186 sec/game, 0.0 min. total, 421.5 MB
